RDO:;RDO NO. 45 - MARIKINA CITY;;;
PROVINCE:;NCR;;;
CITY/MUNICIPALITY:;MARIKINA CITY;;;
BARANGAY:;BARANGKA;;;
A BONIFACIO AVE;;CR;2,200.00;
A BONIFACIO AVE;;RR;1,800.00;
A BONIFACIO AVE;;I;2,100.00;
ATENEO HOUSING PROJECT;;RR;700.00;
BARANGKA LANDLESS;;APD;0;LANDLESS BARANGKA   NE  -  UTEX MILLS    SE  -  MARIKINA RIVER     SW  -  MARCOS HIGHWAY     NW  -  A BONIFACIO AVENUE
D AVELINO;;RR;750.00;
DEGUANGCO;;RR;700.00;
DELA COSTA HOUSING;;RR;700.00;
GEN J CRUZ (CHORILLO);;RR;700.00;
L. CRUZ;;RR;750.00;
LOYOLA GRAND VILLAS;;RR;1,750.00;
LOYOLA SUBDIVISION;;RR;900.00;
MARCOS HIGHWAY;;RR;2,250.00;
M. CRUZ;;RR;750.00;
A GONZALES;;RR;750.00;
T  JOSE;;RR;750.00;
TAVERA (KAP SINDO);;RR;750.00;
TIN R FRANCISCO;;RR;750.00;
TUAZON SUBDIVISION;;RR;750.00;
ALL OTHER STREETS;;RR;700.00;
CHRYSANTHEMUM;;RR;700.00;
DON GONZALO PUYAT;;RR;800.00;
LA VISTA SUBDIVISION;;RR;1,750.00;
MAGNOLIA;;RR;700.00;
MANGGAHAN;;RR;700.00;
ORCHIDS;;RR;700.00;
BARANGAY:;CALUMPANG;;;
CALDERON F;JP RIZAL N ROXAS;CR;1,050.00;
CALDERON F;JP RIZAL N ROXAS;RR;1,050.00;
EVERITE SUBD;;RR;750.00;
EVERITE SUBD;;I;850.00;
FERNANDO AVENUE;;RR;550.00;
GEN F SANTOS;;CR;900.00;
GEN F SANTOS;;RR;800.00;
GOWE;J M BASA-M ROXAS;RR;750.00;
KAMUMU HAPPY VALLEY;PRES M ROXAS KALANTIAW;RR;750.00;
J. M. BASA;KAGITINGAN-N ROXAS;CR;750.00;
J. M. BASA;KAGITINGAN-N ROXAS;RR;750.00;
J. P. RIZAL;PASIG-N ROXAS;CR;2,100.00;
J. P. RIZAL;PASIG-N ROXAS;RR;2,000.00;
JUSTA;KATIPUNAN-N ROXAS;RR;750.00;
KAGITINGAN;MH DEL PILAR-J RIZAL;RR;750.00;
KAIBIGAN;;RR;750.00;
KALAKHAN;;RR;750.00;
KALANTIAO;KAMUMU-N ROXAS;CR;850.00;
KALANTIAO;KAMUMU-N ROXAS;RR;750.00;
KALBARYO;J P RIZAL-KAGITINGAN;RR;750.00;
KALBARYO;J P RIZAL-KAGITINGAN;I;750.00;
KALUPI;;RR;750.00;
KANDILI;;RR;750.00;
KASI (CHASE);J M BASA-CALDERON;RR;750.00;
KATIPUNAN;M ROXAS-JUSTA;RR;750.00;
LEGASPI;J P RIZAL-GEN SANTOS;RR;750.00;
M H DEL PILAR;OLD J RIZAL-N ROXAS;CR;850.00;
M H DEL PILAR;OLD J RIZAL-N ROXAS;RR;750.00;
M ROXAS;OLD J RIZAL-N ROXAS;CR;750.00;
M ROXAS;OLD J RIZAL-N ROXAS;RR;750.00;
