RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;(FORMERLY RDO NO.  25  -  SOUTH MANILA);
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  649 ZONE  68;;;;
ATLANTA STREET;M DEL RIO - 9TH STREET;CR;14,000.00;;
BONIFACIO DRIVE;M DEL RIO - 9TH STREET;CR;14,000.00;;
CHICAGO STREET;M DEL RIO - 9TH STREET;CR;14,000.00;;
RAILROAD STREET;2ND ST - 8TH STREET;CR;14,000.00;;
1ST STREET;CHICAGO - ATLANTA;CR;14,000.00;;
2ND STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
3RD STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
4TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
5TH STREET;CHICAGO - ATLANTA;CR;14,000.00;;
6TH STREET;CHICAGO - ATLANTA;CR;14,000.00;;
7TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
8TH STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
BARANGAY:;BARANGAY  650 ZONE  68;;;;
ATLANTA STREET;9TH STREET - 15TH STREET;CR;14,000.00;;
BONIFACIO DRIVE;11TH STREET - 15TH STREET;CR;14,000.00;;
CHICAGO STREET;9TH STREET -  16TH STREET;CR;14,000.00;;
RAILROAD STREET;11TH STREET - 15TH STREET;CR;14,000.00;;
11TH STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
12TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
13TH STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
14TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
15TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
15TH STREET;CHICAGO - RAILROAD STREET;;;;
BARANGAY:;BARANGAY  651 ZONE  68;;;;
ATLANTA STREET;15TH STREET - 18TH STREET;CR;14,000.00;;
BONIFACIO DRIVE;15TH STREET - 18TH STREET;CR;14,000.00;;
CHICAGO STREET;15TH STREET - RAILROAD ST;CR;14,000.00;;
RAILROAD STREET;15TH STREET - 19TH STREET;CR;14,000.00;;
15TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
16TH STREET;CHICAGO - BONIFACIO DRIVE;CR;14,000.00;;
17TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
18TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
19TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
BARANGAY:;BARANGAY  652 ZONE  68;;;;
BONIFACIO DRIVE;19TH STREET - 22ND STREET;CR;14,000.00;;
19TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
20TH STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
21ST STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
22ND STREET;CHICAGO - RAILROAD STREET;CR;14,000.00;;
BARANGAY:;BARANGAY  653 ZONE  68;;;;
BOSTON;10TH STREET - 25TH STREET;CR;17,600.00;;
CHICAGO;M DEL RIO - 9TH STREET;CR;14,000.00;;
M SN FRANCISCO;10TH STREET - 24TH STREET;CR;14,000.00;;
MUELLE DE CODO;M DEL RIO - 5TH STREET;CR;14,000.00;;
MUELLE DE TACOMA;6TH STREET - 9TH STREET;CR;14,000.00;;
MUELLE DEL RIO;M DE CODO - CHICAGO;CR;14,000.00;;
1ST STREET;M DE CODO - CHICAGO;CR;14,000.00;;
2ND STREET;M DE CODO - CHICAGO;CR;14,000.00;;
3RD STREET;M DE CODO - CHICAGO;CR;14,000.00;;
4TH STREET;M DE CODO - CHICAGO;CR;14,000.00;;
7TH STREET;M DE TACOMA - CHICAGO;CR;14,000.00;;
8TH STREET;M DE TACOMA - CHICAGO;CR;14,000.00;;
9TH STREET;CHICAGO - RAILROAD;CR;14,000.00;;
10TH STREET;M SN FRANCISCO - RAILROAD;CR;14,000.00;;
11TH STREET;M DE CODO - CHICAGO;CR;14,000.00;;
12TH STREET;M DE CODO - CHICAGO;CR;14,000.00;;
13TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
14TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
15TH STREET;BOSTON - CHICAGO;CR;14,000.00;;
16TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
17TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
18TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
19TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
30TH STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
21ST STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
22ND STREET;M SN FRANCISCO - CHICAGO;CR;14,000.00;;
23RD STREET;M SN FRANCISCO - RAILROAD;CR;14,000.00;;
24TH STREET;M SN FRANCISCO - RAILROAD;CR;14,000.00;;
25TH STREET;BOSTON - BONIFACIO DRIVE;CR;17,600.00;;
BARANGAY:;BARANGAY  654 ZONE  69;;;;
ANDA;MURALLA - SOLANA;CR;9,400.00;;
BEATERIO;MURALLA - SOLANA;CR;9,400.00;;
LEGASPI;BEATERIO - REAL;CR;9,400.00;;
MAGALLANES DRIVE;JONES BRIDGE;CR;11,700.00;;
MURALLA;JONES BRIDGE;CR;9,400.00;;
REAL;MURALLA - SOLANA;CR;10,500.00;;
RIVERSIDE DRIVE;JONES BRIDGE;CR;10,500.00;;
SAN JUAN DE LETRAN;BEATERIO - REAL;CR;9,400.00;;
SOLANA;A SORIANO JR. - REAL;CR;9,400.00;;
BARANGAY:;BARANGAY  655 ZONE  69;;;;
A SORIANO JR. (ADUANA);BONIFACIO DRIVE - SOLANA;CR;14,000.00;;
ANDA;STA. LUCIA - SOLANA;CR;9,400.00;;
