RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
R 34;PACO-PANDACAN-STA.ANA;;;;
BARANGAY:;BARANGAY  661 ZONE  71;;;;
D ROMUALDEZ;T AYALA-ISLA CONVALE;CR;19,500.00;;
D ROMUALDEZ;T AYALA-ISLA CONVALE;RC;29,250.00;;
ZOBEL;ROMUALDEZ-ISLA PROVISOR;CR;18,330.00;;
BARANGAY:;BARANGAY  663 ZONE  71;;;;
AYALA BLVD;FERNANDEZ-ROMUALDEZ;CR;19,500.00;;
D ROMUALDEZ;AYALA BLVD-ZOBEL;CR;19,500.00;;
D ROMUALDEZ;AYALA BLVD-ZOBEL;RC;29,250.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD-ZOBEL;RR;8,970.00;;
E FERNANDEZ (SAN MARCELINO);AYALA BLVD-ZOBEL;CR;23,400.00;;
SYLVIA;AYALA BLVD-ROMUALDEZ;CR;13,650.00;;
T AYALA;MERCEDEZ-ROMUALDEZ;CR;12,480.00;;
ZOBEL;FERNANDEZ-ROMUALDEZ;CR;19,500.00;;
BARANGAY:;BARANGAY  663-A ZONE  71;;;;
AYALA BLVD;ROMUALDEZ-ISLA CONVALE;CR;19,500.00;;
D ROMUALDEZ;T AYALA-AYALA BLVD;CR;19,500.00;;
D ROMUALDEZ;T AYALA-AYALA BLVD;RC;29,250.00;;
T  AYALA;ROMUALDEZ-ISLA CONVALE;CR;11,510.00;;
BARANGAY:;BARANGAY  664-A ZONE  71;;;;
CRISTOBAL;EST DE SANTI-BANAS U;CR;8,820.00;;
D CORREA;;CR;9,375.00;;
TANGUE;EST DE PACO-UN AVENUE;CR;9,170.00;;
U N AVENUE;TANGUE-CRISTOBAL;CR;29,250.00;;
U N AVENUE;TANGUE-CRISTOBAL;RC;48,750.00;;
U N AVENUE;TANGUE-CRISTOBAL;X;13,130.00;;
BARANGAY:;BARANGAY  671 ZONE  73;;;;
A LINAO (DART);SYSON-SAN GREGORIO;CR;16,000.00;;
CALIXTO DYCO;A LINAO-EST DE PACO;CR;11,510.00;;
SAN GREGORIO;A LINAO-EST DE PACO;CR;13,650.00;;
SYSON;A LINAO-EST DE PACO;CR;11,510.00;;
ALL OTHER STREETS;;CR;11,510.00;;
BARANGAY:;BARANGAY  672 ZONE  73;;;;
A LINAO (DART);SYSON-BELEN;CR;15,990.00;;
ROQUE;SYSON-EST DE PACO;CR;11,070.00;;
SYSON;A LINAO-EST DE PACO;CR;11,510.00;;
U N AVENUE;A DE SAN VICENTE;CR;48,750.00;;
U N AVENUE;A DE SAN VICENTE;RC;48,750.00;;
U N AVENUE;1232 UN AVE-BROADWAY;RC;48,750.00;;
ALL OTHER STREETS;PAUL-EST DE PACO;CR;11,070.00;;
ALL OTHER STREETS;PAUL-EST DE PACO;RC;48,750.00;;
BARANGAY:;BARANGAY  673 ZONE  73;;;;
A LINAO (DART);ESCODA-P GIL;CR;15,990.00;;
G APACIBLE;GEN LUNA-EST DE PACO;CR;15,990.00;;
GEN LUNA;G APACIBLE-P GIL;CR;17,160.00;;
J L ESCODA;GEN LUNA-A LINAO;CR;15,990.00;;
MINDORO;A LINAO-END;RR;4,040.00;;
P GIL;GEN LUNA-EST DE PACO;CR;39,000.00;;
SAN GREGORIO;A LINAO-EST DE PACO;RR;7,270.00;;
ALL OTHER STREETS;;RR;4,040.00;;
ALL OTHER STREETS;;CR;15,990.00;;
BARANGAY:;BARANGAY  674 ZONE  73;;;;
A LINAO (DART);BELEN-G APACIBLE;CR;15,990.00;;
BELEN;PEREZ-A LINAO;RR;5,100.00;;
D ROMUALDEZ SR.;UN AVENUE-G APACIBLE;CR;19,500.00;;
D ROMUALDEZ SR.;UN AVENUE-G APACIBLE;RC;29,250.00;;
E FERNANDEZ   (SAN MARCELINO);UN AVENUE-G APACIBLE;RR;8,970.00;;
