RDO:;RDO NO. 13  TUGUEGARAO, CAGAYAN;;;
RDO:;RDO NO. 13  TUGUEGARAO, CAGAYAN;;;
CITY/MUNICIPALITY:;BASCO, BATANES;;;
BARANGAY:;KAYCHANARIANAN, KAYHUVOKAN,  KAYVALUGANAN & SAN ANTONIO;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
ABAD ST;;RR;135.00;
;;CR;420.00;
ABUYO ST;;RR;310.00;
AMBOY ST;;RR;310.00;
ARGONZA ST;;RR;310.00;
BALLES ST;;RR;190.00;
BANTAYAN ST;;RR;310.00;
BARSANA ST;;RR;310.00;
BASCO ST;;RR;310.00;
BAYARAS ST;;RR;310.00;
BEATRERIA ST;;RR;310.00;
CANTERO ST;;RR;310.00;
CANTOR ST;;RR;310.00;
CASTILLEJOS ST;;CR;420.00;
;;RR;310.00;
CASTRO ST;;RR;310.00;
CONTRA-COSTA RD;;RR;310.00;
DIPNAYSUJUAN ROAD;WEST SIDE;RR;140.00;
DITA ST;;RR;310.00;
ESCALONA ST;;RR;310.00;
FAJARDO ST;;RR;310.00;
HORDONEZ ST;;RR;310.00;
KASPO-FIESTA BRGY RD;;RR;310.00;
LAFUENTE ST;;RR;310.00;
LIZARDO ST;;RR;310.00;
LLOPEZ ST;;RR;310.00;
NATIONAL ROAD;;RR;310.00;
NUNEZ ST;;RR;310.00;
PADUA ST;;RR;310.00;
REYES ST;;RR;310.00;
SANTANA ST;;RR;310.00;
TAYTAY BARANGAY ROAD;;RR;310.00;
TIOJOS ST;EAST SIDE;RR;190.00;
TIOJOS ST;WEST SIDE;RR;140.00;
VARGAS ST;;RR;310.00;
WATERWAY;BARSANA ST - TOWN LIMIT;RR;140.00;
ALL OTHER STREETS;;RR;140.00;
ALL OTHER STREETS;;A1;4.00;
ALL OTHER STREETS;;A3;1.90;
ALL OTHER STREETS;;A4;1.60;
ALL OTHER STREETS;;A6;1.50;
CITY/MUNICIPALITY:;ITBAYAT;;;
BARANGAY:;ALL BARANGAYS;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
BORLINA ST;W/IN 150 M FR. PROV. RD;RR;110.00;
;W/IN 150 M FR. CIRCUMF.RD;RR;90.00;
CABANELA ST;W/IN 150 M FR. PROV. RD;RR;110.00;
;W/IN 150 M FR. CIRCUMF.RD;RR;90.00;
CASTILLO ST;;RR;90.00;
CIRCUMFERENTIAL ROAD;;RR;90.00;
DE GUZMAN ST;;RR;90.00;
DITA ST;;RR;90.00;
GARCIA ST;;RR;110.00;
GAVILAN ST;;RR;90.00;
MABINI ST;;RR;110.00;
MARSANG ST;;RR;110.00;
MIRABUENO ST;W/IN 150 M FR. PROV. RD;RR;110.00;
;W/IN 150 M FR. CIRCUMF.RD;RR;90.00;
PROVINCIAL ROAD;MAYAN ST - GONZALES ST;RR;110.00;
;CASTILLO-CIRCUMFERENTIAL;RR;90.00;
QUEZON ST;ROXAS ST - TRAIL;RR;110.00;
;PATIMO ST - UNKNOWN ST;;90.00;No Classification
;& QUEZON ST;RR;90.00;
ROXAS ST;;RR;110.00;
SALAMAGOS ST;W/IN 150 M FR. PROV. RD;RR;110.00;
;W/IN 150 M FR. CIRCUMF.RD;RR;90.00;
TRAIL;;RR;110.00;
UNNAMED ST;DE GUZMAN - CASTILLO ST;RR;110.00;
UNNAMED ST;UNKNOWN ST - CASTILLO ST;RR;110.00;
;MAYAN ST - ROXAS ST;RR;90.00;
ALL OTHER STREETS;;RR;65.00;
ALL OTHER STREETS;;A1;2.40;
ALL OTHER STREETS;;A3;2.15;
ALL OTHER STREETS;;A4;1.70;
ALL OTHER STREETS;;A5;2.05;
ALL OTHER STREETS;;A6;1.50;
CITY/MUNICIPALITY:;IVANA;;;
BARANGAY:;ALL BARANGAYS;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
ACEBES ST;;RR;165.00;
ADALLA ST;;RR;75.00;
AGUDO ST;;RR;165.00;
AGUTO ST;;RR;165.00;
ALCANTARA ST;;RR;165.00;
BARCELONA ST;;RR;45.00;
BARSANA ST;;RR;165.00;
BARTILAD ST;;RR;165.00;
CALATRABA ST;;RR;165.00;
CASTANO ST;;RR;165.00;
CATALUNA ST;;RR;165.00;
CREEK;;RR;75.00;
DIVERSION ROAD;AGUDO ST - CREEK;RR;75.00;
;CREEK - TOWN LIMIT;RR;75.00;
EDMUND ST;;RR;165.00;
NATIONAL ROAD;;RR;165.00;
SAN JOSE ST;CREEK - BARSANA ST;RR;165.00;
;BARSANA ST - TOWN LIMIT;RR;165.00;
VALONES ST;;RR;165.00;
VILLA GRANADA ST;;RR;165.00;
ALL OTHER STREETS;;RR;45.00;
ALL OTHER STREETS;;A1;3.55;
ALL OTHER STREETS;;A2;2.35;
ALL OTHER STREETS;;A3;1.60;
ALL OTHER STREETS;;A4;1.80;
ALL OTHER STREETS;;A5;1.25;
ALL OTHER STREETS;;A6;1.10;
CITY/MUNICIPALITY:;MAHATAO;;;
BARANGAY:;ALL BARANGAYS;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
ALMENDRAS ST;;RR;185.00;
ANONAS ST;;RR;185.00;
ANTONINA ST;;RR;185.00;
ASUNCION ST;;RR;185.00;
BEATERIA ST;NAT'L RD - ALMENDRAS ST;RR;185.00;
;NAT'L RD - BONIFACIO ST;RR;120.00;
BONIFACIO ST;;RR;90.00;
GARCIA ST;;RR;120.00;
J. A. SANTOS ST;;RR;120.00;
JACINTO ST;;RR;120.00;
LAUREL ST;;RR;90.00;
LUCERO ST;M.L. QUEZON - CREEK;RR;185.00;
LUZANO ST;;RR;185.00;
MABINI ST;;RR;185.00;
MORERA ST;;RR;185.00;
NATIONAL ROAD;;RR;185.00;
NATIVIDAD ST;;RR;90.00;
PAZ ST;;RR;185.00;
PENDIENTE ST;;RR;185.00;
QUIRINO ST;;RR;120.00;
ROXAS ST;;RR;185.00;
UNNAMED ST;BESIDE BNHS BRANCH;RR;120.00;
V. LUNA ST;;RR;120.00;
VALDESCO ST;SOUTH WEST SIDE;RR;120.00;
;NORTH EAST SIDE;RR;90.00;
WATERWAY;SEASHORE-CREEK & MORENO;RR;120.00;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;RR;90.00;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A1;3.30;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A2;2.15;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A3;1.55;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A4;1.60;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A5;1.30;
ALL OTHER STREETS;CREEK & INT. RD - IMNAJBU;A6;1.65;
ALL OTHER STREETS;INTERIOR;A1;1.95;
ALL OTHER STREETS;INTERIOR;A2;1.40;
ALL OTHER STREETS;INTERIOR;A3;1.20;
ALL OTHER STREETS;INTERIOR;A4;1.00;
ALL OTHER STREETS;INTERIOR;A5;1.00;
ALL OTHER STREETS;INTERIOR;A6;1.00;
CITY/MUNICIPALITY:;SABTANG;;;
BARANGAY:;ALL BARANGAYS;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
A. ABLAZA ST;;RR;140.00;
A. BABALO ST;;RR;140.00;
A. CIELO ST;;RR;140.00;
ABAS ST;;RR;90.00;
C. FABERES ST;;RR;90.00;
D. ALAVADO ST;;RR;50.00;
E. GIRON ST;;RR;140.00;
FARONILO ST;;RR;140.00;
FEBRERO ST;;RR;50.00;
J. ABAD ST;;RR;140.00;
J. BALLESTEROS ST;;RR;50.00;
J. CASTELLON ST;;RR;90.00;
J. IMPERIAL ST;;RR;140.00;
NATIONAL ROAD;BRGY SINAKAN & MALAKDAN;RR;140.00;
;BRGY SAVIDUG;RR;90.00;
R. ABARQUES ST;;RR;90.00;
ALL OTHER STREETS;;RR;50.00;
ALL OTHER STREETS;;A1;2.15;
ALL OTHER STREETS;;A3;1.50;
ALL OTHER STREETS;;A4;1.00;
ALL OTHER STREETS;;A5;2.05;
ALL OTHER STREETS;;A6;1.75;
CITY/MUNICIPALITY:;UYUGAN;;;
BARANGAY:;ALL BARANGAYS;;;
STREET NAME;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;
ABAD ST;DELOS SANTOS-BASTILLO ST;RR;100.00;
BARANGAY IMNAJBU;;RR;65.00;
BARANGAY ROAD;;RR;65.00;
CREEK;;RR;85.00;
DIVERSION ROAD;COR. MALENG - NAT'L RD;RR;85.00;
;BARANGAY ITBUD;RR;65.00;
DUGURAN ST;DELOS SANTOS - YDEL ST;RR;100.00;
ELICA ST;MALENG ST - DUGURAN ST;RR;100.00;
;DIVERSION RD - MALENG;RR;85.00;
HORTIZ ST;;RR;65.00;
MALENG ST;COR. DIVER. RD - CLEMENTE;RR;100.00;
NATIONAL ROAD;VALIENTE - YDEL ST;RR;100.00;
NATIONAL ROAD;BARANGAY ITBUD;RR;85.00;
PROVINCIAL ROAD;;RR;65.00;
SAN CLEMENTE ST;MALENG ST - DUGURAN ST;RR;100.00;
;DIVERSION RD - MALENG;RR;85.00;
SAN PASCUAL ST;;RR;85.00;
ALL OTHER STREETS;;RR;65.00;
ALL OTHER STREETS;;A1;3.15;
ALL OTHER STREETS;;A2;1.45;
ALL OTHER STREETS;;A3;1.50;
ALL OTHER STREETS;;A4;1.40;
ALL OTHER STREETS;;A5;1.05;
ALL OTHER STREETS;;A6;1.25;
