RDO:;RDO NO. 13-TUGUEGARAO, CAGAYAN;;;
CITY/MUNICIPALITY:;CITY/MUNICIPALITY OF  TUGUEGARAO;;;
BARANGAY:;POBLACION;;;
COLLEGE AVE.;SAN JACINTO - RIZAL ST.;CR;5,400.00;
COLLEGE AVE.;SAN JACINTO - RIZAL ST.;RR;4,400.00;
COLLEGE AVE.;INTERIOR LOTS;RR;3,400.00;
DEL ROSARIO ST.;COLLEGE AVE - ARELLANO ST;CR;5,400.00;
DEL ROSARIO ST.;COLLEGE AVE - MAURA;RR;1,900.00;
DEL ROSARIO ST.;INTERIOR LOTS;RR;1,400.00;
GOMEZ ST.;MABINI ST - RIZAL ST;CR;5,600.00;
GOMEZ ST.;MABINI ST - RIZAL ST;RR;3,500.00;
GOMEZ ST.;OTHER BARANGAY ROAD & INTERIOR LOTS;RR;2,000.00;
GONZAGA ST.;MABINI ST - RIZAL ST;CR;5,700.00;
GONZAGA ST.;MABINI ST - RIZAL ST;RR;3,900.00;
GONZAGA ST.;OTHER BARANGAY ROAD & INTERIOR LOTS;RR;2,000.00;
LECAROS ST;MABINI ST - RIZAL ST;RR;1,400.00;
LECAROS ST;INTERIOR LOTS;RR;1,200.00;
LEGASPI ST;SAN JACINTO - RIZAL ST;CR;5,200.00;
LEGASPI ST;SAN JACINTO - RIZAL ST;RR;4,200.00;
LEGASPI ST;INTERIOR LOTS;RR;3,600.00;
AGUINALDO ST;MABINI ST - RIZAL ST;CR;2,000.00;
AGUINALDO ST;MABINI ST - RIZAL ST;RR;1,400.00;
AGUINALDO ST;OTHER BARANGAY ROAD & INTERIOR LOTS;RR;1,000.00;
ARELLANO ST;MABINI ST - RIZAL ST;CR;2,000.00;
ARELLANO ST;MABINI ST - RIZAL ST;RR;1,400.00;
ARELLANO ST;OTHER BARANGAY ROAD & INTERIOR LOTS;RR;1,000.00;
BLUMENTRITT ST.;RIZAL ST - LUNA ST;CR;3,800.00;
BLUMENTRITT ST.;LUNA ST - HORNO;RR;2,000.00;
BLUMENTRITT ST.;INTERIOR LOTS;RR;1,400.00;
BONIFACIO ST.;RIZAL ST - ZAMORA ST;CR;6,200.00;
BONIFACIO ST.;ARELLANO  ST - MAURA ST;RR;3,300.00;
BONIFACIO ST.;INTERIOR LOTS;RR;2,500.00;
BURGOS ST.;COLLEGE AVE - ARELLANO ST;CR;4,800.00;
BURGOS ST.;COLLEGE AVE - MAURA ST;RR;3,700.00;
BURGOS ST.;INTERIOR LOTS;RR;2,100.00;
BALZAIN;BALZAIN BRIDGE-BALSAIN BNDRY;CR;3,200.00;
BALZAIN;POLICE OUTPOST-DON DOMINGO;CR;3,200.00;
BALZAIN;BARANGAY RDS & INTERIOR LOTS;RR;1,400.00;
LUNA ST.;MABINI ST - RIZAL ST;CR;6,200.00;
LUNA ST.;MABINI ST - RIZAL ST;RR;5,000.00;
LUNA ST.;INTERIOR LOTS;RR;3,900.00;
MABINI ST.;COLLEGE AVE - LECAROS ST;CR;5,400.00;
MABINI ST.;COLLEGE AVE - LECAROS ST;RR;4,400.00;
MABINI ST.;INTERIOR LOTS;RR;2,500.00;
MAGALLANES ST.;LEGASPI ST - LECAROS ST;RR;2,400.00;
MAGALLANES ST.;INTERIOR LOTS;RR;2,000.00;
MAURA ST.;DEL ROSARIO ST - RIZAL ST;RR;600.00;
MAURA ST.;INTERIOR LOTS;RR;500.00;
OTIS ST.;AGUINALDO ST - ARELLANO ST;RR;800.00;
PILAPIL ST.;BONIFACIO ST - RIZAL ST;CR;1,500.00;
PILAPIL ST.;RIZAL ST - OTIS ST;RR;800.00;
RIZAL ST.;BALZAIN ST - LUNA ST;CR;3,800.00;
RIZAL ST.;LUNA ST - HORNO;RR;2,000.00;
RIZAL ST.;INTERIOR LOTS;RR;1,000.00;
TAFT ST.;COLLEGE AVE - LUNA ST;CR;3,100.00;
TAFT ST.;COLLEGE AVE - LECAROS ST.;RR;2,500.00;
TAFT ST.;OTHER BARANGAY ROADS & INTERIOR LOTS;RR;2,000.00;
VALENZUELA ST;GONZAGA ST - AGUINALDO ST;RR;900.00;
VALENZUELA ST;INTERIOR LOTS;RR;700.00;
WASHINGTON ST.;MABINI ST - RIZAL ST;CR;3,800.00;
WASHINGTON ST.;MABINI ST - RIZAL ST;RR;3,100.00;
