RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;CENTRO;;;;
RIZAL ST;BURGOS ST-OSIAS ST.;RR;55.00;;
RIZAL ST;OSIAS ST- GEN LUNA ST;RR;55.00;;
RIZAL ST;JONES ST-BURGOS ST;RR;50.00;;
SAN ISIDRO ST;RIZAL ST-OSMENA ST;RR;50.00;;
SAN ISIDRO ST;OSMENA ST-QUEZON ST;RR;50.00;;
SAN ISIDRO ST;RIZAL ST-ROAD END;RR;45.00;;
QUEZON ST;SAN ISIDRO ST-BURGOS ST;RR;45.00;;
BINCAB ST;SAN ISIDRO ST-CLAUDIO ST;RR;45.00;;
OSMENA ST;JONES ST-CLAUDIO ST;RR;45.00;;
OSMENA ST;MALLABO ST-CONSEJO ST;RR;45.00;;
MALLABO ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
CONSEJO ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
PARAGGUA ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
NEPUMOCENO ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
CLAUDIO ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
BURGOS ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
OSIAS ST;RIZAL ST-QUEZON ST;RR;45.00;;
GEN. LUNA ST;BALLESTEROS ST-QUEZON ST;RR;45.00;;
BALLESTEROS ST;JONES ST-AGUINALDO ST;RR;40.00;;
ARELLANO ST;BALLETEROS ST-QUEZON ST;RR;40.00;;
AGUINALDO ST;BALLETEROS ST-QUEZON ST;RR;40.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;VARIOUS;;;;
ALINUNU;PROVINCIAL ROAD;RR;40.00;;
ALINUNU;BARANGAY ROAD;RR;30.00;;
BAGU;PROVINCIAL;RR;35.00;;
BAGU;BARANGAY ROAD;RR;25.00;;
BANGUIAN;PROVINCIAL ROAD;RR;40.00;;
BANGUIAN;BARANGAY ROAD;RR;35.00;;
CALOG NORTE;BARANGAY ROAD;RR;35.00;;
CALOG SUR;NATIONAL ROAD;RR;55.00;;
CALOG SUR;BARANGAY ROAD;RR;45.00;;
CANAYUN;MUNICIPAL ROAD;RR;35.00;;
CANAYUN;BARANGAY ROAD;RR;25.00;;
DANA-ILI;BARANGAY ROAD;RR;40.00;;
GUIDDAM;NATIONAL ROAD;RR;50.00;;
GUIDDAM;BARANGAY ROAD;RR;40.00;;
LIBERTAD;NATIONAL ROAD;RR;90.00;;
LIBERTAD;BARANGAY ROAD;RR;80.00;;
LUCBAN;NATIONAL ROAD;RR;55.00;;
LUCBAN;BARANGAY ROAD;RR;45.00;;
PINILI;NATIONAL ROAD;RR;40.00;;
PINILI;BARANGAY ROAD;RR;30.00;;
SAN AGUSTIN;NATIONAL ROAD;RR;35.00;;
SAN AGUSTIN;PROVINCIAL ROAD;RR;30.00;;
SAN AGUSTIN;BARANGAY ROAD;RR;25.00;;
SAN JULIAN;BARANGAY ROAD;RR;30.00;;
SIGUIRAN;BARANGAY ROAD;RR;35.00;;
SIMAYUNG;BARANGAY ROAD;RR;30.00;;
SIRIT;BARANGAY ROAD;RR;25.00;;
SIRIT;PROVINCIAL ROAD;RR;35.00;;
SANTA FILOMENA;MUNICIPAL ROAD;RR;35.00;;
SANTA FILOMENA;BARANGAY ROAD;RR;25.00;;
SANTA ROSA;BARANGAY ROAD;RR;35.00;;
SANTO TOMAS;BARANGAY ROAD;RR;25.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY:;ALL  BARANGAYS;;;;
