RDO:;RDO NO. 13 - TUGUEGARAO, CAGAYAN;;;;
CITY /MUNICIPALITY:;ABULUG;;;;
BARANGAY  :;CENTRO;;;;
RIZAL ST;BURGOS ST-OSIAS ST.;RR;95.00;;
RIZAL ST;OSIAS ST- GEN LUNA ST;RR;95.00;;
RIZAL ST;JONES ST-BURGOS ST (GEN. LUNA ST.);RR;95.00;;
SAN ISIDRO ST;RIZAL ST-OSMENA ST;RR;90.00;;
SAN ISIDRO ST;OSMENA ST-QUEZON ST;RR;75.00;;
SAN ISIDRO ST;RIZAL ST-ROAD END;RR;70.00;;
QUEZON ST;SAN ISIDRO ST-BURGOS ST;RR;65.00;;
BINCAB ST;SAN ISIDRO ST-CLAUDIO ST (BURGOS ST.);RR;70.00;;
OSMENA ST;JONES ST-CLAUDIO ST  (OSIAS ST.);RR;70.00;;
MALLABO ST;MALLABO ST-CONSEJO ST;RR;70.00;;
CONSEJO ST;BALLESTEROS ST-QUEZON ST;RR;70.00;;
PARAGGUA ST;BALLESTEROS ST-QUEZON ST;RR;70.00;;
NEPUMOCENO ST;BALLESTEROS ST-QUEZON ST;RR;70.00;;
CLAUDIO ST;BALLESTEROS ST-QUEZON ST;RR;70.00;;
BURGOS ST;BALLESTEROS ST-QUEZON ST;RR;70.00;;
OSIAS ST;BALLESTEROS ST-QUEZON ST;RR;85.00;;
GEN. LUNA ST;RIZAL ST-QUEZON ST;RR;85.00;;
BALLESTEROS ST;BALLESTEROS ST-QUEZON ST;RR;85.00;;
ARELLANO ST;JONES ST-AGUINALDO ST;RR;65.00;;
AGUINALDO ST;BALLETEROS ST-QUEZON ST;RR;65.00;;
ALL OTHER STREETS;BALLETEROS ST-QUEZON ST;RR;65.00;;
ALL OTHER STREETS;;RR;45.00;;
ALL OTHER STREETS;INTERIOR;RR;35.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;ALINUNU;;;;
ALL LOTS;PROVINCIAL ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;RR;55.00;;
ALL LOTS;INTERIOR LOTS;RR;45.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY:;BAGU;;;;
ALL LOTS;PROVINCIAL;RR;65.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;INTERIOR LOTS;RR;40.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARABGAY :;BANGUIAN;;;;
ALL LOTS;PROVINCIAL ROAD;RR;65.00;;
ALL LOTS;BARANGAY ROAD;RR;55.00;;
ALL LOTS;INTERIOR LOTS;RR;45.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;CALOG NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;CALOG SUR;;;;
ALL LOTS;NATIONAL ROAD;RR;95.00;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;INTERIOR LOTS;RR;70.00;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;CANAYUN;;;;
ALL LOTS;MUNICIPAL ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;RR;45.00;;
ALL LOTS;INTERIOR LOTS;RR;35.00;;
CITY \ MUNICIPALITY:;ABULUG;;;;
BARANGAY :;DANA-ILI;;;;
ALL LOTS;BARANGAY ROAD;RR;65.00;;
ALL LOTS;INTERIOR LOTS;RR;55.00;;
ALL LOTS;INTERIOR LOTS;;;;
CITY/MUNICIPALITY:;ABULUG;;;;
BARANGAY :;GUIDDAM;;;;
ALL LOTS;NATIONAL ROAD;RR;90.00;;
