RDO:;RDO NO 14 - BAYOMBONG, NUEVA VIZCAYA;;;;
MUNICIPALITY:;ALFONSO CASTAÑEDA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;;RR;300.00;;
PROVINCIAL ROAD;INTERIOR;RR;240.00;;
BARROGA ST;MUNICIPAL HALL;RR;300.00;;
BARROGA ST;ADJ LOTS-BLK LOTS;RR;300.00;;
BARROGA ST;INTERIOR;RR;240.00;;
PANDAY ST;;CR;300.00;;
PANDAY ST;;RR;300.00;;
QUINTERO CASTILLO ST;;RR;300.00;;
QUINTERO CASTILLO ST;INTERIOR;RR;240.00;;
TANGCA ST;;RR;300.00;;
TANGCA ST;INTERIOR;RR;240.00;;
MUNICIPALITY:;ALFONSO CASTAÑEDA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;120.00;;
PROVINCIAL ROAD;;A1;10.00;;
PROVINCIAL ROAD;INTERIOR;RR;90.00;;
BARANGAY ROAD;;RR;90.00;;
BARANGAY ROAD;INTERIOR;RR;80.00;;
BARANGAY ROAD;INTERIOR;A1;11.00;;
BARANGAY ROAD;INTERIOR;A2;6.00;;
BARANGAY ROAD;INTERIOR;A15;2.00;;
BARANGAY ROAD;INTERIOR;A16;5.00;;
BARANGAY ROAD;INTERIOR;A23;8.00;;
BARANGAY ROAD;INTERIOR;A47;6.00;;
BARANGAY ROAD;INTERIOR;A48;8.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
MUNICIPALITY:;AMBAGUIO;;;;
BARANGAY:;ALL BARANGAYS;;;;
PROVINCIAL ROAD;;CR;300.00;;
PROVINCIAL ROAD;;RR;240.00;;
PROVINCIAL ROAD;;A1;9.00;;
BARANGAY ROAD;;RR;90.00;;
INTERIOR;;RR;80.00;;
INTERIOR;;A1;6.00;;
INTERIOR;;A2;4.00;;
INTERIOR;;A15;2.00;;
INTERIOR;;A16;3.00;;
INTERIOR;;A23;3.00;;
INTERIOR;;A47;3.00;;
INTERIOR;;A48;3.00;;
INTERIOR;;A50;3.00;;
MUNICIPALITY:;ARITAO;;;;
BARANGAY:;POBLACION;;;;
AGUINALDO ST;;RR;960.00;;
BURGOS ST;;RR;960.00;;
DEL PILAR ST;;CR;1,600.00;;
DEL PILAR ST;;RR;960.00;;
LEJAO SUBD;NEAR MARKET SITE;RR;1,200.00;;
LEPROZO ST;;RR;1,200.00;;
LUNA ST;;CR;1,600.00;;
LUNA ST;;RR;1,200.00;;
MABINI ST;;RR;1,200.00;;
PEREZ BLVD;NATL HW-BONIFACIO ST;CR;1,600.00;;
RIZAL ST;MARKET SITE;CR;1,600.00;;
SAYO SUBDIVISION;;RR;960.00;;
TAFT AVE;;CR;1,600.00;;
TAFT AVE;;RR;960.00;;
TUCAY ST;;RR;720.00;;
ZAMORA ST;;CR;1,600.00;;
ZAMORA ST;;RR;1,200.00;;
MUNICIPALITY:;ARITAO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;200.00;;
NATIONAL ROAD;;A1;13.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;16.00;;
BARANGAY ROAD;INTERIOR;A2;8.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;6.00;;
BARANGAY ROAD;INTERIOR;A23;7.00;;
BARANGAY ROAD;INTERIOR;A47;5.00;;
BARANGAY ROAD;INTERIOR;A48;5.00;;
BARANGAY ROAD;INTERIOR;A50;5.00;;
MUNICIPALITY:;BAGABAG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PLARIDEL ST-SAN ROQUE;CR;2,000.00;;
NATIONAL ROAD;INTERIOR;RR;1,200.00;;
BACHELOR ST;;RR;1,200.00;;
BACHELOR ST;INTERIOR;RR;720.00;;
BAGUMBAYAN ST;;RR;960.00;;
BAGUMBAYAN ST;INTERIOR;RR;720.00;;
BARIUAN ST;;RR;1,200.00;;
BARIUAN ST;INTERIOR;RR;720.00;;
BAUAN ST;;RR;1,200.00;;
BAUAN ST;INTERIOR;RR;720.00;;
BONIFACIO ST;;RR;1,200.00;;
BONIFACIO ST;INTERIOR;RR;720.00;;
BURGOS ST;;RR;1,200.00;;
BURGOS ST;INTERIOR;RR;720.00;;
DEL PILAR ST;;RR;1,200.00;;
DEL PILAR ST;INTERIOR;RR;720.00;;
DIVERSION ROAD;;RR;960.00;;
DIVERSION ROAD;INTERIOR;RR;720.00;;
DOLORES ST;;RR;960.00;;
DOLORES ST;INTERIOR;RR;720.00;;
MALVAR ST;;RR;1,200.00;;
MALVAR ST;INTERIOR;RR;720.00;;
MARKET SITE;;CR;2,000.00;;
MERCADO ST;;RR;1,200.00;;
MERCADO ST;INTERIOR;RR;960.00;;
PLARIDEL ST;;RR;1,200.00;;
PLARIDEL ST;INTERIOR;RR;960.00;;
RIZAL ST;;RR;1,200.00;;
RIZAL ST;INTERIOR;RR;960.00;;
SACRISTIA ST;;RR;720.00;;
SACRISTIA ST;INTERIOR;RR;480.00;;
SAN FRANCISCO ST;;RR;720.00;;
SAN FRANCISCO ST;INTERIOR;RR;480.00;;
SAN GERONIMO ST;;RR;720.00;;
SAN GERONIMO ST;INTERIOR;RR;480.00;;
0;;RR;720.00;;
0;INTERIOR;RR;480.00;;
MUNICIPALITY:;BAGABAG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;480.00;;
NATIONAL ROAD;;A1;28.00;;
PROVINCIAL ROAD;;RR;200.00;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A1;23.00;;
BARANGAY ROAD;INTERIOR;A2;10.00;;
BARANGAY ROAD;INTERIOR;A15;3.00;;
BARANGAY ROAD;INTERIOR;A16;7.00;;
BARANGAY ROAD;INTERIOR;A23;10.00;;
BARANGAY ROAD;INTERIOR;A47;8.00;;
BARANGAY ROAD;INTERIOR;A48;7.00;;
BARANGAY ROAD;INTERIOR;A50;6.00;;
MUNICIPALITY:;BAMBANG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;MENDIOLA-MERCADO ST;CR;4,500.00;;
NATIONAL ROAD;MENDIOLA-SN FERNANDO;CR;4,500.00;;
AGLIPAY ST;;RR;1,600.00;;
BAYSA ST;;RR;1,600.00;;
CAMPO SANTO SENOBREST;;RR;1,600.00;;
COMMON ST;;RR;1,200.00;;
