RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
Municipality/City:;ALFONSO CASTANEDA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;;RR;70.00;;
PROVINCIAL ROAD;INTERIOR;RR;45.00;;
BARROGA ST;MUNICIPAL HALL;RR;70.00;;
BARROGA ST;ADJ. LOTS-BLK LOTS;RR;40.00;;
BARROGA ST;INTERIOR;RR;40.00;;
PANDAY ST;;CR;90.00;;
PANDAY ST;;RR;65.00;;
QUINTERO CASTILLO ST;;RR;40.00;;
QUINTERO CASTILLO ST;INTERIOR;RR;40.00;;
TANGCA ST;;RR;40.00;;
TANGCA ST;INTERIOR;RR;40.00;;
TANGCA ST;INTERIOR;;;;
Municipality/City:;ALFONSO CASTANEDA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;60.00;;
PROVINCIAL ROAD;;A1;7.00;;
PROVINCIAL ROAD;INTERIOR;RR;45.00;;
BARANGAY ROAD;;RR;40.00;;
BARANGAY ROAD;INTERIOR;RR;30.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;2.00;;
BARANGAY ROAD;INTERIOR;A23;2.00;;
BARANGAY ROAD;INTERIOR;A47;2.00;;
BARANGAY ROAD;INTERIOR;A48;2.00;;
BARANGAY ROAD;INTERIOR;A50;2.00;;
Municipality/City:;AMBAGUIO;;;;
BARANGAY:;ALL BARANGAYS;;;;
PROVINCIAL ROAD;;CR;100.00;;
PROVINCIAL ROAD;;RR;50.00;;
PROVINCIAL ROAD;;A1;7.00;;
BARANGAY ROAD;;RR;40.00;;
INTERIOR;;RR;20.00;;
INTERIOR;;A1;5.00;;
INTERIOR;;A2;3.00;;
INTERIOR;;A15;1.00;;
INTERIOR;;A16;2.00;;
INTERIOR;;A23;2.00;;
INTERIOR;;A47;2.00;;
INTERIOR;;A48;2.00;;
INTERIOR;;A50;2.00;;
Municipality/City:;ARITAO;;;;
BARANGAY:;POBLACION;;;;
AGUINALDO ST;;RR;215.00;;
BURGOS ST;;RR;165.00;;
DEL PILAR ST;;CR;270.00;;
DEL PILAR ST;;RR;160.00;;
LEJAO SUBD;NEAR MARKET SITE;RR;170.00;;
LEPROZO ST;;RR;170.00;;
LUNA ST;;CR;270.00;;
LUNA ST;;RR;160.00;;
MABINI ST;;RR;170.00;;
PEREZ BLVD;NATL HW-BONIFACIO ST;CR;500.00;;
RIZAL ST;MARKET SITE;CR;340.00;;
SAYO SUBDIVISION;;RR;240.00;;
TAFT AVE;;CR;270.00;;
TAFT AVE;;RR;160.00;;
TUCAY ST;;RR;215.00;;
ZAMORA ST;;CR;280.00;;
ZAMORA ST;;RR;215.00;;
Municipality/City:;ARITAO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;155.00;;
NATIONAL ROAD;;A1;12.00;;
BARANGAY ROAD;;RR;80.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A15;1.00;;
BARANGAY ROAD;INTERIOR;A16;4.00;;
BARANGAY ROAD;INTERIOR;A23;5.00;;
BARANGAY ROAD;INTERIOR;A47;4.00;;
BARANGAY ROAD;INTERIOR;A48;4.00;;
BARANGAY ROAD;INTERIOR;A50;4.00;;
Municipality/City:;BAGABAG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PLARIDEL ST-SAN ROQUE;CR;950.00;;
NATIONAL ROAD;INTERIOR;RR;350.00;;
DOLORES ST;;RR;220.00;;
DOLORES ST;INTERIOR;RR;160.00;;
BACHELOR ST;;RR;220.00;;
BACHELOR ST;INTERIOR;RR;110.00;;
BAGUMBAYAN ST;;RR;350.00;;
BAGUMBAYAN ST;INTERIOR;RR;220.00;;
BARIUAN ST;;RR;220.00;;
BARIUAN ST;INTERIOR;RR;110.00;;
BAUAN ST;;RR;220.00;;
BAUAN ST;INTERIOR;RR;110.00;;
BONIFACIO ST;;RR;220.00;;
BONIFACIO ST;INTERIOR;RR;110.00;;
BURGOS ST;;RR;350.00;;
BURGOS ST;INTERIOR;RR;220.00;;
DEL PILAR ST;;RR;220.00;;
DEL PILAR ST;INTERIOR;RR;110.00;;
DIVERSION ROAD;;RR;260.00;;
DIVERSION ROAD;INTERIOR;RR;110.00;;
