RDO:;RDO NO. 14 - BAYOMBONG, NUEVA  VIZCAYA;;;;
CITY/MUNICIPALITY:;AMBAGUIO;;;;
BARANGAY:;ALL BARANGAYS;;;;
PROVINCIAL ROAD;;CR;100.00;;
PROVINCIAL ROAD;;RR;50.00;;
BARANGAY ROAD;;RR;40.00;;
INTERIOR;;RR;20.00;;
INTERIOR;;A1;5.00;;
INTERIOR;;A2;3.00;;
INTERIOR;;A3;2.00;;
INTERIOR;;A4;2.00;;
INTERIOR;;A5;2.00;;
INTERIOR;;A6;2.00;;
INTERIOR;;A7;1.00;;
INTERIOR;;A8;2.00;;
CITY/MUNICIPALITY:;ALFONSO CASTANEDA;;;;
BARANGAY:;POBLACION;;;;
PROVINCIAL ROAD;;RR;45.00;;
PROVINCIAL ROAD;INTERIOR;RR;40.00;;
PANDAY ST;;CR;60.00;;
PANDAY ST;;RR;35.00;;
BARROGA ST;MUNICIPAL HALL;RR;45.00;;
BARROGA ST;ADJ LOTS-BLK LOTS;RR;35.00;;
BARROGA ST;INTERIOR;RR;35.00;;
QUINTERO CASTILLO ST;;RR;35.00;;
QUINTERO CASTILLO ST;INTERIOR;RR;35.00;;
TANGCA ST;;RR;35.00;;
TANGCA ST;INTERIOR;RR;35.00;;
CITY/MUNICIPALITY:;ALFONSO CASTANEDA;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
PROVINCIAL ROAD;;RR;45.00;;
PROVINCIAL ROAD;INTERIOR;RR;40.00;;
BARANGAY ROAD;;RR;30.00;;
BARANGAY ROAD;INTERIOR;RR;25.00;;
BARANGAY ROAD;INTERIOR;A1;5.00;;
BARANGAY ROAD;INTERIOR;A2;3.00;;
BARANGAY ROAD;INTERIOR;A3;2.00;;
BARANGAY ROAD;INTERIOR;A4;2.00;;
BARANGAY ROAD;INTERIOR;A5;2.00;;
BARANGAY ROAD;INTERIOR;A6;2.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;2.00;;
CITY/MUNICIPALITY:;ARITAO;;;;
CITY/MUNICIPALITY:;ARITAO;;;;
BARANGAY:;POBLACION;;;;
PEREZ BLVD;NATL HW-BONIFACIO ST;CR;500.00;;
ZAMORA ST;;CR;160.00;;
ZAMORA ST;;RR;130.00;;
DEL PILAR ST;;CR;135.00;;
DEL PILAR ST;;RR;120.00;;
LUNA ST;;CR;135.00;;
LUNA ST;;RR;120.00;;
TAFT AVE;;CR;135.00;;
TAFT AVE;;RR;120.00;;
BURGOS ST;;RR;110.00;;
TUCAY ST;;RR;125.00;;
AGUINALDO ST;;RR;125.00;;
MABINI ST;;RR;150.00;;
LEPROZO ST;;RR;150.00;;
LEJAO SUBD.;NEAR MARKET SITE;RR;150.00;;
RIZAL ST;MARKET SITE;CR;275.00;;
CITY/MUNICIPALITY:;ARITAO;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;150.00;;
BARANGAY ROAD;;RR;80.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
BARANGAY ROAD;INTERIOR;A2;5.00;;
BARANGAY ROAD;INTERIOR;A3;4.00;;
BARANGAY ROAD;INTERIOR;A4;4.00;;
BARANGAY ROAD;INTERIOR;A5;4.00;;
BARANGAY ROAD;INTERIOR;A6;4.00;;
BARANGAY ROAD;INTERIOR;A7;1.00;;
BARANGAY ROAD;INTERIOR;A8;5.00;;
CITY/MUNICIPALITY:;BAGABAG;;;;
BARANGAY:;POBLACION;;;;
NATIONAL ROAD;PLARIDEL ST-SAN ROQUE;CR;700.00;;
NATIONAL ROAD;INTERIOR;RR;300.00;;
BURGOS ST;;RR;300.00;;
BURGOS ST;INTERIOR;RR;200.00;;
BAGUMBAYAN ST;;RR;300.00;;
BAGUMBAYAN ST;INTERIOR;RR;200.00;;
RIZAL ST;;RR;300.00;;
RIZAL ST;INTERIOR;RR;200.00;;
SAN GERONIMO ST;;RR;240.00;;
SAN GERONIMO ST;INTERIOR;RR;200.00;;
SACRISTIA ST;;RR;200.00;;
SACRISTIA ST;INTERIOR;RR;150.00;;
DOLORES ST;INTERIOR;RR;200.00;;
DOLORES ST;INTERIOR;RR;150.00;;
DIVERSION ROAD;;RR;250.00;;
DIVERSION ROAD;INTERIOR;RR;100.00;;
DEL PILAR ST;;RR;200.00;;
DEL PILAR ST;INTERIOR;RR;100.00;;
SAN FRANCISCO ST;;RR;200.00;;
SAN FRANCISCO ST;INTERIOR;RR;100.00;;
BAUAN ST;;RR;200.00;;
BAUAN ST;INTERIOR;RR;100.00;;
SAN ROQUE ST;;RR;200.00;;
SAN ROQUE ST;INTERIOR;RR;100.00;;
BACHELOR ST;;RR;200.00;;
BACHELOR ST;INTERIOR;RR;100.00;;
MERCADO ST;;RR;200.00;;
MERCADO ST;INTERIOR;RR;100.00;;
MALVAR ST;;RR;200.00;;
MALVAR ST;INTERIOR;RR;100.00;;
BONIFACIO ST;;RR;200.00;;
BONIFACIO ST;INTERIOR;RR;100.00;;
BARIUAN ST;;RR;200.00;;
BARIUAN ST;INTERIOR;RR;100.00;;
MARKET SITE;;CR;700.00;;
PLARIDEL ST;;RR;200.00;;
PLARIDEL ST;INTERIOR;RR;100.00;;
CITY/MUNICIPALITY:;BAGABAG;;;;
BARANGAY:;ALL OTHER BARANGAYS;;;;
NATIONAL ROAD;;RR;150.00;;
PROVINCIAL ROAD;;RR;100.00;;
BARANGAY ROAD;;RR;70.00;;
BARANGAY ROAD;INTERIOR;RR;50.00;;
BARANGAY ROAD;INTERIOR;A1;10.00;;
