RDO:;NO. 15 ILAGAN, ISABELA;;;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;AMISTAD;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;ANTONINO-POBLACION;;;;
ALL LOTS;NATIONAL ROAD;CR;1,200.00;;
ALL LOTS;NATIONAL ROAD;RR;400.00;;
ALL LOTS;NATIONAL ROAD;A1;20.00;;
ALL LOTS;NATIONAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;APANAY;;;;
ALL LOTS;NATIONAL ROAD;RR;150.00;;
ALL LOTS;NATIONAL ROAD;A1;17.50;;
ALL LOTS;NATIONAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;AURORA;;;;
ALL LOTS;PROVINCIAL ROAD;X;80.00;;
ALL LOTS;PROVINCIAL ROAD;CR;1,000.00;;
ALL LOTS;PROVINCIAL ROAD;RR;300.00;;
ALL LOTS;PROVINCIAL ROAD;A1;17.50;;
ALL LOTS;PROVINCIAL ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BAGNOS;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BAGONG SIKAT;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BANTOG PETINES;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BONIFACIO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
ALL LOTS;BARANGAY ROAD;;;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;BURGOS;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;350.00;;
ALL LOTS;BARANGAY ROAD;A1;17.50;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;CALOCAN-POBLACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;1,600.00;;
ALL LOTS;PROVINCIAL ROAD;RR;400.00;;
ALL LOTS;PROVINCIAL ROAD;A1;10.00;;
ALL LOTS;PROVINCIAL ROAD;A2;8.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;CALLAO;;;;
ALL LOTS;BARANGAY ROAD;RR;160.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;DAGUPAN;;;;
ALL LOTS;PROVINCIAL ROAD;X;80.00;;
ALL LOTS;;RR;150.00;;
ALL LOTS;;CR;600.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;DEL PILAR;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;RR;350.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;INANAMA;;;;
ALL LOTS;BARANGAY ROAD;RR;110.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;LINGLINGAY;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;15.00;;
ALL LOTS;BARANGAY ROAD;A2;7.00;;
CITY/MUNICIPALITY:;ALICIA;;;;
BARANGAY:;MABINI;;;;
