RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  1 ZONE  1;;;ZONE 1 IS BOUNDED BY:     NORTH   - MORIONES (FROM ASUNCION TO ESTERO DELA REINA)     SOUTH   - C M RECTO (FROM ESTERO DELA REINA TO ASUNCION)     WEST     - ASUNCION (FROM MORIONES TO C M RECTO)     EAST      - ESTERO DELA REINA (FROM MORIONES TO C M RECTO);
ASUNCION;C M RECTO LAKANDULA;CR;5,200.00;;
BALAGTAS;ASUNCION STO CRISTO;CR;5,200.00;;
C M RECTO;ASUNCION STO CRISTO;CR;19,500.00;;
ELCANO;C M RECTO P HERRRERA;CR;5,200.00;;
LAKANDULA;ASUNCION STO CRISTO;CR;5,200.00;;
MARIA PAYO;ASUNCION STO CRISTO;CR;5,200.00;;
P HERRERA;ASUNCION STO CRISTO;CR;5,200.00;;
P RADA;ASUNCION STO CRISTO;CR;7,800.00;;
PAGHANAPIN;ASUNCION ELCANO;CR;5,200.00;;
SANTO CRISTO;C M RECTO LAKANDULA;CR;13,000.00;;
ZABALA;ASUNCION ELCANO;CR;4,550.00;;
ZARAGOZA;ASUNCION STO CRISTO;CR;5,200.00;;
ALL OTHER STREETS;;CR;5,200.00;;
BARANGAY:;BARANGAY  2 ZONE  1;;;;
BALAGTAS;ASUNCION STO CRISTO;RR;2,100.00;;
BILBAO;LAKANDULA ZARAGOSA;CR;4,750.00;;
C M RECTO;STO CRISTO C PLANAS;CR;17,400.00;;
C PLANAS FOL G;C M RECTO LAKANDULA;CR;13,000.00;;
DAMA DE NOCHE;ZARAGOSA;CR;6,650.00;;
LAKANDULA;STO CRISTO C PLANAS;CR;4,900.00;;
LAURA;BILBAO C PLANAS;CR;5,200.00;;
MARIA PAYO;STO CRISTO BILBAO;CR;5,200.00;;
P HERRERA;STO CRISTO C PLANAS;CR;5,200.00;;
PADRE RADA;STO CRISTO C PLANAS;CR;5,350.00;;
PAGHANAPIN;STO CRISTO BILBAO;CR;4,900.00;;
SANTO CRISTO;C M RECTO LAKANDULA;CR;13,000.00;;
ZARAGOSA;STO CRISTO C PLANAS;CR;5,200.00;;
BARANGAY:;BARANGAY  3 ZONE  1;;;;
C AGUIRRE;ILAYA C PLANAS;CR;4,650.00;;
C M RECTO;C PLANAS ILAYA;CR;17,550.00;;
C PLANAS FOLG;LAKANDULA C M RECTO;CR;5,850.00;;
ILAYA;C M RECTO LAKANDULA;CR;13,000.00;;
