RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  1 ZONE  1;;;ZONE 1 IS BOUNDED BY:     NORTH   -    MORIONES (FROM ASUNCION TO ESTERO DELA REINA)     SOUTH   -    C M RECTO (FROM ESTERO DELA REINA TO ASUNCION)     WEST    -     ASUNCTION (FROM MORIONES TO C M RECTO)     EAST     -     ESTERO DELA REINA (FROM MORIONES TO C M RECTO);
ASUNCION;C M RECTO-LAKANDULA;CR;22,500.00;;
BALAGTAS;ASUNCION-STO CRISTO;CR;22,500.00;;
C M RECTO;ASUNCION-STO CRISTO;CR;60,000.00;;
ELCANO;C M RECTO-P HERRRERA;CR;22,500.00;;
LAKANDULA;ASUNCION-STO CRISTO;CR;22,500.00;;
MARIA PAYO;ASUNCION-STO CRISTO;CR;22,500.00;;
P HERRERA;ASUNCION-STO CRISTO;CR;22,500.00;;
P RADA;ASUNCION-STO CRISTO;CR;30,000.00;;
PAGHANAPIN;ASUNCION-ELCANO;CR;22,500.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;37,500.00;;
ZABALA;ASUNCION-ELCANO;CR;15,000.00;;
ZARAGOZA;ASUNCION-STO CRISTO;CR;18,375.00;;
ALL OTHER STREETS;;CR;19,500.00;;
BARANGAY:;BARANGAY  2 ZONE  1;;;;
BALAGTAS;ASUNCION-STO CRISTO;CR;22,500.00;;
BILBAO;LAKANDULA-ZARAGOZA;CR;22,500.00;;
C M RECTO;STO CRISTO-C PLANAS;CR;60,000.00;;
C PLANAS FULGUERAS;C M RECTO-LAKANDULA;CR;37,500.00;;
DAMA DE NOCHE;ZARAGOZA;CR;30,000.00;;
LAKANDULA;STO CRISTO-C PLANAS;CR;22,500.00;;
LAURA;BILBAO-C PLANAS;CR;22,500.00;;
MARIA PAYO;STO CRISTO-BILBAO;CR;22,500.00;;
P HERRERA;STO CRISTO-C PLANAS;CR;22,500.00;;
PADRE RADA;STO CRISTO-C PLANAS;CR;30,000.00;;
PAGHANAPIN;STO CRISTO-BILBAO;CR;22,500.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;37,500.00;;
ZARAGOZA;STO CRISTO-C PLANAS;CR;15,000.00;;
BARANGAY:;BARANGAY  3 ZONE  1;;;;
C AGUIRRE;ILAYA-C PLANAS;CR;15,000.00;;
