RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  1 ZONE  1;;;ZONE 1 IS BOUNDED BY:     NORTH   -  MORIONES (FROM ASUNCION TO ESTERO DELA REINA)     SOUTH   -  C M RECTO (FROM ESTERO DELA REINA TO ASUNCION)     WEST     -  ASUNCTION (FROM MORIONES TO C M RECTO)     EAST      -  ESTERO DELA REINA (FROM MORIONES TO C M RECTO);
ASUNCION;C M RECTO-LAKANDULA;CR;28,125.00;;
BALAGTAS;ASUNCION-STO CRISTO;CR;28,125.00;;
C M RECTO;ASUNCION-STO CRISTO;CR;78,000.00;;
ELCANO;C M RECTO-P HERRRERA;CR;28,125.00;;
LAKANDULA;ASUNCION-STO CRISTO;CR;28,125.00;;
MARIA PAYO;ASUNCION-STO CRISTO;CR;28,125.00;;
P HERRERA;ASUNCION-STO CRISTO;CR;28,125.00;;
P RADA;ASUNCION-STO CRISTO;CR;39,000.00;;
PAGHANAPIN;ASUNCION-ELCANO;CR;28,125.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;48,750.00;;
ZABALA;ASUNCION-ELCANO;CR;18,750.00;;
ZARAGOZA;ASUNCION-STO CRISTO;CR;22,970.00;;
ALL OTHER STREETS;;CR;24,375.00;;
BARANGAY:;BARANGAY  2 ZONE  1;;;;
BALAGTAS;ASUNCION-STO CRISTO;CR;28,125.00;;
BILBAO;LAKANDULA-ZARAGOZA;CR;28,125.00;;
C M RECTO;STO CRISTO-C PLANAS;CR;78,000.00;;
C PLANAS FULGUERAS;C M RECTO-LAKANDULA;CR;48,750.00;;
DAMA DE NOCHE;ZARAGOZA;CR;39,000.00;;
LAKANDULA;STO CRISTO-C PLANAS;CR;28,125.00;;
LAURA;BILBAO-C PLANAS;CR;28,125.00;;
MARIA PAYO;STO CRISTO-BILBAO;CR;28,125.00;;
P HERRERA;STO CRISTO-C PLANAS;CR;28,125.00;;
PADRE RADA;STO CRISTO-C PLANAS;CR;39,000.00;;
PAGHANAPIN;STO CRISTO-BILBAO;CR;28,125.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;48,750.00;;
ZARAGOZA;STO CRISTO-C PLANAS;CR;18,750.00;;
ZARAGOZA;STO CRISTO-C PLANAS;;;;
BARANGAY:;BARANGAY  3 ZONE  1;;;;
