RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  1 ZONE  1;;;"ZONE 1 IS BOUNDED BY:     - MORIONES (FROM ASUNCION TO ESTERO DELA REINA) ON THE NORTH;     - CLARO M RECTO (FROM ESTERO DELA REINA TO ASUNCION) ON THE SOUTH;     - ASUNCION (FROM MORIONES TO CLARO M RECTO) ON THE WEST; AMD     - ESTERO DELA REINA (FROM MORIONES TO CLARO M RECTO) ON THE EAST";
ASUNCION;C M RECTO-LAKANDULA;CR;39,375.00;;
ASUNCION EXT.;P. RADA-ZABALA ST.;CR;39,375.00;;
BALAGTAS;ASUNCION-STO CRISTO;CR;39,375.00;;
C M RECTO;ASUNCION-STO CRISTO;CR;109,200.00;;
ELCANO;C M RECTO-P HERRRERA;CR;39,375.00;;
LAKANDULA;ASUNCION-STO CRISTO;CR;39,375.00;;
MARIA PAYO;ASUNCION-STO CRISTO;CR;39,375.00;;
P HERRERA;ASUNCION-STO CRISTO;CR;39,375.00;;
P RADA;ASUNCION-STO CRISTO;CR;54,600.00;;
PAGHANAPIN;ASUNCION-ELCANO;CR;39,375.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;68,250.00;;
ZABALA;ASUNCION-ELCANO;CR;34,125.00;;
ZARAGOZA;ASUNCION-STO CRISTO;CR;34,125.00;;
ALL OTHER STREETS;;CR;34,125.00;;
ALL OTHER STREETS;;RR;12,600.00;;
BARANGAY:;BARANGAY  2  ZONE  1;;;;
BALAGTAS;ASUNCION-STO CRISTO;CR;39,375.00;;
BILBAO;LAKANDULA-ZARAGOZA;CR;39,375.00;;
C M RECTO;STO CRISTO-C PLANAS;CR;109,200.00;;
C PLANAS FULGUERAS;C M RECTO-LAKANDULA;CR;68,250.00;;
DAMA DE NOCHE;ZARAGOZA;CR;54,600.00;;
LAKANDULA;STO CRISTO-C PLANAS;CR;39,375.00;;
LAURA;BILBAO-C PLANAS;CR;39,375.00;;
MARIA PAYO;STO CRISTO-BILBAO;CR;39,375.00;;
P HERRERA;STO CRISTO-C PLANAS;CR;39,375.00;;
PADRE RADA;STO CRISTO-C PLANAS;CR;54,600.00;;
PAGHANAPIN;STO CRISTO-BILBAO;CR;39,375.00;;
SANTO CRISTO;C M RECTO-LAKANDULA;CR;68,250.00;;
ZARAGOZA;STO CRISTO-C PLANAS;CR;26,250.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;12,600.00;;
BARANGAY:;BARANGAY  3 ZONE  1;;;;
