RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY  1   ZONE  1;;;ZONE 1 IS BOUNDED BY:     NORTH  -  MORIONES (FR. ASUNCION TO ESTERO DELA REINA)     SOUTH  -  C. M. RECTO (FR. ESTERO DELA REINA TO ASUNCION)     WEST    -  ASUNCION (FR. MORIONES TO C. M. RECTO)     EAST    -  ESTERO DELA REINA (FROM MORIONES TO C. M. RECTO);
ASUNCION;C. M. RECTO-LAKANDULA;CR;4,000.00;;
BALAGTAS;ASUNCION-STO. CRISTO;CR;4,000.00;;
C. M. RECTO;ASUNCION-STO. CRISTO;CR;15,000.00;;
ELCANO;C. M. RECTO-P. HERRRERA;CR;4,000.00;;
LAKANDULA;ASUNCION-STO. CRISTO;CR;4,000.00;;
MARIA PAYO;ASUNCION-STO. CRISTO;CR;4,000.00;;
P. HERRERA;ASUNCION-STO. CRISTO;CR;4,000.00;;
PADRE RADA;ASUNCION-STO. CRISTO;CR;6,000.00;;
PAGHANAPIN;ASUNCION-ELCANO;CR;4,000.00;;
SANTO CRISTO;C. M. RECTO-LAKANDULA;CR;10,000.00;;
ZABALA;ASUNCION-ELCANO;CR;3,500.00;;
ZARAGOSA;ASUNCION-STO. CRISTO;CR;4,000.00;;
ALL OTHER STREETS;;CR;4,000.00;;
BARANGAY:;BARANGAY 2 ZONE  1;;;;
BALAGTAS;ASUNCION-STO. CRISTO;RR;1,750.00;;
BILBAO;LAKANDULA-ZARAGOSA;CR;3,650.00;;
C. M. RECTO;STO. CRISTO-C. PLANAS;CR;13,500.00;;
CARMEN PLANAS (FOLG);C. M. RECTO-LAKANDULA;CR;10,000.00;;
DAMA DE NOCHE;ZARAGOSA;CR;5,100.00;;
LAKANDULA;STO. CRISTO-C. PLANAS;CR;3,750.00;;
LAURA;BILBAO-C. PLANAS;CR;4,000.00;;
MARIA PAYO;STO. CRISTO-BILBAO;CR;4,000.00;;
P. HERRERA;STO. CRISTO-C. PLANAS;CR;4,000.00;;
PADRE RADA;STO. CRISTO-C. PLANAS;CR;4,100.00;;
PAGHANAPIN;STO. CRISTO-BILBAO;CR;3,750.00;;
SANTO CRISTO;C. M. RECTO-LAKANDULA;CR;10,000.00;;
ZARAGOSA;STO. CRISTO-C. PLANAS;CR;4,000.00;;
BARANGAY:;BARANGAY  3 ZONE  1;;;;
C. AGUIRRE;ILAYA-C. PLANAS;CR;3,550.00;;
C. M. RECTO;C. PLANAS-ILAYA;CR;13,500.00;;
