RDO NO. 46;CAINTA-TAYTAY;;;;
PROVINCE:;RIZAL;;;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POBLACION IBABA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
AURORA ST;CAPT ALLANO-LAZARO;RR;800.00;;
AURORA ST;CAPT ALLANO-LAZARO;CR;800.00;;
AURORA ST;LAZARO-SEASHORE;GP;250.00;;
ALL LANDS;ALONG THE SEASHORE;GP;150.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POBLACION ITAAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
QUEZON AVENUE;;RR;2,000.00;;
QUEZON AVENUE;;CR;2,000.00;;
D. AURORA ST;;RR;900.00;;
D. AURORA ST;;CR;900.00;;
CAPT. ALLANO;;RR;600.00;;
CAPT. ALLANO;;CR;600.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;BAGUMBAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
CAPT ALANO ST;;RR;700.00;;
CAPT ALANO ST;;CR;700.00;;
E. DELA PAZ ST;;RR;600.00;;
SUMULONG ST;;RR;150.00;;
B GUIDO ST;;RR;600.00;;
B GUIDO ST;;GP;150.00;;
LAZARO ST;;RR;600.00;;
ALL OTHER STREETS;;RR;500.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;KALAYAAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
QUEZON AVENUE;;RR;1,500.00;;
QUEZON AVENUE;;CR;1,500.00;;
EDENVILLE AVE;MEDINA - DIAZ ST;RR;600.00;;
EDENVILLE AVE;DIAZ ST - DR. SAMSON;RR;600.00;;
EDENVILLE AVE;SAMSON-SEASHORE;GP;150.00;;
TIAMSON ST;MEDINA - DIAZ ST;RR;600.00;;
TIAMSON ST;DIAZ ST - DR. SAMSON;RR;600.00;;
TIAMSON ST;SAMSON-SEASHORE;GP;150.00;;
PALOMO SUBD;;RR;600.00;;
PALOMO SUBD;ALONG SEASHORE;GP;150.00;;
BAYTOWN SUBD;;RR;300.00;;
BAYTOWN SUBD;ALONG SEASHORE;GP;150.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;MAHABANG PARANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
MASAGANA VILLAGE;;RR;600.00;;
PRIMEROSE  SUBD;;RR;600.00;;
DURAVILLE SUBD;;RR;600.00;;
