RDO NO. 46;CAINTA-TAYTAY;;;;
PROVINCE:;RIZAL;;;;
CITY/CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POBLACION IBABA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
AURORA ST;CAPT ALLANO-LAZARO;RR;840.00;;
AURORA ST;CAPT ALLANO-LAZARO;CR;1,040.00;;
AURORA ST;LAZARO-SEASHORE;RR;250.00;;
AURORA ST;LAZARO-SEASHORE;GP;275.00;;
ALL OTHER LOTS;ALONG THE SEASHORE;A1;165.00;;
ALL OTHER LOTS;ALONG THE SEASHORE;GP;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POBLACION ITAAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVENUE;;RR;2,300.00;;
QUEZON AVENUE;;CR;2,600.00;;
D. AURORA ST;;RR;950.00;;
D. AURORA ST;;CR;1,035.00;;
CAPT. ALLANO;;RR;630.00;;
CAPT. ALLANO;;CR;780.00;;
ALL OTHER LOTS;;RR;350.00;;
ALL OTHER LOTS;;GP;275.00;;
ALL OTHER LOTS;;A1;165.00;;
ALL OTHER LOTS;;A50;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;BAGUMBAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
CAPT ALANO ST;DELA PAZ-LAZARO;RR;735.00;;
CAPT ALANO ST;DELA PAZ-LAZARO;CR;910.00;;
E. DELA PAZ ST;CAPT ALANO-LAZARO;RR;630.00;;
E. DELA PAZ ST;CAPT ALANO-LAZARO;CR;780.00;;
E. DELA PAZ ST;DELA PAZ-LAZARO;RR;685.00;;
SUMULONG ST;CAPT. ALANO - LAZARO;RR;630.00;;
SUMULONG ST;LAZARO-DELA PAZ;CR;780.00;;
SUMULONG ST;LAZARO-SEASHORE;RR;210.00;;
B. GUIDO ST (BENITO GUIDO ST);ALANO - LAZARO;RR;630.00;;
B. GUIDO ST (BENITO GUIDO ST);ALANO - LAZARO;GP;150.00;;
LAZARO ST;DELA PAZ-GUIDO;RR;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;GP;50.00;;
ALL OTHER STREETS;;A1;80.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;KALAYAAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REVISION ZV/SQ.M.;;
QUEZON AVENUE;;RR;1,650.00;;
QUEZON AVENUE;;CR;2,000.00;;
EDENVILLE AVE;MEDINA - DIAZ ST;RR;630.00;;
EDENVILLE AVE;DIAZ ST - DR. SAMSON;RR;600.00;;
EDENVILLE AVE;SAMSON-SEASHORE;RR;210.00;;
EDENVILLE AVE;SAMSON-SEASHORE;GP;150.00;;
TIAMSON ST;MEDINA - DIAZ ST;RR;630.00;;
TIAMSON ST;DIAZ ST - DR. SAMSON;RR;600.00;;
TIAMSON ST;SAMSON-SEASHORE;GP;165.00;;
PALOMO SUBD;;RR;660.00;;
PALOMO SUBD;ALONG SEASHORE;RR;165.00;;
PALOMO SUBD;ALONG SEASHORE;GP;150.00;;
BAYTOWN SUBD;;RR;330.00;;
