RDO:;RDO NO. 46 - CAINTA-TAYTAY;;;;
PROVINCE:;RIZAL;;;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;BAGUMBAYAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CAPT ALLANO ST;E DELA PAZ-COL GUIDO;CR;700.00;;
E. DELA PAZ ST;CAPT ALLANO-LAZARO;CR;600.00;;
COL GUIDO ST;CAPT ALLANO - LAZARO;RR;600.00;;
LAZARO ST;E DELA PAZ-SUMULONG;RR;450.00;;
OTHER ST;;RR;300.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;KALAYAAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
EDENVILLE SUBD;;RR;500.00;;
VILLALUZ ST;;RR;700.00;;
PALOMO SUBD;;RR;400.00;;
LT. AGUINALDO ST;;CR;400.00;;
ALL  STREETS SEASHORE;;RR;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;M. PARANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MAYA FARMS;;I;750.00;;
MASAGANA VILL;;RR;400.00;;
GRAND VALLEY SUBD;;RR;400.00;;
ROBINA FARMS;;I;750.00;;
YUPANGCO COTTON MILL;;I;750.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POB-IBABA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CAPT ALLANO ST;AURORA-E DALA PAZ;CR;600.00;;
CAPT ALLANO ST;AURORA-E DALA PAZ;RR;600.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;POBLACION ITAAS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
QUEZON AVENUE;FR BRIDGE-E DELA PAZ;CR;1000.00;;
D. AURORA ST;QUEZON AVE-ALLANO;CR;700.00;;
D. AURORA ST;QUEZON AVE-ALLANO;RR;700.00;;
CITY/MUNICIPALITY: ANGONO;;;;;
BARANGAY:  SAN PEDRO;;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BRGY STO.NINO;E DELA PAZ-SUMULONG;CR;400.00;;
BRGY STO.NINO;E DELA PAZ-SUMULONG;RR;400.00;;
QUEZON AVENUE;;CR;500.00;;
BLOOMINGDALE SUBD.;;RR;500.00;;
ALL OTHER STREETS;;RR;300.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
QUEZON AVE-AURORA;;CR;500.00;;
DONA AURORA;QUEZON AVE-JUSTA I;RR;500.00;;
DONA AURORA;DONA JUSTA II SUBD I;RR;500.00;;
DONA AURORA;DONA JUSTA  SUBD II;RR;300.00;;
DONA AURORA;COL GUIDO-DONA AURORA;RR;400.00;;
NIEVES HILLS;;RR;300.00;;
DON MARIANO SANTOS;;CR;500.00;;
ANDROMEDA HOMES;;RR;400.00;;
BURROUGHS DEV;;RR;400.00;;
ALL OTHER STREETS;;RR;300.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MUZON PROV ROAD;;RR;400.00;;
QUEZON AVE;BRIDGE-PFC TOELNTINO;CR;1,000.00;;
QUEZON AVE. EXT.;PFC TOLENTINO-IGLESIA;CR;450.00;;
QUEZON AVE. EXT. MUZON;INK-TAYTAY-ANGONO RI;CR;400.00;;
ALL OTHER STREETS COMPRISI;BRGY SAN ISIDRO;RR;400.00;;
AURORA SUBD.;;RR;300.00;;
CONSTELLATION HOME;;RR;300.00;;
RAINBOW SUBD;;RR;600.00;;
SAN MARTIN SUBD;;RR;200.00;;
RICHMOND SUBD;;RR;400.00;;
VILLA GLORIA;;RR;1000.00;;
VENUS CPD;;RR;200.00;;
MEDALVA VILLAGE;CASEY HOMES;RR;400.00;;
RAWLAND;;GP;100.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;SAN VICENTE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
E. RODRIGUEZ ST;;CR;500.00;;
E. RODRIGUEZ ST;;RR;400.00;;
RODRIGUEZ ST;E RODRIGUEZ ST-NIEVE;CR;400.00;;
ALL STREETS COMPRISI;;CR;400.00;;
ALL STREETS SEASHORE;;RR;300.00;;
CITY/MUNICIPALITY:;ANGONO;;;;
BARANGAY:;STO. NIÑO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CARIBE SUBD;(STO. NINO);CR;500.00;;
CARIBE SUBD;(SAN VICENTE);RR;400.00;;
CARIBE SUBD;(SEASHORE);RR;200.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ANDRES;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
A PRIME CPD;;RR;650.00;;
D M CPD;;RR;700.00;;
EMERALD CPD;;RR;650.00;;
FELIX SUBD;;RR;650.00;;
GREENWOOD EXEC. VILL;;RR;1,350.00;;
LANEVILLE SUBD;;RR;1350.00;;
MADERA HOMES;;RR;800.00;;
MADONNA HOMES;;RR;800.00;;
MAXIMS CPD;;RR;550.00;;
PABTON VILLE;;RR;550.00;;
PAG-IBIG HOUSING;;RR;800.00;;
POLICARPIO CPD;;RR;155.00;;
ROD FER II;;RR;700.00;;
ROMEO MARIETA SUBD;;RR;800.00;;
ROSE ANN CPD;;RR;550.00;;
ST. ANDREW SUBD;;RR;550.00;;
SUMMER GREEN;;RR;1100.00;;
TEACHERS VILLAGE;;RR;600.00;;
VENICE REALTY;;RR;1,200.00;;
47 II HEIGHTS;;RR;600.00;;
BONIFACIO AVE.;;CR;5,000.00;;
BONIFACIO AVE.;;RR;4,000.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;GP;60.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
AFP MBAI HOUSING;;RR;800.00;;
BALANTI I;;RR;750.00;;
BAUTISTA CPD;;RR;850.00;;
BAYANIHAN VILL;;RR;850.00;;
BROOKSIDE HILLS;;RR;1,250.00;;
FILINVEST HOMES;;RR;1,400.00;;
FORTUNE HOUSING;;RR;1,350.00;;
GENESINS SUBD;;RR;900.00;;
GREEN ACRES;;RR;950.00;;
GUARLE VALLEY;;RR;850.00;;
J H HOUSING;;RR;1,100.00;;
JBE SUBD;;RR;950.00;;
KARANGALAN VILLAGE;;RR;750.00;;
KATARUNGAN VILLAGE;;RR;900.00;;
MAGINHAWA HOUSING;;RR;850.00;;
PARK PLACE;;RR;1,200.00;;
PASCO CPD;;RR;1,000.00;;
PASIG GREENPARK;;RR;1,150.00;;
ST GREGORY;;RR;800.00;;
TEREHILL;;RR;800.00;;
TOWN & COUNTRY SUBD;;RR;1,500.00;;
UE VILLAGE;;RR;950.00;;
VIRLANE;;RR;950.00;;
VISTA VERDE;;RR;1,500.00;;
MARCOS HIGHWAY;;CR;5,000.00;;
MARCOS HIGHWAY;;RR;4,000.00;;
SUMULONG HIGHWAY;;CR;4,000.00;;
SUMULONG HIGHWAY;;RR;3,000.00;;
IMELDA AVENUE;;CR;5,000.00;;
IMELDA AVENUE;;RR;4,000.00;;
ORTIGAS AVENUE;;CR;8,000.00;;
ORTIGAS AVENUE;;RR;7,000.00;;
PALMERA HEIGHTS;;RR;1,800.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;GP;60.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN JUAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
APPLE VILLAGE;;RR;1,000.00;;
CAINTA GREENLAND;;RR;1,300.00;;
DON MARIANO;;RR;1,300.00;;
EASTER HEIGHTS;;RR;1,300.00;;
ROBLES SUBD;;RR;800.00;;
SAN JUAN HEIGHTS;;RR;800.00;;
ST  ANTHONY;;RR;1,000.00;;
ST  FRANCIS;;RR;800.00;;
ST  MARTHA;;RR;1,000.00;;
VICTORIA VALLEY;;RR;1,500.00;;
ORTIGAS AVE. EXT;;CR;8,000.00;;
ORTIGAS AVE. EXT;;RR;7,000.00;;
BONIFACIO AVENUE;;CR;5,000.00;;
BONIFACIO AVENUE;;RR;4,000.00;;
OTHER AREAS;;RR;800.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;SAN ROQUE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
C M CPD;;RR;800.00;;
ST. CHRISTOPHER SUBD.;;RR;800.00;;
SUBURBAN HEIGHTS;;RR;800.00;;
BONIFACIO AVENUE;;CR;5000.00;;
BONIFACIO AVENUE;;RR;4000.00;;
OTHER AREAS;;RR;800.00;;
OTHER AREAS;;GP;60.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;STA. ROSA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
M H DEL PILAR ST;;RR;700.00;;
P  BURGOS ST;;RR;700.00;;
OTHER AREAS;;RR;700.00;;
OTHER AREAS;;GP;40.00;;
CITY/MUNICIPALITY:;CAINTA;;;;
BARANGAY:;STO. DOMINGO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BUENA VILLE SUBD;;RR;1,500.00;;
C V S HOMES;;RR;1,350.00;;
CYPRESS VILLE;;RR;800.00;;
E   L HOMES;;RR;800.00;;
ESLA HOMES;;RR;900.00;;
GRUAR SUBD;;RR;800.00;;
KASIBULAN VILL;;RR;1,000.00;;
MARICK SUBD;;RR;800.00;;
RIVERSIDE SUBD;;RR;900.00;;
ROD-FER CMPD;;RR;800.00;;
ST. JOSEPH SUBD;;RR;800.00;;
STO. DOMINGO CPD;;RR;800.00;;
TOWNHOUSES;;RR;1,500.00;;
