RDO:;RDO NO. 48 - WEST MAKATI CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MAKATI CITY;;;;
CITY/MUNICIPALITY:;;;;;
BARANGAY:;BANGKAL;;;;
A. APOLINARIO (APOLINARIO);;CR;25,000.00;;
A. APOLINARIO (APOLINARIO);;RR;18,000.00;;
BINAY ST. (formerly Gen. Ricarte St.);;CR;25,000.00;;
BINAY ST. (formerly Gen. Ricarte St.);;RR;18,000.00;;
CAPT. M. REYES;;CR;25,000.00;;
CAPT. M. REYES;;RR;18,000.00;;
CHINO ROCES (PASONG TAMO);;CR;70,000.00;;
DALLAS ST;EDSA;CR;25,000.00;;
DALLAS ST;EDSA;RR;18,000.00;;
EDSA;;CR;80,000.00;;
EVANGELISTA;;CR;40,000.00;;
EVANGELISTA;;RR;18,000.00;;
GEN. J. BELARMINO (GEN. A. BELARMINO);;CR;25,000.00;;
GEN. J. BELARMINO (GEN. A. BELARMINO);;RR;18,000.00;;
GEN. A. BONIFACIO;;CR;25,000.00;;
GEN. A. BONIFACIO;;RR;18,000.00;;
GEN V. LIM (GEN A. LIM);;CR;25,000.00;;
GEN V. LIM (GEN A. LIM);;RR;18,000.00;;
GEN. A. LUNA;;CR;25,000.00;;
GEN. A. LUNA;;RR;18,000.00;;
GEN. ALEJANDRINO (ALEJANDRINO);EDSA EXTENSION;CR;25,000.00;;
GEN. ALEJANDRINO (ALEJANDRINO);EDSA EXTENSION;RR;18,000.00;;
GEN. E. MACABULOS;;CR;25,000.00;;
GEN. E. MACABULOS;;RR;18,000.00;;
GEN. G. DEL PILAR (GEN. DEL PILAR);;CR;22,500.00;;
GEN. G. DEL PILAR (GEN. DEL PILAR);;RR;18,000.00;;
GEN. J. CAILLES (GEN CAILLES);;CR;25,000.00;;
GEN. J. CAILLES (GEN CAILLES);;RR;18,000.00;;
GEN. J. LACUNA;;CR;25,000.00;;
GEN. J. LACUNA;;RR;18,000.00;;
GEN V. LUKBAN (U. LUKBAN);;CR;25,000.00;;
GEN V. LUKBAN (U. LUKBAN);;RR;18,000.00;;
GEN M. CAPINPIN (GEN N. CAPINPIN);;CR;25,000.00;;
GEN M. CAPINPIN (GEN N. CAPINPIN);;RR;18,000.00;;
GEN. NATIVIDAD (NATIVIDAD);;CR;25,000.00;;
GEN. NATIVIDAD (NATIVIDAD);;RR;18,000.00;;
GEN. M. HIZON;;CR;25,000.00;;
GEN. M. HIZON;;RR;18,000.00;;
GEN. M. TINIO;;CR;25,000.00;;
GEN M. MALVAR (GEN MALVAR);;CR;25,000.00;;
GEN M. MALVAR (GEN MALVAR);;RR;18,000.00;;
GEN. MASCARDO;;CR;25,000.00;;
GEN. MASCARDO;;RR;18,000.00;;
GEN. O MOJICA;;CR;25,000.00;;
GEN. O MOJICA;;RR;18,000.00;;
GEN. P. GARCIA;;CR;25,000.00;;
GEN. P. GARCIA;;RR;18,000.00;;
GEN P. SANTOS (SANTOS);;CR;25,000.00;;
GEN P. SANTOS (SANTOS);;RR;18,000.00;;
GEN. RICARTE;;RR;;;
GEN. S. ESTRELLA;;CR;25,000.00;;
GEN. S. ESTRELLA;;RR;18,000.00;;
GEN. V. ZAMORA (ZAMORA);;CR;25,000.00;;
GEN. V. ZAMORA (ZAMORA);;RR;18,000.00;;
J. CLIMACO;;CR;25,000.00;;
J. CLIMACO;;RR;18,000.00;;
M. LLANERA;;CR;25,000.00;;
M. LLANERA;;RR;18,000.00;;
M. REYES;;CR;;;
M. REYES;;RR;;;
PAREDES AVENUE;;CR;;;
PAREDES AVENUE;;RR;;;
RODRIGUEZ AVE;;CR;25,000.00;;
RODRIGUEZ AVE;;RR;18,000.00;;
SOUTH SUPERHIGHWAY;;CR;80,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
ALL OTHER STREETS;;RR;18,000.00;;
CONDOMINIUMS & TOWNHOUSES;;;;;
CIANNO PLAZA COND.;M REYES cor MASCARDO;RC;40,000.00;;
CITYLAND CONDOMINIUM (C25);SSH BANCAL;CC;37,500.00;;
ALL OTHER CONDOMINIUMS;;CC;53,500.00;;
ALL OTHER CONDOMINIUMS;;RC;42,500.00;;
ALL OTHER CONDOMINIUMS;;PS;35,000.00;;
ALL OTHER TOWNHOUSES;;RC;42,000.00;;
BARANGAY:;MAGALLANES VILLAGE;;;;
BEGONIA;;RR;25,000.00;;
DON CHINO ROCES EXTN;;CR;90,000.00;;
EDSA;BGY. MAGALLANES;CR;80,000.00;;
ENCARNACION;;RR;25,000.00;;
GALLERIA DE MAGALLANES VILLAGE;CONDO STYLE VILLAGE;RR;50,000.00;;
GARCIA VILLA;;RR;;;
HOMONHON;;RR;25,000.00;;
HUMABON;;CR;60,500.00;;
HUMABON;;RR;25,000.00;;
LAPU-LAPU ST.(AVE.);;CR;60,500.00;;
