RDO:;RDO NO. 52 - PARANAQUE;;;;
PROVINCE:;NCR;;;;
CITY/MUNCIPALITY:;PARANAQUE;;;;
BARANGAY:;BACLARAN;;;;
A GUARRA;B CRUZ;RR;7,500.00;;
A SANCHEZ;;RR;7,500.00;;
AIRPORT ROAD;ROXAS BLVD;CR;30,000.00;;
AIRPORT ROAD;ROXAS BLVD;RR;25,000.00;;
ARAGON;QUIRINO AVE;RR;5,500.00;;
BAGONG BUHAY;BAGONG ILOG;RR;7,500.00;;
BAGONG ILOG;BAGONG BUHAY;RR;6,500.00;;
BAGONG ISLA;BAGONG ILOG;RR;6,000.00;;
BAGONG SIKAT;BAGONG SILANG;RR;4,500.00;;
BAGONG SILANG;BAGONG SIKAT;RR;4,500.00;;
BAYANIHAN;A GUARRA;RR;4,500.00;;
BAGONG LIPUNAN;KALIWANAGAN;RR;5,500.00;;
DR J GABRIEL;COR G G CRUZ;RR;5,500.00;;
ESPIRITU;F RODRIGUEZ;RR;4,500.00;;
F RODRIGUEZ;ESPIRITU;RR;5,500.00;;
F B HARRIZON;COR A GUARRA;CR;22,500.00;;
G G CRUZ;F B HARRIZON;RR;4,500.00;;
J CORREA;DIMASALANG;RR;4,500.00;;
KALIWANAGAN;BAGONG ISLA;RR;4,500.00;;
L AVELINO;T CLAUDIO;RR;4,500.00;;
LAPU LAPU;L GARCIA;RR;4,500.00;;
LT GARCIA;DIMASALANG;RR;4,500.00;;
M ROXAS;AIRPORT ROAD;RR;4,500.00;;
MABUHAY;12 DE JULIO;RR;4,500.00;;
MACAPAGAL HI WAY;;CR;50,000.00;;
MACAPAGAL HI WAY;;RR;45,000.00;;
MACAPAGAL HI WAY;;I;40,000.00;;
MACTAN;MABUHAY;RR;4,500.00;;
ODENA;LAPU-LAPU;RR;4,500.00;;
O PENA (SOUTH)-T CLAUDIO;;RR;11,000.00;;
AIRPORT RD-T CLAUDIO;QUIRINO AVE;CR;30,000.00;;
AIRPORT RD-T CLAUDIO;QUIRINO AVE;RR;25,000.00;;
PAG-ASA;BAGONG  BUHAY;RR;5,500.00;;
PINAGLABANAN;RUSSIA;RR;4,500.00;;
QUIRINO AVENUE;REAL;CR;30,000.00;;
QUIRINO AVENUE;REAL;RR;25,000.00;;
REDEMPTORIST ST;QUIRINO AVE;CR;30,000.00;;
REDEMPTORIST ST;QUIRINO AVE;RR;25,000.00;;
RIVERA;PINAGLABANAN;RR;4,500.00;;
ROXAS BLVD;REDEMPTORIST;CR;70,000.00;;
ROXAS BLVD;REDEMPTORIST;RR;45,000.00;;
ROXAS BLVD;UNDEVELOPED;CR;30,000.00;;
ROXAS BLVD;UNDEVELOPED;RR;20,000.00;;
ROXAS BLVD;PASAY BDRY-T ALONZO;CR;50,000.00;;
ROXAS BLVD;PASAY BDRY-T ALONZO;RR;20,000.00;;
SANTIAGO;PINAGLABANAN;RR;4,500.00;;
ST JOSEPH;T CLAUDIO;RR;4,500.00;;
STA MARIA;SANTIAGO;RR;4,500.00;;
STA RITA;QUIRINO AVE;RR;4,500.00;;
T ALONZO;T CLAUDIO;CR;20,000.00;;
T ALONZO;T CLAUDIO;RR;15,000.00;;
TOMAS CLAUDIO ST;BAYVIEW VILL;CR;30,000.00;;
TAFT AVE EXT;F B HARRIZON;CR;35,000.00;;
TAFT AVE EXT;F B HARRIZON;RR;30,000.00;;
UNIDA;OPENA;CR;16,500.00;;
UNIDA;OPENA;RR;8,000.00;;
VIZCARA;STA MARIA;CR;17,000.00;;
VIZCARA;STA MARIA;RR;8,000.00;;
12 DE MAYO ST;12 DE JUNIO;RR;4,500.00;;
17 DE MAYO ST;;RR;4,500.00;;
22 DE MAYO ST;12 DE JUNIO;RR;4,500.00;;
12 DE JUNIO ST;22 DE MAYO;RR;4,500.00;;
4 DE JULIO ST;DIMASALANG;RR;4,500.00;;
12 DE JULIO ST;;RR;4,500.00;;
ALL OTHER STREETS;;CR;16,000.00;;
ALL OTHER STREETS;;RR;4,500.00;;
BARANGAY:;BF HOMES;;;;
AGUIRRE;BF HOMES-PH I;CR;25,000.00;;
AGUIRRE;BF HOMES-PH I;RR;18,000.00;;
AGUIRRE;BF HOMES-PH II;CR;25,000.00;;
AGUIRRE;BF HOMES-PH II;RR;18,000.00;;
AGUIRRE;BF HOMES-PH III;CR;25,000.00;;
AGUIRRE;BF HOMES-PH III;RR;18,000.00;;
AGUIRRE;PRES. AVE-ELIZALDE;CR;20,000.00;;
AGUIRRE;ELIZALDE-GOV. SANTOS;CR;12,000.00;;
AGUIRRE;GOV SANTOS-EL GRANDE;CR;17,000.00;;
AGUIRRE;GOV SANTOS-EL GRANDE;RR;8,000.00;;
BF HOMES I;AGUIRRE;CR;25,000.00;;
BF HOMES I;AGUIRRE;RR;10,000.00;;
BF HOMES II;BF TAHANAN VILL;RR;8,000.00;;
BF HOMES III;SAN ISIDRO;RR;7,000.00;;
BF HOMES IV;;RR;9,000.00;;
BF HOMES V;;RR;10,000.00;;
BF HOMES VI;;RR;10,000.00;;
CAMELLA HOMES;SOUTH BAY;RR;6,000.00;;
DR. A. SANTOS AVENUE;WHOLE STRECT;CR;25,000.00;;
DR. A. SANTOS AVENUE;WHOLE STRECT;RR;20,000.00;;
EL GRANDE AVE;LOPEZ GATE-KYOTO;RR;6,000.00;;
EL GRANDE AVE;LOPEZ GATE-KYOTO;CR;12,000.00;;
GOODWILL 2 & 3;IRENEVILLE SUBD;RR;5,000.00;;
IRENEVILLE SUBD;TEOVILLE;CR;15,000.00;;
IRENEVILLE SUBD;TEOVILLE;RR;5,000.00;;
JACKIELOU VILLAGE;IRENEVILLE  SUBD;RR;5,000.00;;
MASHAI MASVILLE SUCAT;;RR;8,000.00;;
MAYWOOD VILL  I;TEOVILLE;RR;6,000.00;;
PRESIDENT AVE;BF HOMES;CR;20,000.00;;
PRESIDENT AVE;BF HOMES;RR;18,000.00;;
PRESIDENT AVE;TAHANAN-TEOVILLE;CR;20,000.00;;
PRESIDENT AVE;TAHANAN-TEOVILLE;RR;10,000.00;;
PRESIDENT AVE;RGV HOMES;CR;20,000.00;;
PRESIDENT AVE;RGV HOMES;RR;10,000.00;;
PRESIDENT AVE;MAYWOOD;CR;20,000.00;;
PRESIDENT AVE;MAYWOOD;RR;10,000.00;;
PRESIDENT AVE;JACKIELOUVILLE;CR;25,000.00;;
PRESIDENT AVE;JACKIELOUVILLE;RR;10,000.00;;
RGV HOMES;;RR;5,000.00;;
SOUTH BAY GARDEN;TAHANAN VILLAGE;RR;8,000.00;;
SANTA RITA VILL;LOYOLA MEM PARK;RR;5,000.00;;
TAHANAN VILL/DON RUFINO AVE 1 & 2;SOUTH BAY GARDEN;RR;10,000.00;;
TEOVILLE/M QUEZON ST;;RR;6,000.00;;
TEOVILLE SUBD;PRES AVE;CR;20,000.00;;
TEOVILLE SUBD;PRES AVE;RR;6,000.00;;
SUCAT ROAD;;CR;45,000.00;;
ALL OTHER STREET;;CR;12,000.00;;
ALL OTHER STREET;;RR;5,000.00;;
BARANGAY:;DON BOSCO;;;;
AEROPARK SUBD;MARCELO GREEN VILL;RR;5,000.00;;
BETTER LIVING -ANNEX 35 & 41;;RR;5,000.00;;
BETTER LIVING -MAIN;DONA SOLEDAD;CR;25,000.00;;
BETTER LIVING -MAIN;SCIENCEVILLE;RR;7,000.00;;
CAMELLA HOMES III & IV;;RR;5,000.00;;
CHATEU VILLAGE;DONA SOLEDAD;RR;5,000.00;;
DON BOSCO VILLAGE;;RR;5,000.00;;
DOÑA SOLEDAD EXT;;CR;12,000.00;;
DOÑA SOLEDAD EXT;;RR;8,000.00;;
DOÑA SOLEDAD EXT;BETERLIVING;CR;25,000.00;;
DOÑA SOLEDAD EXT;SM TO FRANCE;RR;20,000.00;;
DOÑA SOLEDAD EXT;FRANCE TO RUSSIA;CR;23,000.00;;
DOÑA SOLEDAD EXT;FRANCE TO RUSSIA;RR;8,000.00;;
INA EXECUTIVE HOMES;;RR;4,500.00;;
LEVITOWN SUBD;MENDOZA SUBD;RR;4,500.00;;
MALAYSIA;;RR;5,000.00;;
PAKISTAN ST;BETTERLIVING;RR;5,000.00;;
REMMANVILLE;;RR;5,000.00;;
RUSSIA;;CR;10,000.00;;
RUSSIA;;RR;6,000.00;;
SANCHEZ HOMES;;RR;4,000.00;;
SANTOS COMPOUND;;RR;3,000.00;;
SAUDIA ARABIA;;CR;8,000.00;;
SAUDIA ARABIA;;RR;6,000.00;;
SAVIO COMPOUND;;RR;4,500.00;;
SCIENCEVILLE SUBD;BETTERLIVING SUBD;RR;7,000.00;;
VALLEY VISTA;;RR;7,000.00;;
ALL OTHER STREETS;;CR;6,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
BARANGAY:;DONGALO;;;;
189 6TH STREET (ALLEY);S DE GUZMAN;RR;4,500.00;;
A DE GUZMAN ST (S);DIMATIMBANGAN;RR;5,000.00;;
A MABINI ST;BALAGTAS;RR;5,000.00;;
AGUINALDO HIWAY;COASTAL RD;CR;40,000.00;;
BUENSUCESO  ST;F CAMPO;RR;5,000.00;;
D CAMPO ST (ALLEY);BUENSUCESO;RR;4,500.00;;
DR J GABRIEL;GEN LUNA;RR;5,000.00;;
F BALAGTAS;MALVAR;RR;5,000.00;;
GEN LUNA ST (ALLEY);J GABRIEL;RR;4,500.00;;
MA. DIMATIMBANGAN ST;MAYUGA;RR;5,000.00;;
MALVAR  ST;BGY DON GALO;RR;5,500.00;;
MARINA SUBDIVISION;MLA BAY RECL AREA;CR;40,000.00;;
MARINA SUBDIVISION;MLA BAY RECL AREA;RR;25,000.00;;
MARINA SUBDIVISION;MLA BAY RECL AREA;GP;25,000.00;;
N MAYUGA ST (ALLEY);GEN LUNA;RR;4,500.00;;
QUIRINO AVE;;CR;30,000.00;;
QUIRINO AVE;;RR;25,000.00;;
REGALADO  ST (ALLEY);A MABINI;RR;4,500.00;;
SANTA MONICA;DIMATIMBANGAN;RR;5,000.00;;
WATAWAT ST (ALLEY);;RR;5,000.00;;
ALL OTHER STREETS;;CR;7,500.00;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;GP;3,500.00;;
BARANGAY:;LA HUERTA;;;;
A BONIFACIO ST;;RR;4,500.00;;
B AQUINO;WAWA LA HUERTA;CR;0.00;B. Aquino is now situated in Barangay Sto. Niño as per RDO's justification;
B AQUINO;WAWA LA HUERTA;RR;0.00;B. Aquino is now situated in Barangay Sto. Niño as per RDO's justification;
B AQUINO;WAWA LA HUERTA;GP;0.00;B. Aquino is now situated in Barangay Sto. Niño as per RDO's justification;
ESPIRITU ST (ALLEY);QUIRINO AVE;RR;4,500.00;;
ISAGANI;;RR;4,500.00;;
ISAGANI (ALLEY);P GOMEZ;RR;4,500.00;;
J DE LEON;;RR;4,500.00;;
J DE LEON (ALLEY);DANDAN  AVE;RR;4,500.00;;
J. FERRER ST;;RR;4,500.00;;
J RIZAL (ALLEY);KAPT TINOY;RR;4,500.00;;
JUAN LUNA ST;;RR;4,500.00;;
JUAN LUNA ST;ALLEY;RR;4,500.00;;
KAPT FLAVIANO (ALLEY);DOMINGO;RR;4,500.00;;
KAPT. PATRICIO ST;;RR;4,500.00;;
KAPT TINOY (ALLEY);P GOMEZ;RR;4,500.00;;
M H DEL PILAR;DANDAN DOMINGO;RR;7,000.00;;
MA CLARA;;RR;4,500.00;;
MA CLARA (ALLEY);SAN NICOLAS;RR;4,500.00;;
N DE LEON;;RR;4,500.00;;
N DE LEON (ALLEY);DANDAN-QUIRINO;RR;4,500.00;;
N DOMINGO;M H DEL PILAR;RR;4,500.00;;
N RODRIGUEZ (ALLEY) (M.);M H DEL PILAR;RR;4,500.00;;
NAZARENO ST;;RR;4,500.00;;
P BURGOS;;RR;4,500.00;;
P DANDAN;N DE LEON;RR;4,500.00;;
P GOMEZ (ALLEY);KAPT TINOY;RR;4,500.00;;
PARANCILLO (ALLEY);;RR;4,500.00;;
PARANG-PARANG;IMELDA AVE;RR;4,500.00;;
QUIRINO AVE;P DANDAN;CR;35,000.00;;
QUIRINO AVE;P DANDAN;RR;25,000.00;;
SAN NICOLAS;MA CLARA;RR;4,500.00;;
SAN  NICOLAS CE PADUA;;RR;4,500.00;;
WAWA LA HUERTA;AQUINO AVE;RR;4,500.00;;
ALL OTHER STREETS;;CR;20,000.00;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;GP;3,000.00;;
ALL OTHER STREETS;;CR;0.00;B. Aquino is now situated in Barangay Sto. Niño as per RDO's justification;
ALL OTHER STREETS;;RR;0.00;B. Aquino is now situated in Barangay Sto. Niño as per RDO's justification;
BARANGAY:;MARCELO GREEN VILLAGE;;;;
ARMELA CPD;;RR;5,000.00;;
BUENSOCESO HOMES 3;;RR;6,000.00;;
CERVANTES CPD;;RR;5,000.00;;
CERVANTES CPD;;I;15,000.00;;
EQUITY HOMES;;RR;5,500.00;;
GREENVALE SUBD;SOUTH SUPERHIGHWAY;RR;5,500.00;;
IRENEVILLE;M GREEN VALLEY;RR;5,500.00;;
MARCELO GREEN VILL;SOUTH S HIGHWAY;CR;25,000.00;;
MARCELO GREEN VILL;AEROPARK SUBD;RR;5,500.00;;
MARCELO GREEN VILL;AEROPARK SUBD;I;27,000.00;;
MARCELO GREEN VILLAGE SUBD;;CR;10,000.00;;
MARCELO GREEN VILLAGE SUBD;;RR;6,000.00;;
MAYWOOD VILL;SEVERINA DIAMOND;RR;6,000.00;;
REMMANVILLE ANNEX 31;;RR;5,000.00;;
SAVVY 25;;RR;6,000.00;;
SEVERINA DIAMOND (D.JOSE);MAYWOOD II;RR;6,000.00;;
SEVERINA DIAMOND (D.JOSE);MAYWOOD II;I;12,000.00;;
SOUTH GREEN PARK 5;MERVILLE;RR;5,500.00;;
SUPERVILLE;AVIATION;RR;5,000.00;;
UNITED PARANAQUE IV;MOU-EL SUBD;RR;7,000.00;;
UNITED PARANAQUE IV;MOU-EL SUBD;I;15,000.00;;
UNITED PARANAQUE IV;SSS-IND'L ROAD;RR;6,000.00;;
UNITED PARANAQUE IV;SSS-IND'L ROAD;I;15,000.00;;
UNIVERSAL SOLD HOMES;;RR;5,000.00;;
WESTBOROUGH HOMES;;RR;5,000.00;;
ALL OTHER STREETS;;CR;13,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;GP;4,000.00;;
BARANGAY:;MERVILLE;;;;
BALIWAG;;RR;5,000.00;;
BUENSUCESO HOMES;;RR;5,500.00;;
CAMELLA HOMES;;RR;6,500.00;;
CITY SQUARE HOMES;;RR;5,000.00;;
CITY SQUARE COUNTRY HOMES;;RR;5,000.00;;
CUBIC HOMES;;RR;5,000.00;;
EDISON AVENUE;;RR;6,500.00;;
FORTMAX COMPOUND;;RR;5,500.00;;
GREENVILLE SUBD/SGP 4;;RR;5,500.00;;
INLAND EXECUTIVE;;RR;6,000.00;;
MERVILLE PARK EXE;ADMIRAL VILL;RR;6,300.00;;
MERVILLE PARK IV;SOUTH S HIGHWAY;RR;7,000.00;;
MERVILLE PARK SUBD;SOUTH ADMIRAL VILL;RR;7,000.00;;
MOLAVE SUBD;BGY MERVILLE;RR;6,000.00;;
SITIO TUYUAN;;RR;5,000.00;;
SOUTH ADMIRAL VILL;MERVILLE PARK SUBD;RR;6,000.00;;
SOUTH GREEN PARK;BGY MERVILLE;RR;6,000.00;;
SOUTH GREEN PARK 7;;RR;5,500.00;;
SOUTH SUPERHIGHWAY;;CR;30,000.00;;
SOUTH SUPERHIGHWAY;;RR;20,000.00;;
SOUTH SUPERHIGHWAY;;I;15,000.00;;
ALL OTHER STREETS;;CR;13,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;GP;4,000.00;;
BARANGAY:;MOONWALK;;;;
AIRPORT VIEW SUBD;;RR;4,500.00;;
AIRPORT VILLAGE;;RR;4,500.00;;
ARMSTRONG VILLAS;;RR;6,500.00;;
BRICKTOWN SUBD;MOONWALK;RR;5,500.00;;
CECILIA VILLAGE;;RR;5,000.00;;
CHRISTINA VILLAGE;;RR;6,000.00;;
DAANG BATANG;;RR;4,500.00;;
DONNASVILLE SUBD;;RR;4,000.00;;
E RODRIGUEZ (EAST BOUND);;RR;4,000.00;;
EDIBERTA COURT (BALUARTE);;RR;4,000.00;;
ERIBERTA VILLAGE;;RR;6,000.00;;
HIYASVILLE SUBD;;RR;5,000.00;;
KODAK CMPD;;RR;4,500.00;;
MOONWALK  1, 2 & 3;BRICKTOWN;RR;5,500.00;;
MOONWALK  1, 2 & 3;BRICKTOWN;CR;12,000.00;;
MULTINATIONAL VILL PH4;;RR;7,500.00;;
MULTINATIONAL VILL & ANNEX EAST;MOONWALK SUBD;RR;7,000.00;;
;;CR;12,000.00;;
PAPA COMPOUND;;RR;4,500.00;;
SCARLET SUBD;;RR;5,000.00;;
SILVERLAND HOMES 1 (SILVERLAND HOMES);;RR;5,000.00;;
SILVERLAND HOMES II;;RR;7,000.00;;
ST FRANCIS SUBD;;RR;6,500.00;;
ST FRANCIS SUBD;;CR;9,000.00;;
TRIUMPH;;RR;5,000.00;;
VELARDE COMPOUND;;RR;4,500.00;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;;GP;4,000.00;;
BARANGAY:;SAN ANTONIO;;;;
BARANGAY VILLAGE;FOURTH ESTATE;RR;6,500.00;;
BARANGAY VILLAGE;FOURTH ESTATE;CR;10,000.00;;
CAMELLA HOMES;BARANGAY VILLAGE;RR;6,000.00;;
