RDO:;RDO NO. 45 - MARIKINA CITY;;;;
RDO:;RDO NO. 45 - MARIKINA CITY;;;;
PROVINCE:;RIZAL;;;;
CITY/MUNICIPALITY:;RODRIGUEZ (MONTALBAN), RIZAL;;;;
BARANGAY:;BALITE;;;;
CRUZ- SAN SUBD.;;RR;700.00;;
GSIS SUBD. (MRR) BLK.7-10;;RR;500.00;;
ZUNIGA SUBD.;;RR;700.00;;
ALL OTHER SUBDIVISIONS;;RR;500.00;;
ALL OTHER SUBDIVISIONS;;A;50.00;;
ALL OTHER SUBDIVISIONS;;GP;100.00;;
CACHO ST.;;RR;650.00;;
COL. S. CRUZ ST.;RIZAL AVE.-F SAN JUAN ST.;RR;550.00;;
DAANG BAKAL;ROSENDO ST.-DEAD END;RR;550.00;;
M. H. DEL PILAR ST.;RIZAL AVE.F.SAN JUAN ST.;RR;700.00;;
PASONG BISITA;;RR;650.00;;
RIZAL AVENUE;MUN. HALL-RODRIGUEZ;CR;900.00;;
RIZAL AVENUE;M.H.DEL PILAR- MUN.HALL;RR;800.00;;
ROSENDO CRUZ ST.;;RR;700.00;;
SAN JUAN ST.;;RR;650.00;;
ALL OTHER STREETS;;RR;550.00;;
CITY/MUNICIPALITY:;RODRIGUEZ (MONTALBAN), RIZAL;;;;
BARANGAY:;BURGOS;;;;
ARANZAZU DE LOS ANGELES SUBD.;;RR;800.00;;
DOÑA MARIA SUBD.;;RR;800.00;;
DOÑA PEPENG SUBD.;;RR;800.00;;
E.C. TORRES;;RR;800.00;;
FELICIDAD VILLAGE;;RR;900.00;;
GOLD RIVER REALTY;;RR;900.00;;
GSIS (MRR) BLK.1-4;;RR;550.00;;
KING DAVID SUBD.;;RR;900.00;;
METRO MONTANA I;;RR;900.00;;
METRO MONTANA II;;RR;900.00;;
MONTAVILLA SUBD.;;RR;700.00;;
NATIVIDAD SUBDIVISION;;RR;750.00;;
SR. DE BURGOS;;RR;800.00;;
VICTORIO ALBERTO;;RR;800.00;;
ALL OTHER SUBDIVISIONS;;RR;550.00;;
F. ROXAS COMPOUND;;RR;800.00;;
AMADO LIAMSON ST.;;RR;450.00;;
A. MABINI ST.;MANGO BR.-BDRY.;RR;700.00;;
BUENVIAJE ST.;;RR;550.00;;
DAANG BAKAL;MANGO RIVER-SAN MATEO BDY.;RR;550.00;;
MURPHY ST.;;RR;450.00;;
P. SANDOVAL ST.;;RR;450.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;GP;100.00;;
ALL OTHER STREETS;;A;50.00;;
CITY/MUNICIPALITY:;RODRIGUEZ (MONTALBAN), RIZAL;;;;
BARANGAY:;GERONIMO;;;;
F. CRUZ SUBD.;;RR;550.00;;
F. TORRE;SILANGAN SUBD.;RR;550.00;;
GREEN ROSA SUBD.;;RR;700.00;;
ALL OTHER SUBD.;;RR;550.00;;
COL. S. CRUZ SUBD.;SAN JUAN ST.-C. REYES ST.;RR;500.00;;
F. SAN JUAN ST.;;RR;450.00;;
M.H. DEL PILAR ST.;F. SAN JUAN-C. REYES ST.;RR;500.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;GP;100.00;;
ALL OTHER STREETS;;A;50.00;;
CITY/MUNICIPALITY:;RODRIGUEZ (MONTALBAN), RIZAL;;;;
BARANGAY:;MACABUD (MOUNTAIN);;;;
A. TIBAY (AMI REALTY);;GP;60.00;;
DINNA 4 (GENER);;GP;60.00;;
