RDO:;RDO NO.  10 BONTOC, MT. PROVINCE;;
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;CHUPAC;;
ALL LOTS;;RR;12.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;FIANGTIN;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;GAWANA;;
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;A1;15.00
ALL LOTS;INTERIOR;;
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;KALEO;;
ALL LOTS;;RR;12.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;LATANG;;
ALL LOTS;;RR;12.00
ALL LOTS;;A1;30.00
ALL LOTS;;;
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;MACALANA;;
ALL LOTS;;RR;12.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;OGO-OG;;
ALL LOTS;;RR;12.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;LIAS KANLURAN;;
ALL LOTS;;RR;37.00
ALL LOTS;;A1;30.00
BARANGAY:;LIAS SILANGAN;;
ALL LOTS;;RR;37.00
ALL LOTS;;A1;30.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;LINGOY;;
ALL LOTS;;RR;12.00
ALL LOTS;INTERIOR;A1;30.00
CITY/MUNICIPALITY:;BARLIG, MOUNTAIN PROVINCE;;
BARANGAY:;LUNAS;;
ALL LOTS;;RR;37.00
ALL LOTS;INTERIOR;A1;30.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;ABATAN;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BANGNEN ORIENTE;;
ALL LOTS;;RR;42.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BAGNEN PROPER;;
ALL LOTS;;RR;42.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BALINTAUGAN;;
ALL LOTS;;RR;21.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BANAO;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BILA;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;GUINAZADAN CENTRAL;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;GUINAZADAN NORTE;;
ALL LOTS;;RR;107.00
ALL LOTS;;A1;50.00
;;;
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;GUINAZADAN SUR;;
ALL LOTS;;RR;107.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;LAGAWA;;
ALL LOTS;;RR;42.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;LESSEB;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
ALL LOTS;INTERIOR;A1;15.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;MABA-AY;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;MAYAG;;
ALL LOTS;;RR;63.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;MONAMON NORTE;;
ALL LOTS;;RR;21.00
ALL LOTS;;A1;50.00
;;;
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;MONAMON SUR;;
ALL LOTS;;RR;21.00
ALL LOTS;;A1;50.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;MOUNT DATA;;
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
