RDO:;RDO NO.  10  BONTOC, MT. PROVINCE;;
CITY/MUNICIPALITY:;BARLIG;;
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;CHUPAC;;
ALL LOTS;;RR;20.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;RR;15.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A23;30.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A44;8.50
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;FIANGTIN;;
ALL LOTS;;RR;25.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;RR;20.00
ALL LOTS;INTERIOR;A1;25.00
ALL LOTS;INTERIOR;A23;20.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A44;8.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;GAWANA;;
ALL LOTS;;RR;60.00
ALL LOTS;;A1;30.00
ALL LOTS;INTERIOR;RR;55.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A23;20.00
ALL LOTS;INTERIOR;A25;10.00
ALL LOTS;INTERIOR;A44;9.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;KALEO;;
ALL LOTS;;RR;15.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;7.00
ALL LOTS;;A44;5.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;LATANG;;
ALL LOTS;;RR;15.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;7.00
ALL LOTS;;A44;5.00
;;;
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;MACALANA;;
ALL LOTS;;RR;15.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;7.00
ALL LOTS;;A44;5.00
;;;
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;OGO-OG;;
ALL LOTS;;RR;15.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;7.00
ALL LOTS;;A44;5.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;LIAS KANLURAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;8.00
ALL LOTS;;A44;6.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;LIAS SILANGAN;;
ALL LOTS;;RR;40.00
ALL LOTS;;A1;30.00
ALL LOTS;;A23;20.00
ALL LOTS;;A25;8.00
ALL LOTS;;A44;6.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;LINGOY;;
ALL LOTS;;RR;35.00
ALL LOTS;INTERIOR;RR;30.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A23;20.00
ALL LOTS;INTERIOR;A25;7.00
ALL LOTS;INTERIOR;A44;5.00
CITY/MUNICIPALITY:;BARLIG;;
BARANGAY:;LUNAS;;
ALL LOTS;;RR;40.00
ALL LOTS;INTERIOR;RR;20.00
ALL LOTS;INTERIOR;A1;30.00
ALL LOTS;INTERIOR;A23;20.00
ALL LOTS;INTERIOR;A25;9.00
ALL LOTS;INTERIOR;A44;7.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;ABATAN;;
ALL LOTS;;CR;115.00
ALL LOTS;;RR;105.00
ALL LOTS;;A1;50.00
ALL LOTS;;A23;35.00
ALL LOTS;;A25;9.50
ALL LOTS;;A44;6.50
ALL LOTS;;A47;60.00
ALL LOTS;INTERIOR;RR;100.00
ALL LOTS;INTERIOR;A23;32.00
ALL LOTS;INTERIOR;A25;8.50
ALL LOTS;INTERIOR;A47;55.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BANGNEN ORIENTE;;
ALL LOTS;;RR;45.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;6.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;22.50
ALL LOTS;;A47;29.00
ALL LOTS;INTERIOR;RR;40.00
ALL LOTS;INTERIOR;A1;22.00
ALL LOTS;INTERIOR;A25;8.50
ALL LOTS;INTERIOR;A29;20.00
ALL LOTS;INTERIOR;A47;26.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BAGNEN PROPER;;
ALL LOTS;;RR;45.00
ALL LOTS;;A1;50.00
ALL LOTS;;A15;6.00
ALL LOTS;;A25;10.00
ALL LOTS;;A29;22.50
ALL LOTS;;A47;29.00
ALL LOTS;INTERIOR;RR;40.00
ALL LOTS;INTERIOR;A1;22.00
ALL LOTS;INTERIOR;A25;8.50
ALL LOTS;INTERIOR;A29;20.00
ALL LOTS;INTERIOR;A47;26.00
CITY/MUNICIPALITY:;BAUKO;;
BARANGAY:;BALINTAUGAN;;
ALL LOTS;;RR;25.00
