RDO:;RDO NO. 11 TABUK, KALINGA-APAYAO (FORMERLY RDO NO. 10, KALINGA, APAYAO);;;;
RDO:;RDO NO. 11 TABUK, KALINGA-APAYAO (FORMERLY RDO NO. 10, KALINGA, APAYAO);;;;
CITY/MUNICIPALITY :;;;;;
CITY/MUNICIPALITY :;BALBALAN;;;;
POBLACION;;RR;20.00;;
POBLACION;;A1;5.00;;
POBLACION;;A2;3.00;;
POBLACION;;A4;1.00;;
POBLACION;;A5;1.00;;
ALL OTHER BARANGAYS;;RR;5.00;;
ALL OTHER BARANGAYS;;A1;5.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A4;1.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;CALANASAN;;;;
POBLACION;;RR;10.00;;
ALL OTHER BARANGAYS;;RR;3.00;;
ALL OTHER BARANGAYS;;A1;5.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A4;1.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;CORNNER;;;;
ALL BARANGAYS ALONG THE HIGHWAYS;;RR;15.00;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A1;4.50;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A2;2.50;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A3;1.00;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A4;2.00;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A5;1.00;;
ALL OTHER BARANGAYS;;RR;10.00;;
ALL OTHER BARANGAYS;;A1;4.50;;
ALL OTHER BARANGAYS;;A2;2.50;;
ALL OTHER BARANGAYS;;A3;1.00;;
ALL OTHER BARANGAYS;;A4;2.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;FLORA;;;;
POBLACION;;RR;30.00;;
POBLACION;;A1;6.00;;
POBLACION;;A2;3.00;;
POBLACION;;A3;3.00;;
POBLACION;;A4;1.00;;
POBLACION;;A5;1.00;;
ALL OTHER BARANGAYS;;RR;10.00;;
ALL OTHER BARANGAYS;;A1;6.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A3;3.00;;
ALL OTHER BARANGAYS;;A4;1.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;KABUGAO;;;;
ALL BARANGAYS ALONG THE HIGHWAYS;;RR;20.00;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A1;4.50;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A2;2.50;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A4;2.00;;
ALL BARANGAYS ALONG THE HIGHWAYS;;A5;1.00;;
ALL OTHER BARANGAYS;;RR;10.00;;
ALL OTHER BARANGAYS;;A1;4.50;;
ALL OTHER BARANGAYS;;A2;2.50;;
ALL OTHER BARANGAYS;;A4;2.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;LUBUAGAN;;;;
ALL LOTS;;RR;30.00;;
ALL LOTS;;CR;40.00;;
ALL LOTS;;A1;5.00;;
ALL LOTS;;A2;3.00;;
POBLACION;;RR;30.00;;
POBLACION;;CR;40.00;;
POBLACION;;A1;5.00;;
POBLACION;;A2;3.00;;
ALL OTHER BARANGAYS;;RR;10.00;;
ALL OTHER BARANGAYS;;A1;5.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A4;2.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;LUNA;;;;
POBLACION;;RR;25.00;;
POBLACION;;A1;6.00;;
POBLACION;;A2;3.00;;
POBLACION;;A3;3.00;;
ALL OTHER BARANGAYS;;RR;15.00;;
ALL OTHER BARANGAYS;;A1;6.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A3;3.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;PASIL;;;;
POBLACION;;RR;10.00;;
ALL OTHER BARANGAYS;;RR;3.00;;
ALL OTHER BARANGAYS;;A1;5.00;;
ALL OTHER BARANGAYS;;A2;3.00;;
ALL OTHER BARANGAYS;;A4;1.00;;
ALL OTHER BARANGAYS;;A5;1.00;;
CITY/MUNICIPALITY:;PINUKPUK;;;;
CAMALOG;;RR;15.00;;
CAMALOG;;A1;6.00;;
CAMALOG;;A2;2.00;;
CAMALOG;;A3;1.00;;
CAMALOG;;A5;1.00;;
CAWAGAYAN;;RR;15.00;;
CAWAGAYAN;;A1;6.00;;
CAWAGAYAN;;A2;2.00;;
CAWAGAYAN;;A3;1.00;;
CAWAGAYAN;;A5;1.00;;
CATABOGAN;;RR;15.00;;
CATABOGAN;;A1;6.00;;
