RDO:;RD NO. 12  LAGAWE, IFUGAO;;;;
CITY / MUNICIPALITY:;A G U I N A  L D O;;;;
BARANGAY:;;;;;
ALL LOTS;;RR;27.00;;
NON CONTIGUOUS AREA;;RR;14.00;;
NON CONTIGUOUS AREA;;A1;5.00;;
NON CONTIGUOUS AREA;;A2;3.00;;
NON CONTIGUOUS AREA;;A3;2.00;;
NON CONTIGUOUS AREA;;A4;2.00;;
NON CONTIGUOUS AREA;;A5;4.00;;
NON CONTIGUOUS AREA;;A6;4.00;;
NON CONTIGUOUS AREA;;A7;4.00;;
NON CONTIGUOUS AREA;;A8;2.00;;
NON CONTIGUOUS AREA;;A9;2.00;;
CITY / MUNICIPALITY:;A. L I S T A;POTIA;;;
BARANGAY:;;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;CR;125.00;;
NON CONTIGUOUS AREA;;RR;10.00;;
NON CONTIGUOUS AREA;;A1;3.75;;
NON CONTIGUOUS AREA;;A2;2.20;;
NON CONTIGUOUS AREA;;A3;1.40;;
NON CONTIGUOUS AREA;;A4;1.95;;
NON CONTIGUOUS AREA;;A5;1.30;;
NON CONTIGUOUS AREA;;A6;1.75;;
NON CONTIGUOUS AREA;;A7;1.65;;
NON CONTIGUOUS AREA;;A8;1.00;;
NON CONTIGUOUS AREA;;A9;1.00;;
CITY / MUNICIPALITY:;B A N A U E;;;;
BARANGAY:;;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;CR;125.00;;
NON CONTIGUOUS AREA;;RR;10.00;;
NON CONTIGUOUS AREA;;A1;3.75;;
NON CONTIGUOUS AREA;;A2;2.20;;
NON CONTIGUOUS AREA;;A3;1.40;;
NON CONTIGUOUS AREA;;A4;1.95;;
NON CONTIGUOUS AREA;;A5;1.30;;
NON CONTIGUOUS AREA;;A6;1.60;;
NON CONTIGUOUS AREA;;A7;1.50;;
NON CONTIGUOUS AREA;;A8;1.00;;
NON CONTIGUOUS AREA;;A9;1.00;;
CITY / MUNICIPALITY:;H I N G Y O N;;;;
BARANGAY:;;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;CR;125.00;;
NON CONTIGUOUS AREA;;RR;10.00;;
NON CONTIGUOUS AREA;;A1;3.75;;
NON CONTIGUOUS AREA;;A2;2.20;;
NON CONTIGUOUS AREA;;A3;1.40;;
NON CONTIGUOUS AREA;;A4;1.95;;
NON CONTIGUOUS AREA;;A5;1.30;;
NON CONTIGUOUS AREA;;A6;1.60;;
NON CONTIGUOUS AREA;;A7;1.50;;
NON CONTIGUOUS AREA;;A8;1.00;;
NON CONTIGUOUS AREA;;A9;1.00;;
CITY / MUNICIPALITY:;H U N G D U A N;;;;
BARANGAY:;;;;;
ALL LOTS;;RR;40.00;;
NON CONTIGUOUS AREA;;RR;10.00;;
NON CONTIGUOUS AREA;;A1;3.75;;
NON CONTIGUOUS AREA;;A2;2.20;;
NON CONTIGUOUS AREA;;A3;1.40;;
NON CONTIGUOUS AREA;;A4;1.95;;
NON CONTIGUOUS AREA;;A5;1.30;;
NON CONTIGUOUS AREA;;A6;1.60;;
NON CONTIGUOUS AREA;;A7;1.50;;
NON CONTIGUOUS AREA;;A8;1.00;;
NON CONTIGUOUS AREA;;A9;1.00;;
CITY / MUNICIPALITY:;K I A N G A N;;;;
