RDO:;RDO NO. 12 LAGAWE, IFUGAO;;;;
MUNICIPALITY:;AGUINALDO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;30.00;;
;INTERIOR LOTS;RR;20.00;;
;INTERIOR LOTS;A1;7.00;;
;INTERIOR LOTS;A2;5.00;;
;INTERIOR LOTS;A5;5.00;;
;INTERIOR LOTS;A10;3.00;;
;INTERIOR LOTS;A14;5.00;;
;INTERIOR LOTS;A15;3.00;;
;INTERIOR LOTS;A16;8.00;;
;INTERIOR LOTS;A19;5.00;;
;INTERIOR LOTS;A25;8.00;;
;INTERIOR LOTS;A48;5.00;;
MUNICIPALITY:;ASIPULO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;90.00;;
;INTERIOR LOTS;RR;25.00;;
;INTERIOR LOTS;A1;6.00;;
;INTERIOR LOTS;A2;4.00;;
;INTERIOR LOTS;A5;2.75;;
;INTERIOR LOTS;A10;2.00;;
;INTERIOR LOTS;A14;2.50;;
;INTERIOR LOTS;A15;1.50;;
;INTERIOR LOTS;A16;3.00;;
;INTERIOR LOTS;A19;2.25;;
;INTERIOR LOTS;A25;3.00;;
;INTERIOR LOTS;A48;2.25;;
MUNICIPALITY:;ALFONSO LISTA;POTIA;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;CR;135.00;;
;INTERIOR LOTS;RR;15.00;;
;INTERIOR LOTS;A1;4.00;;
;INTERIOR LOTS;A2;2.50;;
;INTERIOR LOTS;A5;2.00;;
;INTERIOR LOTS;A10;2.00;;
;INTERIOR LOTS;A14;2.00;;
;INTERIOR LOTS;A15;2.00;;
;INTERIOR LOTS;A16;2.50;;
;INTERIOR LOTS;A19;2.00;;
;INTERIOR LOTS;A25;2.50;;
;INTERIOR LOTS;A48;2.00;;
MUNICIPALITY:;BANAUE;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;CR;150.00;;
;INTERIOR LOTS;RR;15.00;;
;INTERIOR LOTS;A1;4.00;;
;INTERIOR LOTS;A2;2.50;;
;INTERIOR LOTS;A5;1.75;;
;INTERIOR LOTS;A10;2.00;;
;INTERIOR LOTS;A14;2.00;;
;INTERIOR LOTS;A15;2.00;;
;INTERIOR LOTS;A16;1.75;;
;INTERIOR LOTS;A19;1.75;;
;INTERIOR LOTS;A25;2.25;;
;INTERIOR LOTS;A48;1.75;;
MUNICIPALITY:;HINGYON;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;CR;135.00;;
;INTERIOR LOTS;RR;15.00;;
;INTERIOR LOTS;A1;4.25;;
;INTERIOR LOTS;A2;2.50;;
;INTERIOR LOTS;A5;2.00;;
;INTERIOR LOTS;A10;2.00;;
;INTERIOR LOTS;A14;2.00;;
;INTERIOR LOTS;A15;2.00;;
;INTERIOR LOTS;A16;2.25;;
;INTERIOR LOTS;A19;2.25;;
;INTERIOR LOTS;A25;2.25;;
;INTERIOR LOTS;A48;2.25;;
MUNICIPALITY:;HUNGDUAN;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;RR;50.00;;
;INTERIOR LOTS;RR;15.00;;
;INTERIOR LOTS;A1;5.00;;
;INTERIOR LOTS;A2;2.50;;
;INTERIOR LOTS;A5;2.00;;
;INTERIOR LOTS;A10;2.00;;
;INTERIOR LOTS;A14;2.00;;
;INTERIOR LOTS;A15;2.00;;
;INTERIOR LOTS;A16;2.00;;
;INTERIOR LOTS;A19;2.00;;
;INTERIOR LOTS;A25;2.25;;
