RDO:;NO. 16 CABARROGUIS;;;;
PROVINCE:;QUIRINO;;;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;ALICIA;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;CABUGAO;;;;
ALL LOTS;OUTER LOTS;RR;40.00;;
ALL LOTS;INNER LOTS;RR;30.00;;
ALL LOTS;INNER LOTS;A2;1.00;;
ALL LOTS;INNER LOTS;A4;3.00;;
ALL LOTS;INNER LOTS;A6;4.00;;
ALL LOTS;INNER LOTS;A7;2.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;DAGUPAN;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;DALEMDEM;;;;
ALL LOTS;;CR;80.00;;
ALL LOTS;OUTER LOT;RR;65.00;;
ALL LOTS;INNER LOT;RR;55.00;;
ALL LOTS;INNER LOT;A1;6.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;DIODOL;;;;
ALL LOTS;OUTER LOT;RR;40.00;;
ALL LOTS;INNER LOT;RR;30.00;;
ALL LOTS;INNER LOT;A4;3.00;;
ALL LOTS;INNER LOT;A6;4.00;;
ALL LOTS;INNER LOT;A7;2.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;DUMABEL;;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
INNER LOTS;;A1;6.00;;
INNER LOTS;;A2;2.00;;
INNER LOTS;;A3;2.00;;
INNER LOTS;;A4;5.00;;
INNER LOTS;;A5;4.00;;
INNER LOTS;;A6;6.00;;
INNER LOTS;;A7;2.00;;
INNER LOTS;;A8;2.00;;
INNER LOTS;;A9;2.00;;
INNER LOTS;;A10;2.00;;
INNER LOTS;;A11;1.00;;
CITY/MUNICIPALITY:;AGLIPAY;;;;
BARANGAY:;DUNGO (DUNGO-OSMENA);;;;
ALL LOTS;;CR;80.00;;
OUTER LOTS;;RR;65.00;;
INNER LOTS;;RR;55.00;;
