RDO:;RDO NO. 16 CABARROGUIS, QUIRINO;;;;
PROVINCE:;QUIRINO;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;ALICIA;;;;
ALL LOTS;;CR;150.00;;
ALL LOTS;;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;6.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;CABUGAO;;;;
ALL LOTS;ALONG THE ROAD;RR;50.00;;
ALL LOTS;INTERIOR;RR;35.00;;
ALL LOTS;INTERIOR;A2;3.00;;
ALL LOTS;INTERIOR;A4;4.00;;
ALL LOTS;INTERIOR;A6;5.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
BARANGAY:;DAGUPAN;;;;
ALL LOTS;ALONG THE ROAD;CR;150.00;;
ALL LOTS;ALONG THE ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
ALL LOTS;INTERIOR;A3;3.00;;
ALL LOTS;INTERIOR;A4;8.00;;
ALL LOTS;INTERIOR;A5;5.00;;
ALL LOTS;INTERIOR;A6;7.00;;
ALL LOTS;INTERIOR;A7;3.00;;
ALL LOTS;INTERIOR;A8;3.00;;
ALL LOTS;INTERIOR;A9;3.00;;
ALL LOTS;INTERIOR;A10;3.00;;
ALL LOTS;INTERIOR;A11;2.00;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
CITY/MUNICIPALITY:;MUNICIPALITY OF AGLIPAY;;;;
