RDO:;RDO NO. 24 - VALENZUELA CITY;;;( Formerly RDO No. 21-VALENZUELA);
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;VALENZUELA;;;;
BARANGAY:;ARKONG BATO;;;;
M. H. DEL PILAR;PALASAN BDRY. - MALABON;CR;2,500.00;;
B. E. SAN DIEGO SUBD;M.H.DEL PILAR ST TO END;RR;1,100.00;;
J. CORDERO SUBD;M.H.DEL PILAR ST TO END;RR;1,100.00;;
NEW MENLO SUBD;M.H.DEL PILAR ST TO END;RR;1,100.00;;
NAVARETTE;M.H.DEL PILAR-OBANDO BDRY;RR;1,300.00;;
FORTUNE SUBD;;RR;1,100.00;;
A. CRUZ SUBD;DEL PILAR ST-ARKONG BATO;RR;1,100.00;;
PALASAN SUBD;M.H.DEL PILAR ST TO END;RR;1,100.00;;
SEVILLA ST;;RR;1,100.00;;
ARKONG BATO ROAD;PALASAN - NAVARETTE ST;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;2,500.00;;
ALL OTHER STREETS;;GP;850.00;;
BARANGAY:;BAGBAGUIN;;;;
MALINTA-NOVA ROAD;PASEO DE BLAS - CALOOCAN;CR;4,250.00;;
707 COMPOUND;MALINTA-NOVA RD TO END;I;3,500.00;;
BISALAO ST;A.MARIANO - MAPULANG LUPA;RR;1,500.00;;
;;I;3,250.00;;
CHRIST THE KING SUBD;;RR;1,600.00;;
ITC COMPOUND;MAL-NOVA RD-SITIO MALINIS;I;3,500.00;;
SITIO MALINIS;LAWANG BATO-JACINTO ST;I;3,250.00;;
G. MOLINA ST;707 COMPOUND TO END;I;3,250.00;;
P. JACINTO ST;SITIO MALINIS TO END;I;3,250.00;;
A. MARIANO ST;MALINTA-NOVA ROAD TO END;I;3,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;CR;4,250.00;;
ALL OTHER STREETS;;I;3,250.00;;
ALL OTHER STREETS;;GP;900.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;BALANGKAS;;;;
P. DEATO ST;PARIANCILLO RD-VALERIANO;RR;875.00;;
DEATO SUBD;;RR;875.00;;
MENDOZA SUBD;;RR;875.00;;
MARIPAZ SUBD;;RR;1,100.00;;
SERAPIO SUBD;;RR;1,100.00;;
VALERIANO ST;F.DEATO ST-CAPALAD ST;RR;1,100.00;;
P. CAPALAD;VALERIANO ST-SEBASTIAN ST;RR;1,100.00;;
SEBASTIAN ST;CAPALAD ST-P. DEATO ST;RR;1,100.00;;
SITIO BILOG;MARIPAZ SUBD-WAWANG PULO;RR;900.00;;
ALL OTHER STREETS;;RR;900.00;;
ALL OTHER STREETS;;GP;850.00;;
BARANGAY:;BIGNAY;;;;
BIGNAY ROAD;PUNTURIN TO END;RR;1,000.00;;
BIGNAY-LLANO ROAD;BIGNAY RD-CALOOCAN CITY;RR;900.00;;
GALAS ROAD;BIGNAY RD-BIGNAY-LLANO RD;RR;850.00;;
HULO ROAD;BIGNAY LLANO RD TO END;RR;850.00;;
PARANG ROAD;BIGNAY RD TO END;RR;850.00;;
ALL OTHER STREETS;;RR;850.00;;
ALL OTHER STREETS;;GP;750.00;;
BARANGAY:;BISIG;;;;
BISIG ROAD;BRIDGE - TAGALAG;RR;1,100.00;;
P. DE GUIA ST;BISIG ROAD TO END;RR;1,100.00;;
F. SALVADOR ST;BISIG ROAD TO END;RR;1,100.00;;
BISIG SUBD;BISIG ROAD TO END;RR;1,100.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;GP;650.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;CANUMAY;;;;
T. SANTIAGO ST;LINGUNAN-PASEO DE BLAS;I;5,250.00;;
M. GREGORIO ST;T. SANTIAGO ST TO END;I;3,750.00;;
F. LAZARO ST;T. SANTIAGO ST TO END;I;5,000.00;;
;;RR;1,300.00;;
L. SANDIEGO ST;;I;5,250.00;;
S. DONESA ST;;I;5,250.00;;
JACINTO ST;T, SANTIAGO ST TO END;RR;1,300.00;;
SAN ANDRES ST;T. SANTIAGO ST TO END;I;5,000.00;;
VICTORIA VILLAGE;;I;3,750.00;;
TRINIDAD ST(ASIAN);VICTORIA VILL-D.BONIFACIO;I;3,750.00;;
D. BONIFACIO ST;NARCISO ST- LAWANG BATO;RR;1,100.00;;
FILZIRAM SUBD;;RR;1,100.00;;
RUBY VILLE SUBD;;RR;1,500.00;;
SACRED HEART SUBD;;RR;1,600.00;;
NARCISO ST(SERV RD);PASEO DE BLAS-LAWANG BATO;I;4,000.00;;
MARTON ROAD;D. BONIFACIO - END;I;5,000.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;I;3,750.00;;
ALL OTHER STREETS;;GP;900.00;;
ALL OTHER STREETS;;A;350.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;CARUHATAN;;;;
MC ARTHUR HIGHWAY;MARULAS BDRY-MALINTA;CR;9,000.00;;
A. PABLO ST;MALINTA- MC ARTHUR HIGHWAY;CR;5,000.00;;
;;RC;5,000.00;;
SAN VICENTE ST;A.PABLO ST-MC ARTHUR HWAY;CR;5,000.00;;
LLENADO SUBD;STO. ROSARIO TO END;RR;1,400.00;;
DAEZ ST;MC ARTHUR HIGHWAY TO END;I;4,500.00;;
BEZOTTE ST;MC ARTHUR HIGHWAY TO END;I;4,250.00;;
SAN FRANCISCO ST;MC ARTHUR HIGHWAY TO END;I;4,500.00;;
STO. ROSARIO ST;SAN FRANCISCO ST TO END;RR;1,750.00;;
;;I;4,000.00;;
CAYETANO ST;MC ARTHUR HIGHWAY TO END;RR;1,750.00;;
;;I;4,000.00;;
ARTY SUBD;MC ARTHUR HIGHWAY TO END;RR;2,000.00;;
;;I;4,250.00;;
SAN GUILLERMO ST;;RR;1,750.00;;
STA. BRIGIDA ST;;RR;1,400.00;;
SAN JEREMIAS ST;;RR;1,400.00;;
SAN JACOBO ST;;RR;1,400.00;;
SAN MOISES ST;;RR;1,400.00;;
PAG-ASA SUBD;;RR;1,750.00;;
TOMAS MANUEL SUBD;;I;3,250.00;;
TADEO ST;MC ARTHUR HIGHWAY TO END;I;4,250.00;;
GEN. T. DE LEON RD;MC ARTHUR HWAY-T.DE LEON;CR;5,000.00;;
ARTY SUBD IV;ILANG-ILANG RD TO END;RR;1,750.00;;
ILANG-ILANG ST;GEN.T.DE LEON TO END;RR;1,750.00;;
DALIVA ST;GEN.T.DE LEON-PAG-ASA SUBD;RR;1,400.00;;
PADRIGAL ST;GEN.T.DE LEON TO END;RR;1,400.00;;
HOPE COMPOUND;PADRIGAL ST TO END;RR;1,400.00;;
FAITH COMPOUND;PADRIGAL ST TO END;RR;1,400.00;;
GRACE COMPOUND;PADRIGAL ST TO END;RR;1,400.00;;
TRINIDAD COMPOUND;PADRIGAL ST TO END;RR;1,400.00;;
BIBLE ST;GEN.T. DE LEON TO END;RR;1,400.00;;
A. PADRINAO ST;GEN.T. DE LEON TO END;RR;1,400.00;;
PINALAGAD COMPOUND;SAN FRANCISCO ST TO END;RR;1,200.00;;
FAMILY COMPOUND;MC ARTHUR HIGHWAY TO END;RR;1,400.00;;
FREDEL COMPOUND;ILANG-ILANG ST TO END;RR;1,400.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;5,000.00;;
ALL OTHER STREETS;;I;3,250.00;;
ALL OTHER STREETS;;GP;1,000.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;COLOONG;;;;
COLOONG I;M.H. DEL PILAR TO END;RR;900.00;;
COLOONG II;M.H. DEL PILAR TO END;RR;850.00;;
SAN FRANCISCO DEL MONTE;COLOONG I TO END;RR;850.00;;
J. DALAG ST;COLOONG I TO END;RR;850.00;;
MARTINA ST;COLOONG I TO END;RR;850.00;;
BALDOMERO ST;COLOONG II TO END;RR;850.00;;
BERNARDO ST;COLOONG II TO END;RR;850.00;;
DEL CASTILLO ST;COLLONG II TO COLOONG I;RR;850.00;;
HERNANDEZ SUBD;COLOONG II TO END;RR;850.00;;
MANGO GROOVE ST;COLOONG I TO COLOONG II;RR;850.00;;
LAGMAN SUBD;COLOONG I TO END;RR;1,000.00;;
SAN MIGUEL SUBD;COLOONG I TO END;RR;1,000.00;;
F. RAMOS ST;COLOONG II TO COLOONG I;RR;1,000.00;;
SAMONTE ST;COLOONG II - MARCOS ST;RR;800.00;;
VILLARICA ST;COLOONG I - MARCOS ST;RR;800.00;;
MARCOS ST;SAMONTE ST - VILLARICA ST;RR;800.00;;
GERONIMO ST;MARCOS ST TO END;RR;800.00;;
F. PASCO ST;MARCOS ST TO END;RR;800.00;;
C. PASCUAL ST;MARCOS ST TO END;RR;800.00;;
J. SANTIAGO ST;COLOONG I TO END;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;GP;650.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;DALANDANAN;;;;
MC ARTHUR HIGHWAY;MALINTA BDRY-MALANDAY BDR;CR;9,000.00;;
LENA SUBD;;RR;1,750.00;;
PACHECO SUBD;;RR;1,750.00;;
ANTONIO SUBD;;RR;1,750.00;;
FELIZVILLE SUBD;;RR;1,750.00;;
C. SANTIAGO ST;MC ARTHUR HIGHWAY TO END;RR;1,750.00;;
V. HERMOSO ST;MC ARTHUR HIGHWAY TO END;I;3,750.00;;
A. BLANCO ST;MC ARTHUR HIGHWAY TO END;I;3,750.00;;
STA. MONICA COMPOUND 2;;RR;1,750.00;;
SAN SIMON SUBD;;RR;1,750.00;;
A. MARCELO ST;A. MARCELO ST- MALABO ST;RR;1,400.00;;
MENLO SUBD;A. MARCELO ST TO END;RR;1,400.00;;
SAN MARTIN DE PORES SUBD;A. MARCELO ST TO END;RR;1,400.00;;
G. LAZARO ST;MC ARTHUR HWAY-PASOLO;CR;3,750.00;;
ESTEBAN ST;G. LAZARO ST-TIWALA ST;RR;1,400.00;;
HULO ROAD;ESTEBAN ST TO END;RR;1,400.00;;
ENCARNACION ST;MC ARTHUR HWAY-STA.MONICA;RR;1,750.00;;
SEBASTIAN COMPOUND;ESTEBAN ST TO END;RR;1,400.00;;
ALVIAR ST;MALABO ROAD TO END;RR;1,400.00;;
J. MEDINA ST;;RR;1,400.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;9,000.00;;
ALL OTHER STREETS;;I;3,750.00;;
ALL OTHER STREETS;;GP;1,000.00;;
ALL OTHER STREETS;;;;;
ALL OTHER STREETS;;;;;
BARANGAY:;GEN. T. DE LEON;;;;
GEN. T. DE LEON;CARUHATAN TO BRIDGE;CR;5,000.00;;
SANTOS SUBD;GEN. T. DE LEON RD TO END;RR;1,750.00;;
ARBORTOWNE VILLAGE;;RR;3,000.00;;
VICTORIA ST;GEN T. DE LEON TO END;RR;1,750.00;;
FORTUNE VILLAGE 1 & 2;;RR;1,750.00;;
GALGUERRA CMPD;DELUPIO ST TO END;RR;1,400.00;;
M. DELOS REYES ST;GEN. T. DE LEON - PARADA;RR;1,400.00;;
NEW PRODON SUBD;M. DELOS REYES TO END;RR;1,400.00;;
OLD PRODON SUBD;M. DELOS REYES TO END;RR;1,400.00;;
SALVADOR COMPOUND;M. DELOS REYES TO END;RR;1,100.00;;
SANTOLAN ROAD;GEN. T. DE LEON - PARADA;RR;1,400.00;;
SAN MIGUEL HOMES;GEN. T. DE LEON - PARADA;RR;1,400.00;;
IGMIDIO ST;SANTOLAN ROAD TO END;RR;1,400.00;;
SANTOLAN HOMES;;RR;1,400.00;;
F. BERNARDINO HOMES;SANTOLAN ROAD TO END;RR;1,400.00;;
MIGUELITO HOMES;BERNARDINO HOMES TO END;RR;1,400.00;;
MAGNOLIA HOMES;SANTOLAN ROAD TO END;RR;1,400.00;;
A. ILOCIO ST;SANTOLAN ROAD TO END;RR;1,100.00;;
MANGOSTEEN ST;SANTOLAN ROAD TO END;RR;1,400.00;;
RAMBUTAN ST;SANTOLAN ROAD TO END;RR;1,400.00;;
MABOLO ST;SANTOLAN ROAD TO END;RR;1,400.00;;
BIGNAY ST;SANTOLAN ROAD TO END;RR;1,400.00;;
BCL COMPOUND;GEN. T. DE LEON TO END;RR;1,400.00;;
URRUTIA AVENUE;GEN.T.DE LEON-GUMMAMELA;CR;3,250.00;;
POLICARPIO ST;GEN. T. DE LEON TO END;RR;1,400.00;;
DIAM ST;GEN. T. DE LEON TO END;RR;1,400.00;;
TANDA SUBD;;RR;1,750.00;;
DEATO SUBD;;RR;1,750.00;;
ANGELES ST EXT.;ANGELES ST TO END;RR;1,400.00;;
PIONEER VILLAGE;DIAM ST TO END;RR;1,400.00;;
BERNARDINO ST;GEN. T. DE LEON TO END;RR;1,400.00;;
G. DE LEON ST;GEN. T. DE LEON TO END;RR;1,400.00;;
GOLD EAGLE HOMES;GEN. T. DE LEON TO END;RR;1,400.00;;
FAROLA HOMES;UGONG ROAD TO END;RR;1,400.00;;
DELOS REYES ST;UGONG ROAD TO END;RR;1,400.00;;
CANDIDO COMPOUND;GEN. T. DE LEON TO END;RR;1,400.00;;
M. DE LEON ROAD;GEN. T. DE LEON TO END;RR;1,400.00;;
OLD SANTOLAN ROAD;GEN. T. DE LEON TO END;RR;1,400.00;;
F. DOMETILLO ST;GEN. T. DE LEON TO END;RR;1,400.00;;
I. DOMETILLO ST;GEN. T. DE LEON TO END;RR;1,400.00;;
