RDO:;RDO NO. 25A - PLARIDEL BULACAN;;;FORMERLY RDO NO. 25 MALOLOS, BULACAN;
PROVINCE:;BULACAN;;;;
PROVINCE:;BULACAN;;;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;ANTIPONA;;;;
POBLACION;;RR;1,200.00;;
POBLACION;;CR;2,000.00;;
P. BURGOS ST.;;RR;1,000.00;;
J.P RIZAL ST.;;RR;1,000.00;;
LAKANDULA ST.;;RR;1,000.00;;
ZAMORA ST.;;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;GP;500.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAMBANG;;;;
BAMBANG DIG;;RR;800.00;;
CARMEN SUBD.;;RR;800.00;;
SANTOS SUBD.;;RR;800.00;;
ST. MARTIN SUBD.;;RR;800.00;;
MIA ROAD;;RR;800.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;A1;200.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAGUMBAYAN;;;;
A. BONIFACIO ST.;;RR;1,000.00;;
P. GOMEZ ST.;;RR;1,000.00;;
L. JAENA ST.;;RR;1,000.00;;
M. H. DEL PILAR ST.;;RR;1,000.00;;
SANDICO (PROVINCIAL ROAD);;RR;1,000.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;A1;200.00;;
ALL OTHER STREETS;;A4;200.00;;
ALL OTHER STREETS;;GP;225.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BATIA;;;;
BARANGAY ROAD;;RR;550.00;;
MIA ROAD;;RR;550.00;;
ALL OTHER STREETS;;RR;550.00;;
ALL OTHER STREETS;;A1;120.00;;
ALL OTHER STREETS;;GP;120.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG 1st;;;;
MACARTHUR HIGHWAY;;RR;2,000.00;;
MACARTHUR HIGHWAY;;CR;2,500.00;;
MACARTHUR HIGHWAY;;A1;250.00;;
BIÑANG I BARANGAY ROAD;;RR;800.00;;
BARTOLOME ST.;;RR;800.00;;
GAVINO DELA RAMA ST.;;RR;800.00;;
MARCOS ROBLES ST.;;RR;800.00;;
MATEO DE GUZMAN ST.;;RR;800.00;;
REYES ST.;;RR;800.00;;
SAN JUAN ST.;;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG 2nd;;;;
MACARTHUR HIGHWAY;;RR;2,000.00;;
MACARTHUR HIGHWAY;;CR;2,500.00;;
MACARTHUR HIGHWAY;;A1;250.00;;
BAGONG ST.;;RR;800.00;;
MENDOZA I;;RR;800.00;;
MENDOZA II;;RR;800.00;;
MENDOZA III;;RR;800.00;;
ORTEGA ST.;;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;250.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BOLAKAN;;;;
BARANGAY ROAD;;RR;600.00;;
BARANGAY ROAD;ALONG EXPRESSWAY;A1;100.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNDUKAN;;;;
PROVINCIAL ROAD;;RR;1,100.00;;
PROVINCIAL ROAD;;CR;1,500.00;;
PROVINCIAL ROAD;;A1;200.00;;
RAMIREZ ST.;;RR;800.00;;
BUNDUKAN MAIN ROAD;;RR;800.00;;
BETTER LIVING ROAD;;RR;800.00;;
KAYPALANGCO ROAD;;RR;800.00;;
BUNDUKAN-IGULOT ROAD;;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNLO;;;;
MACARTHUR HIGHWAY;;RR;2,000.00;;
MACARTHUR HIGHWAY;;CR;2,500.00;;
MACARTHUR HIGHWAY;;A1;200.00;;
AGUSTIN TUAZON ST.;;RR;800.00;;
DEL ROSARIO ST.;;RR;800.00;;
DELA CRUZ ST.;;RR;800.00;;
DYN ST.;;RR;800.00;;
LIBIS NG NAYON ST.;;RR;800.00;;
MERCEDEZ ST.;;RR;800.00;;
NEW CALLE MADRID;;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;CAINGIN;;;;
PROVINCIAL ROAD;;RR;1,500.00;;
PROVINCIAL ROAD;;CR;2,000.00;;
PROVINCIAL ROAD;;A1;200.00;;
BARANGAY ROAD;;RR;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;DUHAT;;;;
ALONG PROVINCIAL ROAD;;RR;1,600.00;;
BALUBARAN ST.;;RR;600.00;;
LIBON ST.;;RR;600.00;;
PUROK GITNA;;RR;600.00;;
M. CAPIRAL;;RR;600.00;;
ALL OTHER STREETS;;RR;600.00;;
ALL OTHER STREETS;ALONG NORTH DIVERSION R;A1;150.00;;
ALL OTHER STREETS;ALONG NORTH DIVERSION R;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;IGULOT;;;;
KAYPALANGKO ST.;;RR;450.00;;
MANGGAHAN ST.;;RR;450.00;;
AGAPITO ROAD;;RR;450.00;;
BIÑANG-IGULOT;;RR;450.00;;
AGUSTIN ROAD;;RR;450.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;LOLOMBOY;;;;
MC ARTHUR HIGHWAY;;RR;2,000.00;;
MC ARTHUR HIGHWAY;;CR;2,500.00;;
AZICATE HOMES;;RR;1,000.00;;
DEL CARMEN SUBD.;;RR;1,000.00;;
FARMER SUBD.;;RR;1,000.00;;
VILLA RITA SUBD.;;RR;1,000.00;;
VILLA VERONICA SUBD.;;RR;1,000.00;;
LA TRINIDAD SUBD.;;RR;1,000.00;;
BANLOS ST.;;RR;700.00;;
BLANCO ST.;;RR;700.00;;
BOLINA ST.;;RR;700.00;;
CALLE DE CASTRO;;RR;700.00;;
GARAHE ST.;;RR;700.00;;
DAUNGAN ST.;;RR;700.00;;
J. FRANCISCO ST.;;RR;700.00;;
MENDOZA ST.;;RR;700.00;;
MERALCO ST.;;RR;700.00;;
POTRERO ST.;;RR;700.00;;
ROXAS ST.;;RR;700.00;;
PARAISO ST.;;RR;700.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;A1;200.00;;
ALL OTHER STREETS;;GP;200.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;SULUCAN;;;;
DAHATI SUBD.;;RR;800.00;;
ZAPFRA SUBD.;;RR;800.00;;
J. LUNA ST.;;RR;650.00;;
A. MABINI ROAD;;RR;650.00;;
NIA ROAD;;RR;650.00;;
M. H. DEL PILAR ST.;;RR;650.00;;
J. P. RIZAL ST.;;RR;650.00;;
SANDICO ROAD (PROV'L ROAD);;RR;800.00;;
ALL OTHER STREETS;;RR;650.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TURO;;;;
PROVINCIAL ROAD;;RR;2,000.00;;
PROVINCIAL ROAD;;CR;2,500.00;;
PROVINCIAL ROAD;;A1;200.00;;
O. ENRIQUEZ SUBD.;;RR;1,000.00;;
D. REYES SUBD.;;RR;1,000.00;;
RAMIREZ SUBD.;;RR;1,000.00;;
D. RAMIREZ ST.;;RR;800.00;;
L. FRANCISCO ST.;;RR;800.00;;
F. VOLUNDTAD ST.;;RR;800.00;;
S. VOLUNDTAD ST.;;RR;800.00;;
ROXAS ST.;;RR;800.00;;
C. MENDOZA ST.;;RR;800.00;;
P. MENDOZA ST.;;RR;800.00;;
BERNARDO ST.;;RR;800.00;;
MAURICIO ST.;;RR;800.00;;
P. SANTIAGO ST.;;RR;800.00;;
P. REYES ST.;;RR;800.00;;
ALL OTHER STREETS;;RR;800.00;;
ALL OTHER STREETS;;GP;125.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;WAKAS ST;;;;
MC ARTHUR HIGHWAY;;RR;2,500.00;;
MC ARTHUR HIGHWAY;;CR;3,000.00;;
MC ARTHUR HIGHWAY;;A1;200.00;;
PROVINCIAL ROAD;;RR;2,000.00;;
PROVINCIAL ROAD;;CR;2,500.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TAAL;;;;
PROVINCIAL ROAD;;RR;2,000.00;;
PROVINCIAL ROAD;;CR;2,000.00;;
LAZARO-CASTILLO-NICOLAS;;RR;700.00;;
MARTIN-FRANCISCO-CRUZ;;RR;700.00;;
DE GUZMAN-FRANCISCO-TEODORO;;RR;700.00;;
GARCIA-ENRIQUEZ-SALVADOR;;RR;700.00;;
NICOLAS-MARTIN-CASTRO-TEMPO;;RR;700.00;;
SANTOS-MENDOZA-DIAZ-DAUNGAN;;RR;700.00;;
GERALDEZ-ROJAS-FRANCISCO-JOSE;;RR;700.00;;
ALL OTHER STREETS;;RR;700.00;;
ALL OTHER STREETS;;A1;150.00;;
ALL OTHER STREETS;;GP;150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;TAMBOBONG;;;;
PROVINCIAL ROAD;;RR;600.00;;
PROVINCIAL ROAD;;CR;800.00;;
PROVINCIAL ROAD;;A1;150.00;;
F. F. CRUZ ST;;RR;500.00;;
R. S. SANTIAGO ST.;;RR;500.00;;
TAMBOBONG-BATIA ROAD;;RR;500.00;;
REYES ST.;;RR;500.00;;
TUGATOG ROAD;;RR;500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;GP;225.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN NORTE;;;;
MACARTHUR HIGHWAY;;RR;3,500.00;;
MACARTHUR HIGHWAY;;CR;3,500.00;;
MACARTHUR HIGHWAY;INTERIOR;RR;1,500.00;;
MACARTHUR HIGHWAY;INTERIOR;CR;2,500.00;;
NEAR MUNICIPAL STS;;RR;1,200.00;;
NEAR MUNICIPAL STS;INTERIOR;RR;900.00;;
MA. SOCORRO SUBD.;;RR;1,500.00;;
TOWN & COUNTRY EXECUTIVE VILLAGE;;RR;2,200.00;;
VICTORINA HOMESITE;;RR;1,500.00;;
J. D. DELOS SANTOS SUBD.;;RR;1,500.00;;
ALL OTHER STREETS;;GP;800.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN SUR;;;;
MC ARTHUR HIGHWAY;;RR;3,500.00;;
MC ARTHUR HIGHWAY;;CR;3,500.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;2,800.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;2,800.00;;
OTHER MUNICIPAL STS;;RR;1,500.00;;
OTHER MUNICIPAL STS;;CR;1,500.00;;
OTHER MUNICIPAL STS;INTERIOR;RR;1,000.00;;
OTHER MUNICIPAL STS;INTERIOR;I;700.00;;
OTHER MUNICIPAL STS;INTERIOR;A;350.00;;
GONZALES SUBD.;;RR;1,800.00;;
FAUSTA VILLAGE;;RR;1,800.00;;
MA. RAMOS SUBD.;;RR;1,500.00;;
E. DELA CRUZ SUBD.;;RR;1,200.00;;
ALL OTHER STREETS;;GP;350.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;IBAYO;;;;
MACARTHUR HIGHWAY;;RR;3,500.00;;
MACARTHUR HIGHWAY;;CR;3,500.00;;
MACARTHUR HIGHWAY;INTERIOR;RR;2,500.00;;
MACARTHUR HIGHWAY;INTERIOR;CR;3,200.00;;
NEAR MUNICIPAL ROADS;;RR;1,200.00;;
NEAR MUNICIPAL ROADS;;A;400.00;;
