RDO:;RDO 25B - MARILAO, BULACAN;;;;
PROVINCE:;BULACAN;;;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;POBLACION;;;;
BONIFACIO ST.;;RR;2,150.00;;
BONIFACIO ST.;;CR;3,050.00;;
F. MATANDA ST.;;RR;2,150.00;;
F. MATANDA ST.;;CR;3,050.00;;
J. P. RIZAL ST.;;RR;2,150.00;;
J. P. RIZAL ST.;;CR;3,050.00;;
P. BURGOS ST.;;RR;2,150.00;;
;;CR;3,050.00;;
T. SANDICO ST.;PROVINCIAL ROAD;RR;2,150.00;;
T. SANDICO ST.;PROVINCIAL ROAD;CR;3,050.00;;
ALL OTHER STREETS;;RR;1,775.00;;
ALL OTHER STREETS;;CR;3,000.00;;
ALL OTHER STREETS;INTERIOR;RR;1,725.00;;
ALL OTHER STREETS;INTERIOR;CR;2,950.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;ANTIPONA;;;;
J.P RIZAL ST.;;RR;0.00;Note :   * JP RIZAL, P. BURGOS POB. WERE UNDER POBLACION AS PER CORRECTION OF ASSESSOR;
LAKANDULA ST.;;RR;2,050.00;;
LAKANDULA ST.;;CR;2,950.00;;
P. BURGOS ST.;;RR;0.00;Note :   * JP RIZAL, P. BURGOS POB. WERE UNDER POBLACION AS PER CORRECTION OF ASSESSOR;
POBLACION;;RR;0.00;Note :   * JP RIZAL, P. BURGOS POB. WERE UNDER POBLACION AS PER CORRECTION OF ASSESSOR;
POBLACION;;CR;0.00;Note :   * JP RIZAL, P. BURGOS POB. WERE UNDER POBLACION AS PER CORRECTION OF ASSESSOR;
ZAMORA ST.;;RR;2,050.00;;
ZAMORA ST.;;CR;2,950.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,900.00;;
ALL OTHER STREETS;INTERIOR;RR;1,950.00;;
ALL OTHER STREETS;INTERIOR;CR;2,850.00;;
ALL OTHER STREETS;INTERIOR;GP;700.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAMBANG;;;;
BAMBANG DIG;;RR;1,375.00;;
CALLE GUBAT;;RR;1,250.00;;
DULONG BAMBANG;;RR;1,300.00;;
NIA (MIA) ROAD;;RR;1,375.00;;
PITONG GATANG;;RR;1,075.00;;
SITIO PULO;;RR;1,075.00;;
KAKULISAN;;RR;975.00;;
KAKULISAN;;A1;700.00;;
KAKULISAN;;A6;475.00;;
KAKULISAN;;A7;350.00;;
ALL OTHER STREETS;;RR;1,050.00;;
ALL OTHER STREETS;;CR;2,800.00;;
ALL OTHER STREETS;;A1;600.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;1,025.00;;
ALL OTHER STREETS;INTERIOR;CR;2,750.00;;
;;A1;550.00;;
CARMEN SUBD.;;RR;1,375.00;;
SANTOS SUBD.;;RR;1,375.00;;
ST. MARTIN SUBD.;;RR;1,375.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BAGUMBAYAN;;;;
A. BONIFACIO ST.;;RR;1,950.00;;
L. JAENA ST.;;RR;1,950.00;;
M. H. DEL PILAR ST.;;RR;1,950.00;;
P. GOMEZ ST.;;RR;1,950.00;;
SANDICO;PROVINCIAL ROAD;RR;1,950.00;;
NIA ROAD;;RR;1,950.00;;
NIA ROAD;;A1;900.00;;
NIA ROAD;;A6;700.00;;
NIA ROAD;;A7;425.00;;
BOCAUE GREEN FARM;;RR;1,425.00;;
ALL OTHER STREETS;;RR;1,750.00;;
ALL OTHER STREETS;;CR;2,950.00;;
ALL OTHER STREETS;;A1;650.00;;
ALL OTHER STREETS;;A4;480.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;1,700.00;;
ALL OTHER STREETS;INTERIOR;CR;2,900.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BATIA;;;;
NIA (MIA) ROAD;;RR;725.00;;
PROVINCIAL ROAD;;RR;825.00;;
PROVINCIAL ROAD;;CR;2,550.00;;
PROVINCIAL ROAD;;A2;480.00;;
PROVINCIAL ROAD;INTERIOR;RR;825.00;;
PROVINCIAL ROAD;INTERIOR;CR;2,500.00;;
PROVINCIAL ROAD;INTERIOR;A2;460.00;;
BARANGAY ROAD;;RR;825.00;;
BARANGAY ROAD;;CR;2,500.00;;
BARANGAY ROAD;;A2;450.00;;
BARANGAY ROAD;INTERIOR;RR;825.00;;
BARANGAY ROAD;INTERIOR;CR;2,450.00;;
BARANGAY ROAD;INTERIOR;A2;430.00;;
ALL OTHER STREETS;;RR;625.00;;
ALL OTHER STREETS;;CR;2,450.00;;
ALL OTHER STREETS;INTERIOR;RR;610.00;;
ALL OTHER STREETS;INTERIOR;CR;2,400.00;;
ALL OTHER STREETS;INTERIOR;A1;430.00;;
ALL OTHER STREETS;INTERIOR;GP;400.00;;
ALL OTHER STREETS;INTERIOR;A2;400.00;;
ALL OTHER STREETS;INTERIOR;A6;450.00;;
ALL OTHER STREETS;Piggery Site/ Poultry;A50;700.00;;
BAKA-BAKAHAN;;RR;625.00;;
LUPA SA MAHIRAP;SOCIALIZED HOUSING PROJECT;RR;725.00;;
MERALCO VILLAGE;;RR;725.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG 1st;;;;
MC ARTHUR HIGHWAY;;RR;3,150.00;;
MC ARTHUR HIGHWAY;;CR;4,150.00;;
MC ARTHUR HIGHWAY;;A1;1,000.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;3,100.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;4,100.00;;
MC ARTHUR HIGHWAY;INTERIOR;A1;900.00;;
BARANGAY ROAD;;RR;1,825.00;;
IGULOT ROAD;;RR;1,650.00;;
IGULOT ROAD;;CR;2,150.00;;
BARTOLOME ST.;;RR;1,825.00;;
GAVINO DELA RAMA ST.;;RR;1,825.00;;
MARCOS ROBLES ST.;;RR;1,825.00;;
MATEO DE GUZMAN ST.;;RR;1,825.00;;
REYES ST.;;RR;1,825.00;;
SAN JUAN ST.;;RR;1,625.00;;
ALL OTHER STREETS;;RR;1,825.00;;
ALL OTHER STREETS;;CR;2,140.00;;
ALL OTHER STREETS;;A1;700.00;;
ALL OTHER STREETS;;A2;600.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER STREETS;INTERIOR;RR;1,825.00;;
ALL OTHER STREETS;INTERIOR;CR;2,130.00;;
ALL OTHER STREETS;INTERIOR;A1;600.00;;
ALL OTHER STREETS;INTERIOR;A2;550.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BIÑANG 2nd;;;;
MC ARTHUR HIGHWAY;;RR;3,150.00;;
MC ARTHUR HIGHWAY;;CR;4,150.00;;
MC ARTHUR HIGHWAY;;A1;1,000.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;3,000.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;4,000.00;;
MC ARTHUR HIGHWAY;INTERIOR;A1;900.00;;
BAGONG KALSADA ST.;;RR;1,600.00;;
MENDOZA I;;RR;1,600.00;;
MENDOZA II;;RR;1,600.00;;
MENDOZA III;;RR;1,600.00;;
ORTEGA ST.;;RR;1,600.00;;
GOV. F. HALILI AVE.;;RR;1,650.00;;
GOV. F. HALILI AVE.;;CR;2,150.00;;
J.P. RIZAL EXTENSION;;RR;1,650.00;;
J.P. RIZAL EXTENSION;;CR;2,150.00;;
A. MENDOZA ST.;;RR;1,600.00;;
JOSE BENEDICTO ST.;MALUSAK;RR;1,600.00;;
ALL OTHER STREETS;;RR;1,600.00;;
ALL OTHER STREETS;;CR;2,140.00;;
ALL OTHER STREETS;;A1;500.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;1,600.00;;
ALL OTHER STREETS;INTERIOR;CR;2,130.00;;
ALL OTHER STREETS;INTERIOR;A1;475.00;;
AYUKIT SUBD.;;RR;3,050.00;;
VIOLETA HOMES SUBD.;;RR;3,150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BOLAKAN;;;;
BARANGAY ROAD;;RR;975.00;;
BARANGAY ROAD;;CR;2,500.00;;
BARANGAY ROAD;ALONG EXPRESSWAY;A1;550.00;;
BARANGAY ROAD;ALONG EXPRESSWAY;A2;400.00;;
BARANGAY ROAD;INTERIOR;RR;960.00;;
BARANGAY ROAD;INTERIOR;CR;2,400.00;;
BARANGAY ROAD;INTERIOR;A1;540.00;;
BARANGAY ROAD;INTERIOR;A2;390.00;;
ALL OTHER STREETS;;RR;825.00;;
ALL OTHER STREETS;;CR;2,350.00;;
ALL OTHER STREETS;;A1;380.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;800.00;;
ALL OTHER STREETS;INTERIOR;CR;2,300.00;;
ALL OTHER STREETS;INTERIOR;A1;360.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNDUKAN;;;;
PROVINCIAL ROAD;;RR;1,575.00;;
PROVINCIAL ROAD;;CR;2,050.00;;
PROVINCIAL ROAD;;A1;900.00;;
PROVINCIAL ROAD;INTERIOR;RR;1,550.00;;
PROVINCIAL ROAD;INTERIOR;CR;2,000.00;;
PROVINCIAL ROAD;INTERIOR;A1;800.00;;
BETTER LIVING ROAD;;RR;1,300.00;;
BUNDUKAN MAIN ROAD;;RR;1,300.00;;
BUNDUKAN-IGULOT ROAD;;RR;1,300.00;;
KAYPALANGCO ROAD;;RR;1,300.00;;
RAMIREZ ST.;;RR;1,300.00;;
SITIO IPO;;RR;1,300.00;;
ALL OTHER STREETS;;RR;1,300.00;;
ALL OTHER STREETS;;CR;1,950.00;;
ALL OTHER STREETS;;A1;700.00;;
ALL OTHER STREETS;;A2;650.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER STREETS;INTERIOR;RR;1,250.00;;
ALL OTHER STREETS;INTERIOR;CR;1,900.00;;
ALL OTHER STREETS;INTERIOR;A1;650.00;;
ALL OTHER STREETS;INTERIOR;A2;600.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;BUNLO;;;;
MC ARTHUR HIGHWAY;;RR;2,850.00;;
MC ARTHUR HIGHWAY;;CR;3,850.00;;
MC ARTHUR HIGHWAY;;A1;900.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;2,800.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;3,800.00;;
MC ARTHUR HIGHWAY;INTERIOR;A1;800.00;;
AGUSTIN TUAZON ST.;;RR;1,300.00;;
DE GUZMAN ST.;;RR;1,300.00;;
DEL ROSARIO ST.;;RR;1,300.00;;
DELA CRUZ ST.;;RR;1,300.00;;
DYN ST.;;RR;1,300.00;;
LIBIS NG NAYON ST.;;RR;1,300.00;;
MERCEDEZ ST.;;RR;1,300.00;;
NEW CALLE MADRID;;RR;1,300.00;;
ALL OTHER STREETS;;RR;1,300.00;;
ALL OTHER STREETS;;CR;3,750.00;;
ALL OTHER STREETS;;A1;700.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER STREETS;INTERIOR;RR;1,250.00;;
ALL OTHER STREETS;INTERIOR;CR;3,700.00;;
ALL OTHER STREETS;INTERIOR;A1;600.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;CAINGIN;;;;
PROVINCIAL ROAD;;RR;2,850.00;;
PROVINCIAL ROAD;;CR;3,850.00;;
PROVINCIAL ROAD;;A1;1,100.00;;
PROVINCIAL ROAD;INTERIOR;RR;2,800.00;;
PROVINCIAL ROAD;INTERIOR;CR;3,800.00;;
PROVINCIAL ROAD;INTERIOR;A1;1,000.00;;
MAC ARTHUR HIGHWAY;;RR;2,850.00;;
MAC ARTHUR HIGHWAY;;CR;3,850.00;;
MAC ARTHUR HIGHWAY;;A2;675.00;;
MAC ARTHUR HIGHWAY;INTERIOR;RR;2,850.00;;
MAC ARTHUR HIGHWAY;INTERIOR;CR;3,800.00;;
MAC ARTHUR HIGHWAY;INTERIOR;A2;675.00;;
BARANGAY ROAD;;RR;1,075.00;;
BARANGAY ROAD;;CR;3,400.00;;
BARANGAY ROAD;INTERIOR;RR;1,050.00;;
BARANGAY ROAD;INTERIOR;CR;3,300.00;;
ALL OTHER STREETS;;RR;1,075.00;;
ALL OTHER STREETS;;CR;3,100.00;;
ALL OTHER STREETS;;A1;700.00;;
ALL OTHER STREETS;;A2;650.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;1,050.00;;
ALL OTHER STREETS;INTERIOR;CR;3,000.00;;
ALL OTHER STREETS;INTERIOR;A1;650.00;;
ALL OTHER STREETS;INTERIOR;A2;600.00;;
BAYANIHAN SUBDIVISION;;RR;2,150.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;DUHAT;;;;
PROVINCIAL ROAD;;RR;2,500.00;;
PROVINCIAL ROAD;;CR;3,000.00;;
PROVINCIAL ROAD;INTERIOR;RR;2,200.00;;
PROVINCIAL ROAD;INTERIOR;CR;2,900.00;;
BALUBARAN ST.;;RR;1,025.00;;
GERMAN ST.;;RR;1,025.00;;
LIBON ST.;;RR;1,025.00;;
LIBIS KANAN;;RR;1,025.00;;
LIBIS KANAN;;CR;1,250.00;;
LIBIS KALIWA;;RR;1,025.00;;
LIBIS KALIWA;;CR;1,250.00;;
M. CAPIRAL;;RR;1,025.00;;
PUROK GITNA;;RR;1,025.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;CR;1,250.00;;
ALL OTHER STREETS;;A1;650.00;;
ALL OTHER STREETS;;A2;600.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;950.00;;
ALL OTHER STREETS;INTERIOR;CR;1,200.00;;
ALL OTHER STREETS;INTERIOR;A1;550.00;;
ALL OTHER STREETS;INTERIOR;A2;500.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;IGULOT;;;;
AGAPITO ROAD;;RR;825.00;;
AGUSTIN ROAD;;RR;825.00;;
BIÑANG-IGULOT;;RR;825.00;;
KAYPALANGKO ST.;;RR;825.00;;
MANGGAHAN ST.;;RR;825.00;;
TUAZON ST.;;RR;825.00;;
ALL OTHER STREETS;;RR;825.00;;
ALL OTHER STREETS;;CR;1,800.00;;
ALL OTHER STREETS;;A1;550.00;;
ALL OTHER STREETS;;A2;500.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;INTERIOR;RR;800.00;;
ALL OTHER STREETS;INTERIOR;CR;1,700.00;;
ALL OTHER STREETS;INTERIOR;A1;500.00;;
ALL OTHER STREETS;INTERIOR;A2;450.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;LOLOMBOY;;;;
MC ARTHUR HIGHWAY;;RR;2,600.00;;
MC ARTHUR HIGHWAY;;CR;2,900.00;;
MC ARTHUR HIGHWAY;;A1;1,100.00;;
MC ARTHUR HIGHWAY;;A2;1,050.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;2,550.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;2,800.00;;
MC ARTHUR HIGHWAY;INTERIOR;A1;1,050.00;;
MC ARTHUR HIGHWAY;INTERIOR;A2;1,000.00;;
BANLOK;;RR;1,275.00;;
BANLOS ST.;;RR;1,275.00;;
BLANCO ST.;;RR;1,275.00;;
BOLINA ST.;;RR;1,275.00;;
CALLE DE CASTRO;;RR;1,275.00;;
DAUNGAN ST.;;RR;1,275.00;;
GARAHE ST.;;RR;1,275.00;;
J. FRANCISCO ST.;;RR;1,275.00;;
MENDOZA ST.;;RR;1,275.00;;
MERALCO ST.;;RR;1,275.00;;
PARAISO ST.;;RR;1,275.00;;
POGI ST.;;RR;1,275.00;;
POTRERO ST.;;RR;1,275.00;;
ROXAS ST.;;RR;1,275.00;;
ALL OTHER STREETS;;RR;1,275.00;;
ALL OTHER STREETS;;CR;2,200.00;;
ALL OTHER STREETS;;A1;1,000.00;;
ALL OTHER STREETS;;A2;950.00;;
ALL OTHER STREETS;;GP;1,000.00;;
ALL OTHER STREETS;INTERIOR;RR;1,250.00;;
ALL OTHER STREETS;INTERIOR;CR;2,100.00;;
ALL OTHER STREETS;INTERIOR;A1;900.00;;
ALL OTHER STREETS;INTERIOR;A2;870.00;;
AZICATE HOMES;;RR;1,775.00;;
DEL CARMEN SUBD.;;RR;1,775.00;;
FARMER SUBD.;;RR;1,775.00;;
LA TRINIDAD SUBD.;;RR;1,775.00;;
TOWN & COUNTRY NORTH EXECUTIVE VILLAGE;;RR;3,500.00;;
VILLA RITA SUBD.;;RR;1,775.00;;
VILLA VERONICA SUBD.;;RR;1,775.00;;
CITY/MUNICIPALITY:;BOCAUE;;;;
BARANGAY:;SULUCAN;;;;
A. MABINI ROAD;;RR;1,400.00;;
J. LUNA ST.;;RR;1,400.00;;
J. P. RIZAL ST.;;RR;1,400.00;;
M. H. DEL PILAR ST.;;RR;1,400.00;;
NIA ROAD;;RR;1,400.00;;
SANDICO ROAD;(PROVINCIAL ROAD);RR;1,600.00;;
PROVINCIAL ROAD;;RR;1,700.00;;
PROVINCIAL ROAD;;CR;2,350.00;;
PROVINCIAL ROAD;INTERIOR;RR;1,600.00;;
PROVINCIAL ROAD;INTERIOR;CR;2,300.00;;
ALL OTHER STREETS;;RR;1,400.00;;
ALL OTHER STREETS;;CR;2,200.00;;
ALL OTHER STREETS;;A1;800.00;;
ALL OTHER STREETS;;GP;500.00;;
ALL OTHER STREETS;INTERIOR;RR;1,300.00;;
ALL OTHER STREETS;INTERIOR;CR;2,100.00;;
ALL OTHER STREETS;INTERIOR;A1;750.00;;
A & B SUBDIVISION;;RR;2,800.00;;
DAHATI SUBD.;;RR;1,600.00;;
