RDO:;RDO NO. 26 - MALABON-NAVOTAS;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;ACACIA;;;;
BASILIO;MH DEL PILAR - SISA;RR;2,040.00;;
BASILIO;MH DEL PILAR - SISA;CR;2,640.00;;
CAPT TIAGO;ISAGANI - SISA;RR;1,920.00;;
CAPT TIAGO;ISAGANI - SISA;CR;2,520.00;;
CONSUELO;END VIA MA CLARA - END;RR;1,920.00;;
CONSUELO;END VIA MA CLARA - END;CR;2,520.00;;
ELIAS;BASILIO - ISAGANI;RR;1,920.00;;
ELIAS;BASILIO - ISAGANI;CR;2,520.00;;
FLERIDA;BASILIO-CAPT TIAGO;RR;1,920.00;;
FLERIDA;BASILIO-CAPT TIAGO;CR;2,520.00;;
GOV PASCUAL (BALAGTAS);MH DEL PILAR - RR;RR;4,800.00;;
GOV PASCUAL (BALAGTAS);MH DEL PILAR - RR;CR;5,400.00;;
IBARRA;PASCUAL - TIAGO MKT;RR;2,040.00;;
IBARRA;PASCUAL - TIAGO MKT;CR;2,640.00;;
ISAGANI;BASILIO - BO BDRY;RR;1,920.00;;
ISAGANI;BASILIO - BO BDRY;CR;2,520.00;;
LIGAYA;MA CLARA - SISA;RR;1,920.00;;
LIGAYA;MA CLARA - SISA;CR;2,520.00;;
LIWAYWAY;MA CLARA - SISA;RR;1,920.00;;
LIWAYWAY;MA CLARA - SISA;CR;2,520.00;;
MA CLARA;GOV PASCUAL - LIWAYWAY;RR;2,040.00;;
MA CLARA;GOV PASCUAL - LIWAYWAY;CR;2,640.00;;
M H DEL PILAR;GOV PASCUAL - AVE - BDRY;RR;3,600.00;;
M H DEL PILAR;GOV PASCUAL - AVE - BDRY;CR;4,200.00;;
SIMON;FLERIDA - SISA;RR;1,920.00;;
SIMON;FLERIDA - SISA;CR;2,520.00;;
SISA;GOV PASCUAL - LIGAYA;RR;2,040.00;;
SISA;GOV PASCUAL - LIGAYA;CR;2,640.00;;
ALL OTHER STREETS;;RR;1,920.00;;
ALL OTHER STREETS;;CR;2,520.00;;
CITY/MUNICIPALITY:;MALABON;;;;
BARANGAY:;BARITAN;;;;
A BONIFACIO;GEN LUNA-MAL NAV RT;RR;4,320.00;;
