RDO:;RDO NO. 27  - CALOOCAN CITY;;;(FORMERLY RDO NO. 29-KALOOKAN CITY);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;CALOOCAN CITY;;;;
BARANGAY:;1;;;;
GEN SN MIGUEL NORTH;AQUINO B NG KABATAAN;CR;3,900.00;;
GEN SN MIGUEL NORTH;B NG KABATAAN RAILRD;CR;3,900.00;;
GEN SN MIGUEL NORTH;B NG KBATTAAN RAILRD;RR;2,950.00;;
P AQUINO EAST;SAN MIGUEL  MARCOS;RR;750.00;;
BISIG KABATAAN WEST;SAN MIGUEL  MARCOS;RR;750.00;;
BISIG KABATAAN WEST;SAN MIGUEL  FUENTES;RR;750.00;;
RAILROAD WEST;SAN MIGUEL  FUENTES;RR;750.00;;
FUENTES;B NG KABATAAN RAILRD;RR;750.00;;
GUIA;B NG KABATAAN RAILRD;RR;750.00;;
ICASIANO;B NG KABATAAN RAILRD;RR;750.00;;
MARCOS;B NG KABATAAN RAILRD;RR;750.00;;
TORRE;B NG KABATAAN RAILRD;RR;750.00;;
ONRUBIA;B NG KABATAAN RAILRD;RR;750.00;;
SAN ROQUE;B NG KABATAAN RAILRD;RR;750.00;;
TAHAN;B NG KABATAAN RAILRD;RR;750.00;;
URSULA EAST;B NG KABATAAN RAILRD;RR;750.00;;
URSULA WEST;B NG KABATAAN RAILRD;RR;750.00;;
TAHAN WEST;B NG KABATAAN RAILRD;RR;750.00;;
TAHAN WEST;B NG KABATAAN RAILRD;;;;
BARANGAY:;2;;;;
FUENTES;RAIL RD B N KABATAAN;RR;750.00;;
ESGUERRA;B NG KABATAAN RAILRD;RR;750.00;;
DIZON;B NG KABATAAN RAILRD;RR;750.00;;
CAYABYAB;B NG KABATAAN RAILRD;RR;750.00;;
VILLA MARIA NORTH;DEL PILAR  P AQUINO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
M H DEL PILAR;V MARIA  MALABON BDY;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
L ASISTIO;VILLA MARIA  ESGUERRA;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
GUIA;ASISTIO  B N KABATAAN;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;3;;;;
M H DEL PILAR;S MIGUEL  UNANG SIGAW;CR;4,800.00;;
M H DEL PILAR;S MIGUEL  UNANG SIGAW;RR;2,800.00;;
SAN MIGUEL NORTH;DEL PILAR P AQUINO;CR;4,800.00;;
P AQUINO;S MIGUEL  UNANG SIGAW;RR;1,100.00;;
VILLA MARIA;DEL PILAR P AQUINO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
LAKAS NG MARAMI;DEL PILAR P AQUINO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
UNANG SIGAW;DEL PILAR P AQUINO;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
