RDO:;RDO NO. 27  - CALOOCAN CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;CALOOCAN CITY;;;;
BARANGAY:;1;;;;
GEN SN MIGUEL NORTH;AQUINO B NG KABATAAN;CR;12,350.00;;
GEN SN MIGUEL NORTH;B NG KABATAAN RAILROAD;CR;12,350.00;;
GEN SN MIGUEL NORTH;B NG KABATAAN RAILROAD;RR;8,580.00;;
P AQUINO EAST;SAN MIGUEL  MARCOS;RR;3,950.00;;
BISIG KABATAAN WEST;SAN MIGUEL  MARCOS;RR;3,950.00;;
BISIG KABATAAN WEST;SAN MIGUEL  FUENTES;RR;3,950.00;;
RAILROAD WEST;SAN MIGUEL  FUENTES;RR;3,950.00;;
FUENTES;B NG KABATAAN  RAILROAD;RR;3,780.00;;
GUIA;B NG KABATAAN  RAILROAD;RR;3,780.00;;
ICASIANO;B NG KABATAAN  RAILROAD;RR;3,780.00;;
MARCOS;B NG KABATAAN  RAILROAD;RR;3,780.00;;
TORRE;B NG KABATAAN  RAILROAD;RR;3,780.00;;
ONRUBIA;B NG KABATAAN  RAILROAD;RR;3,780.00;;
SAN ROQUE;B NG KABATAAN  RAILROAD;RR;3,780.00;;
TAHAN;B NG KABATAAN  RAILROAD;RR;3,780.00;;
URSULA EAST;B NG KABATAAN  RAILROAD;RR;3,780.00;;
URSULA WEST;B NG KABATAAN  RAILROAD;RR;3,780.00;;
TAHAN WEST;B NG KABATAAN  RAILROAD;RR;3,780.00;;
ALL OTHER STREETS;;RR;4,000.00;;
BARANGAY:;2;;;;
DIZON;B NG KABATAAN RAILROAD;RR;3,780.00;;
CAYABYAB;B NG KABATAAN RAILROAD;RR;3,780.00;;
ESGUERRA;B NG KABATAAN RAILROAD;RR;3,950.00;;
FUENTES;RAILROAD B NG KABATAAN;RR;3,950.00;;
VILLA MARIA NORTH;DEL PILAR  P AQUINO;APD;1,610.00;;
M H DEL PILAR;V MARIA  MALABON BDRY;APD;1,610.00;;
L ASISTIO;VILLA MARIA  ESGUERRA;APD;1,610.00;;
GUIA;ASISTIO  B NG KABATAAN;APD;1,610.00;;
ALL OTHERS STREETS;;APD;1,820.00;;
BARANGAY:;3;;;;
A. MABINI;SAN MIGUEL UNANG SIGAW;CR;14,900.00;;
A. MABINI;SAN MIGUEL UNANG SIGAW;RR;7,410.00;;
SAN MIGUEL NORTH;A. MABINI P AQUINO;CR;14,900.00;;
P AQUINO;S MIGUEL  UNANG SIGAW;RR;3,950.00;;
VILLA MARIA;A. MABINI P AQUINO;APD;1,610.00;;
LAKAS NG MARAMI;A. MABINI P AQUINO;APD;1,610.00;;
UNANG SIGAW;A. MABINI P AQUINO;APD;1,610.00;;
ALL OTHERS STREETS;;RR;1,820.00;;
ALL OTHERS STREETS;;;;;
BARANGAY:;4;;;;
A. MABINI;S. MIGUEL MALABON BDRY.;APD;2,400.00;;
GEN. SAN MIGUEL;A. MABINI MALABON BDRY.;APD;2,400.00;;
ALL OTHER STREETS;;APD;1,900.00;;
BARANGAY:;5;;;;
A MABINI EAST;S MIGUEL GEN GERONIMO;CR;12,700.00;;
A MABINI EAST;S MIGUEL GEN GERONIMO;RR;6,870.00;;
E JACINTO;A MABINI  T BUGALLON;CR;5,490.00;;
E JACINTO;A MABINI  T BUGALLON;RR;4,000.00;;
GEN SAN MIGUEL ST.;A. MABINI RAILROAD;CR;12,700.00;;
GEN. GERONIMO;A. MABINI RAILDROAD;RR;4,800.00;;
GEN. GERONIMO;A. MABINI RAILDROAD;CR;6,050.00;;
P. GOMEZ A ST.;;RR;4,100.00;;
P. GOMEZ B ST.;;RR;4,100.00;;
PNR RAILROAD PNR CPD;;RR;4,100.00;;
T BUGALLON;S MIGUEL GEN GERONIMO;RR;4,300.00;;
T BUGALLON;S MIGUEL GEN GERONIMO;CR;4,980.00;;
ALL OTHER STREETS;;RR;4,100.00;;
BARANGAY:;6;;;;
A MABINI WEST;ROTONDA  J RAMOS;CR;12,400.00;;
A MABINI WEST;ROTONDA  J RAMOS;RR;8,500.00;;
FILI;J D REYES  A MABINI;RR;4,800.00;;
GEN. SAN MIGUEL SOUTH;J FELIPE ROTONDA;CR;12,400.00;;
GEN. SAN MIGUEL SOUTH;J FELIPE ROTONDA;RR;8,500.00;;
J FELIPE EAST;S MIGUEL  BRGY 6, 7;RR;4,800.00;;
J FELIPE EAST;S MIGUEL  BRGY 6, 7;CR;8,400.00;;
J RAMOS;A MABINI  J FELIPE;RR;4,780.00;;
SOLI;;RR;4,800.00;;
V. DELOS REYES (J D REYES);FILI NOLI;RR;4,800.00;;
V. DELOS REYES (NOLI);J D REYES  J FELIPE;RR;4,800.00;;
ALL OTHER STREETS;;RR;3,800.00;;
ALL OTHER STREETS;;;;;
BARANGAY:;7;;;;
