RDO:;RDO NO. 28 - NOVALICHES;;;(FORMERLY RDO NO. 30 -  NORTH QUEZON CITY);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;NOVALICHES;;;;
BARANGAY:;ALICIA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ANTIQUE;BAGO BANTAY;RR;2,300.00;;
ANTIQUE;BAGO BANTAY;APD;0.00;APD NO. 31;
BALAYAN;BAGO BANTAY;RR;1,700.00;;
BUKIDNON;BAGO BANTAY;RR;1,700.00;;
CAMARINES;BAGO BANTAY;RR;1,700.00;;
COTABATO;BAGO BANTAY;RR;1,700.00;;
COTABATO;BAGO BANTAY;APD;0.00;APD NO. 55;
DAVAO;BAGO BANTAY;RR;1,700.00;;
DAVAO;BAGO BANTAY;APD;0.00;APD NO. 55;
FORT SANTIAGO;BAGO BANTAY;RR;1,700.00;;
ILOCOS NORTE;BAGO BANTAY;RR;1,700.00;;
ILOCOS NORTE;BAGO BANTAY;APD;0.00;APD NO. 45;
ILOCOS SUR;BAGO BANTAY;RR;1,700.00;;
PANGASINAN;BAGO BANTAY;RR;1,700.00;;
SAMAR;BAGO BANTAY;RR;1,700.00;;
TAAL;BAGO BANTAY;RR;1,700.00;;
ALL OTHER STREETS;BAGO BANTAY;RR;1,700.00;;
TOWNHOUSE  (CCT);BAGO BANTAY;RC;10,000.00;;
CONDOMINIUM;BAGO BANTAY;RC;15,000.00;;
CONDOMINIUM;BAGO BANTAY;CC;18,000.00;;
BARANGAY:;APOLONIO SAMSON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ANICETA;BALINTAWAK;RR;2,300.00;;
BELEVUE PLACE;BALINTAWAK;RR;2,300.00;;
BELLEVUE HEIGHTS;BALINTAWAK;RC;10,000.00;;
CLOVERLEAF TOWNHOUSE;BALINTAWAK;RC;10,000.00;;
CLOVERLEAF CONDOMINIUM;BALINTAWAK;RC;15,000.00;;
CYPRESS VILL;BALINTAWAK;RR;2,300.00;;
EDSA  SAMSON ROAD;BALINTAWAK;CR;10,500.00;;
EULOGIO;BALINTAWAK;I;3,800.00;;
GRACE VILL;BALINTAWAK;RR;3,800.00;;
GRACE VILL;BALINTAWAK;I;3,800.00;;
HOWMART ROAD;BALINTAWAK;I;3,900.00;;
KAINGIN;BALINTAWAK;RR;3,200.00;;
KAINGIN;BALINTAWAK;I;3,800.00;;
KAINGIN;BALINTAWAK;CR;4,500.00;;
NORTH GATE EXEC TOWNHOUSE;BALINTAWAK;RC;10,000.00;;
OLIVEROS DRIVE;BALINTAWAK;I;3,800.00;;
PARKWAY VILL;BALINTAWAK;RR;2,300.00;;
SAMSON ROAD;BALINTAWAK;RR;3,800.00;;
ALL OTHER STREETS;BALINTAWAK;RR;2,000.00;;
TOWNHOUSE  (CCT);BALINTAWAK;RC;10,000.00;;
CONDOMINIUM;BALINTAWAK;RC;15,000.00;;
CONDOMINIUM;BALINTAWAK;CC;18,000.00;;
BARANGAY:;BAESA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AIA ECO & SOCIALIZED SUBD;BALINTAWAK;RR;2,300.00;;
DEL REY SUBD;BALINTAWAK;RR;2,300.00;;
DONA DOMINGA VILL;BALINTAWAK;RR;2,300.00;;
JOJO;BALINTAWAK;RR;1,800.00;;
JORDAN PLAINES;BALINTAWAK;RR;2,300.00;;
JORDAN VILLE;BALINTAWAK;RR;2,300.00;;
KANGKONG BAESA;BALINTAWAK;RR;2,300.00;;
KANGKONG BAESA;BALINTAWAK;I;3,000.00;;
MONOTOC SUBD;BALINTAWAK;RR;2,300.00;;
MENDEZ;BALINTAWAK;RR;2,300.00;;
MENDEZ;BALINTAWAK;CR;3,000.00;;
QUIRINO HIGHWAY;BALINTAWAK;CR;7,500.00;;
QUIRINO HIGHWAY;BALINTAWAK;I;5,000.00;;
RISING SUN VILLAGE 2;BALINTAWAK;RR;2,300.00;;
ST DOMINIC SUBD;BALINTAWAK;RR;2,300.00;;
TS CRUZ SUBD;BALINTAWAK;RR;2,300.00;;
VILLA ARCA 2;BALINTAWAK;RR;2,300.00;;
VILLA MATILDE;BALINTAWAK;RR;2,300.00;;
ALL OTHER SUBDIVISION;BALINTAWAK;RR;2,000.00;;
TOWNHOUSE  (CCT);BALINTAWAK;RC;10,000.00;;
CONDOMINIUM;BALINTAWAK;RC;15,000.00;;
CONDOMINIUM;BALINTAWAK;CC;18,000.00;;
BARANGAY:;BAGBAG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
BERNARDO SUBD;SAN BARTOLOME;RR;2,000.00;;
CONCORDIA;SAN BARTOLOME;RR;2,000.00;;
GARCIA COMPD;SAN BARTOLOME;RR;2,000.00;;
GOODWILL TOWNHOMES 1;SAN BARTOLOME;RC;10,000.00;;
GOODWILL HOMES 2;SAN BARTOLOME;RR;1,500.00;;
KINGSPOINT SUBD;SAN BARTOLOME;RR;2,000.00;;
PLATA SUBD;SAN BARTOLOME;RR;1,500.00;;
QUEENS PT SUBD;SAN BARTOLOME;RR;1,500.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;RR;3,800.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;I;5,000.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;CR;7,500.00;;
REMARVILLE;SAN BARTOLOME;RR;1,500.00;;
SEMINARY ROAD;SAN BARTOLOME;RR;1,500.00;;
ALL OTHER SUBDIVISION;SAN BARTOLOME;RR;1,400.00;;
TOWNHOUSE   (CCT);SAN BARTOLOME;RC;10,000.00;;
CONDOMINIUM;SAN BARTOLOME;RC;15,000.00;;
CONDOMINIUM;SAN BARTOLOME;CC;18,000.00;;
BARANGAY:;BAHAY TORO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
ACUNA SUBD;TANDANG SORA;RR;2,600.00;;
BAHAY TORO;TANDANG SORA;RR;2,700.00;;
BAHAY TORO;TANDANG SORA;CR;2,700.00;;
BAYANIHAN VILL;TANDANG SORA;RR;2,600.00;;
CONG'L AVENUE;TANDANG SORA;RR;7,500.00;;
CONG'L AVENUE;TANDANG SORA;CR;8,500.00;;
CONG'L VILL;TANDANG SORA;RR;3,000.00;;
EMBUSCADO TOWNHOMES;TANDANG SORA;RC;10,000.00;;
FEMA ROAD;TANDANG SORA;I;3,500.00;;
GERONIMO, PROJ 8;TANDANG SORA;RR;2,600.00;;
GSIS VILL;TANDANG SORA;RR;2,600.00;;
IMELDA VILL;TANDANG SORA;RR;2,600.00;;
JOYLAND HOMES;TANDANG SORA;RC;10,000.00;;
LUCAS PASCUAL;TANDANG SORA;RR;1,800.00;;
R & E VILL;TANDANG SORA;RR;3,000.00;;
ROAD 12, PROJ 8;TANDANG SORA;RR;2,600.00;;
ROAD 20, PROJ 8;TANDANG SORA;RR;2,600.00;;
SEMINARY ROAD;TANDANG SORA;RR;2,600.00;;
SEMINARY ROAD;TANDANG SORA;I;3,500.00;;
SHORT HORN;TANDANG SORA;CR;5,000.00;;
