RDO:;RDO NO. 28 - NOVALICHES;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;NOVALICHES;;;;
BARANGAY:;BAGBAG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
ARTY SUBD;SAN BARTOLOME;RR;5,000.00;;
BERNARDO SUBD;SAN BARTOLOME;RR;5,000.00;;
CONCORDIA;SAN BARTOLOME;RR;4,750.00;;
GARCIA COMPD;SAN BARTOLOME;RR;4,750.00;;
GOODWILL HOMES 2;SAN BARTOLOME;RR;4,900.00;;
KASIYAHAN VILLAGE;SAN BARTOLOME;RR;5,625.00;;
KINGSPOINT SUBD;SAN BARTOLOME;RR;5,200.00;;
ORO COMPOUND;SAN BARTOLOME;RR;4,500.00;;
PLATA SUBD;SAN BARTOLOME;RR;4,750.00;;
QUEENS PT SUBD;SAN BARTOLOME;RR;4,650.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;RR;15,000.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;I;18,000.00;;
QUIRINO HIGHWAY;SAN BARTOLOME;CR;18,000.00;;
REMARVILLE;SAN BARTOLOME;RR;5,000.00;;
RICHLAND SUBD;SAN BARTOLOME;RR;5,350.00;;
SAN PEDRO IX;SAN BARTOLOME;RR;4,200.00;;
SEMINARY ROAD;SAN BARTOLOME;RR;5,000.00;;
ST. MICHAEL TOWNHOMES;SAN BARTOLOME;RR;5,000.00;;
SUMMERVILLE SUBD;SAN BARTOLOME;RR;5,000.00;;
URBANO SUBD;SAN BARTOLOME;RR;5,000.00;;
ALL OTHER SUBD/STREETS;SAN BARTOLOME;RR;4,200.00;;
ALL OTHER SUBD/STREETS;SAN BARTOLOME;CR;5,700.00;;
GOODWILL TOWNHOMES 1;SAN BARTOLOME;RC;16,250.00;;
TOWNHOUSE   (CCT);SAN BARTOLOME;RC;22,000.00;;
CONDOMINIUM;SAN BARTOLOME;RC;27,000.00;;
CONDOMINIUM;SAN BARTOLOME;CC;35,000.00;;
BARANGAY:;COMMONWEALTH;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
COMMONWEALTH HGTS.;CAPITOL;RR;4,000.00;;
CONGRESS PARK;CAPITOL;RR;4,000.00;;
COUNTRY SIDE VILL;CAPITOL;RR;4,000.00;;
DONA CARMEN;CAPITOL;RR;4,750.00;;
DON JOSE SUBD;CAPITOL;RR;4,750.00;;
DONA JUANA SUBD;CAPITOL;RR;4,000.00;;
