RDO:;RDO NO. 30 - BINONDO;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANILA;;;;
BARANGAY:;BARANGAY 287 ZONE 27;;;;
DASMARINAS;M DEL BDO-J LUNA;CR;56,000.00;;
ESTRAUDE;M DEL BDO-J LUNA;CR;17,000.00;;
INGRESO;M DEL BDO-J LUNA;CR;25,000.00;;
JUAN LUNA;M BDO-DEL NACIONAL;CR;48,000.00;;
M DEL BANCO NACIONAL;J LUNA-M DEL BDO;CR;21,000.00;;
MUELLE DE BINONDO;M NATIONAL-J LUNA;CR;42,000.00;;
NIMFA;M DEL BDO-J LUNA;CR;25,000.00;;
PYREIRA;M DEL BDO-J LUNA;CR;17,000.00;;
RENTAS;M DEL BDO-J LUNA;CR;25,000.00;;
SAN FERNANDO;M DEL BDO-J LUNA;CR;29,000.00;;
SAN GABRIEL;M DEL BDO-J LUNA;CR;25,000.00;;
ALL OTHER STREETS;;CR;20,000.00;;
BARANGAY:;BARANGAY 288 ZONE 27;;;;
CONDESA;DELA REINA-J LUNA;CR;45,000.00;;
INSULAR;VERONICA-ORIENTE;CR;16,000.00;;
JUAN LUNA;CONDESA-DELA REINA;CR;54,000.00;;
MEISIC;DELA REINA-J LUNA;CR;20,000.00;;
NUEVA;DELA REINA-CONDESA;CR;52,000.00;;
ORIENTE;NUEVA-JUAN LUNA;CR;45,000.00;;
PLAZA RUIZ DELA BARCA;ALL AROUND;CR;54,000.00;;
REINA REGENTE;DELA REINA-J LUNA;CR;52,000.00;;
T PINPIN;DELA REINA-CONDESA;CR;52,000.00;;
VERONICA;DELA REINA-R REGENTE;CR;44,000.00;;
ALL OTHER STREETS;;CR;20,000.00;;
BARANGAY:;BARANGAY 289 ZONE  27;;;;
CARVAJAL;Q PAREDES-DELA REINA;CR;54,000.00;;
CONDESA;ROSARIO-DELA REINA;CR;45,000.00;;
DASMARINAS;Q PAREDES-J LUNA;CR;56,000.00;;
GANDARA;DELA REINA-Q PAREDES;CR;57,000.00;;
HORMIGA;Q PAREDES-J LUNA;CR;25,000.00;;
JUAN LUNA;DASMARINAS-BARCA;CR;54,000.00;;
NUEVA;GANDARA-CONDESA;CR;57,000.00;;
ONGPIN;Q PAREDES-DELA REINA;CR;80,000.00;;
P RUIZ DELA BARCA;J LUNA-ROSARIO;CR;47,000.00;;
Q PAREDES ROSARIO;DASMARINAS-P RUIZ;CR;63,000.00;;
QUINIONES;GANDARA-ONGPIN;CR;49,000.00;;
T PINPIN;GANDARA-CONDESA;CR;57,000.00;;
ALL OTHER STREETS;;CR;25,000.00;;
BARANGAY:;BARANGAY 290 ZONE 27;;;;
CLAVERIA;GANDARA-POBLETE;CR;54,000.00;;
DASMARINAS;DELA REINA-Q PAREDES;CR;56,000.00;;
DAVID;T PINPIN-DASMARINAS;CR;58,000.00;;
ESTRELLA;GANDARA-T PINPIN;CR;50,000.00;;
GANDARA;Q PAREDES-DELA REINA;CR;58,000.00;;
MARQUINA;POBLETE-DASMARINAS;CR;50,000.00;;
NUEVA;DASMARINAS-GANDARA;CR;58,000.00;;
POBLETE;CLAVERIA-T PINPIN;CR;50,000.00;;
Q PAREDES;DASMARINAS-GANDARA;CR;63,000.00;;
T PINPIN;GANDARA-DASMARINAS;CR;58,000.00;;
