RDO:;RDO NO. 38 - NORTH QUEZON CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;QUEZON CITY;;;;
BARANGAY:;ALICIA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;3RD REV. ZV/SQ.M.;;
ANTIQUE;BAGO BANTAY;RR;4,000.00;;
ANTIQUE;BAGO BANTAY;APD;0.00;APD NO. 31;
BALAYAN;BAGO BANTAY;RR;3,000.00;;
BUKIDNON;BAGO BANTAY;RR;3,000.00;;
CAMARINES;BAGO BANTAY;RR;3,000.00;;
COTABATO;BAGO BANTAY;RR;3,000.00;;
COTABATO;BAGO BANTAY;APD;0.00;APD NO. 55;
DAVAO;BAGO BANTAY;RR;3,000.00;;
DAVAO;BAGO BANTAY;APD;;APD NO. 55;
FORT SANTIAGO;BAGO BANTAY;RR;3,000.00;;
ILOCOS NORTE;BAGO BANTAY;RR;3,000.00;;
ILOCOS NORTE;BAGO BANTAY;APD;0.00;APD NO. 55;
ILOCOS SUR;BAGO BANTAY;RR;3,000.00;;
PANGASINAN;BAGO BANTAY;RR;3,000.00;;
SAMAR;BAGO BANTAY;RR;3,000.00;;
TAAL;BAGO BANTAY;RR;3,000.00;;
ALL OTHER STREETS;BAGO BANTAY;RR;3,000.00;;
ALL OTHER STREETS;BAGO BANTAY;CR;4,500.00;;
TOWNHOUSE  (CCT);BAGO BANTAY;RC;15,000.00;;
CONDOMINIUM;BAGO BANTAY;RC;20,000.00;;
CONDOMINIUM;BAGO BANTAY;CC;25,000.00;;
BARANGAY:;APOLONIO SAMSON;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;3RD REV. ZV/SQ.M.;;
ANICETA;BALINTAWAK;RR;4,000.00;;
BELEVUE PLACE;BALINTAWAK;RR;5,000.00;;
CYPRESS VILL;BALINTAWAK;RR;4,000.00;;
EDSA;BALINTAWAK;CR;30,000.00;;
EULOGIO;BALINTAWAK;I;7,000.00;;
GRACE VILL;BALINTAWAK;RR;5,000.00;;
GRACE VILL;BALINTAWAK;I;7,000.00;;
HOWMART ROAD;BALINTAWAK;I;7,000.00;;
KAINGIN;BALINTAWAK;RR;5,000.00;;
KAINGIN;BALINTAWAK;I;7,000.00;;
KAINGIN;BALINTAWAK;CR;10,000.00;;
OLIVEROS DRIVE;BALINTAWAK;I;7,000.00;;
PARKWAY VILL;BALINTAWAK;RR;5,000.00;;
SAMSON ROAD;BALINTAWAK;RR;7,000.00;;
SAMSON ROAD;BALINTAWAK;CR;10,000.00;;
ALL OTHER STREETS;BALINTAWAK;RR;5,000.00;;
ALL OTHER STREETS;BALINTAWAK;CR;6,500.00;;
