RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;QUEZON CITY;;;;
BARANGAY:;AMIHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;3RD REV. ZV/SQ.M.;;
BANABA;QUIRINO 3;RR;6,000.00;;
BANUYO;QUIRINO 3;RR;6,000.00;;
BATINO;QUIRINO 3;RR;6,000.00;;
DUNGON;QUIRINO 3;RR;6,000.00;;
MOLAVE;QUIRINO 3;RR;7,000.00;;
MOLAVE;QUIRINO 3;CR;8,000.00;;
NARRA;QUIRINO 3;RR;6,000.00;;
PALOSAPIS;QUIRINO 3;RR;6,000.00;;
SINEGUELAS;QUIRINO 3;RR;6,000.00;;
YAKAL;QUIRINO 3;RR;6,000.00;;
ALL OTHER STREETS;QUIRINO 3;RR;6,000.00;;
ALL OTHER STREETS;QUIRINO 3;CR;7,200.00;;
TOWNHOUSE (CCT);QUIRINO 3;RC;20,000.00;;
CONDOMINIUM;QUIRINO 3;RC;25,000.00;;
CONDOMINIUM;QUIRINO 3;CC;30,000.00;;
BARANGAY:;BAGONG LIPUNAN NG CRAME;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;3RD REV. ZV/SQ.M.;;
B.SERRANO (SANTOLAN);EDSA - KATIPUNAN;RR;10,000.00;;
B.SERRANO (SANTOLAN);EDSA - KATIPUNAN;CR;15,000.00;;
;;APD;0.00;APD - NO. 17       N - YUJUICO LINER & BENITEZ PROPERTIES       E -  1ST AVENUE W - SUNRISE DRIVE S -  B. SERRANO (SANTOLAN ROAD);
C.BENITEZ (MAKILING);CUBAO;RR;7,000.00;;
EDSA;;RR;15,000.00;;
EDSA;;CR;30,000.00;;
1ST - 4TH AVENUE;;RR;7,000.00;;
J. P. RIZAL;;RR;7,000.00;;
J. P. RIZAL;;CR;8,000.00;;
MARIPOSA;;RR;8,000.00;;
NORTH ROAD;;RR;8,000.00;;
P. BERNARDO;;RR;7,000.00;;
P. TUAZON;;RR;7,000.00;;
P. TUAZON;;CR;10,000.00;;
PLANAS SITE;;RR;5,000.00;;
SOUTH ROAD;;RR;8,000.00;;
WEST ROAD;;RR;8,000.00;;
ALL OTHER STREETS;;RR;5,000.00;;
ALL OTHER STREETS;;CR;6,000.00;;
TOWNHOUSE (CCT);;RC;20,000.00;;
CONDOMINIUM;;RC;25,000.00;;
CONDOMINIUM;;CC;30,000.00;;
BARANGAY:;BAGUMBUHAY;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;3RD REV. ZV/SQ.M.;;
AURORA BLVD.;QUIRINO;CR;25,000.00;;
AURORA BLVD.;QUIRINO;X;20,000.00;;
AURORA BLVD.;QUIRINO;APD;0.00;APD - NO. 35 DIMACULANGAN MARKET, PROJECT 4       N  -  M. SALAMAT       E  -  A. LEGASPI       S  -  P. TUASON       W -  LAKANDULA;
A. LUNA;QUIRINO;RR;7,000.00;;
BUGALLON;QUIRINO;RR;7,000.00;;
CAMERINO;QUIRINO;RR;7,000.00;;
CAMERINO;QUIRINO;APD;0.00;APD - NO. 35 DIMACULANGAN MARKET, PROJECT 4       N  -  M. SALAMAT       E  -  A. LEGASPI       S  -  P. TUASON       W -  LAKANDULA;
D. SUMAKWEL;QUIRINO;RR;7,000.00;;
EVANGELISTA;QUIRINO;RR;7,000.00;;
F. CASTILLO;QUIRINO;RR;7,000.00;;
FRANCISCO;QUIRINO;RR;7,000.00;;
KALANTIAO;QUIRINO;RR;7,000.00;;
LAKANDULA;QUIRINO;RR;7,000.00;;
M. SALAMAT;QUIRINO;RR;7,000.00;;
MALVAR;QUIRINO;RR;7,000.00;;
NOVALES;QUIRINO;RR;7,000.00;;
