RDO:;RDO NO. 40 - CUBAO QUEZON CITY;;;(FORMERLY RDO No. 30A-SOUTH Q.C.);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;QUEZON CITY;;;;
BARANGAY:;AMIHAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
BANABA;QUIRINO 3;RR;3,000.00;;
BANUYO;QUIRINO 3;RR;3,000.00;;
BATINO;QUIRINO 3;RR;3,000.00;;
DUNGON;QUIRINO 3;RR;3,000.00;;
MOLAVE;QUIRINO 3;RR;3,000.00;;
MOLAVE;QUIRINO 3;CR;6,000.00;;
NARRA;QUIRINO 3;RR;3,000.00;;
PALOSAPIS;QUIRINO 3;RR;3,000.00;;
SINEGUELAS;QUIRINO 3;RR;3,000.00;;
YAKAL;QUIRINO 3;RR;3,000.00;;
ALL OTHER STREETS;QUIRINO 3;RR;3,000.00;;
TOWNHOUSE (CCT);QUIRINO 3;RC;10,000.00;;
CONDOMINIUM;QUIRINO 3;RC;15,000.00;;
CONDOMINIUM;QUIRINO 3;CC;20,000.00;;
BARANGAY:;AURORA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
A. MABINI;GALAS;RR;2,500.00;;
C. DE JULIO;GALAS;RR;2,500.00;;
CORDILLERA;GALAS;RR;2,500.00;;
DAGUMA;GALAS;RR;3,000.00;;
E. RODRIGUEZ;GALAS;RR;8,000.00;;
E. RODRIGUEZ;GALAS;CR;9,000.00;;
L. CASTILLO;GALAS;RR;2,500.00;;
L. JAENA;GALAS;RR;2,500.00;;
S. LAKTAW;GALAS;RR;2,500.00;;
LIBERATION;GALAS;RR;2,500.00;;
LUNDE;GALAS;RR;2,500.00;;
LUZON AVENUE;GALAS;RR;2,500.00;;
N. PONCE;GALAS;RR;2,500.00;;
ALL OTHER STREETS;GALAS;RR;2,500.00;;
TOWNHOUSE (CCT);GALAS;RC;10,000.00;;
CONDOMINIUM;GALAS;RC;15,000.00;;
CONDOMINIUM;GALAS;CC;20,000.00;;
CONDOMINIUM;GALAS;;;;
BARANGAY:;BAGONG LIPUNAN NG CRAME;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
B.SERRANO (SANTOLAN);EDSA - KATIPUNAN;RR;4,000.00;;
B.SERRANO (SANTOLAN);EDSA - KATIPUNAN;CR;5,000.00;;
;;APD;0.00;APD -  NO. 17   N  -  YUJUICO LINER & BENITEZ PROPERTIES    E  -   1ST AVENUE   W  -  SUNRISE DRIVE   S  -   B. SERRANO (SANTOLAN ROAD);
C.BENITEZ  MAKILING;CUBAO;RR;3,500.00;;
1ST -  4TH AVENUE;;RR;2,500.00;;
J. P. RIZAL;;RR;4,000.00;;
MARIPOSA;;RR;3,000.00;;
NORTH ROAD;;RR;3,000.00;;
P. BERNARDO;;RR;2,500.00;;
P. TUAZON;;RR;4,000.00;;
P. TUAZON;;CR;6,000.00;;
PLANAS SITE;;RR;3,000.00;;
SOUTH ROAD;;RR;2,500.00;;
WEST ROAD;;RR;2,500.00;;
ALL OTHER STREETS;;RR;2,500.00;;
TOWNHOUSE (CCT);;RC;10,000.00;;
CONDOMINIUM;;RC;15,000.00;;
CONDOMINIUM;;CC;20,000.00;;
CONDOMINIUM;;;;;
BARANGAY:;BAGUMBUHAY;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV. ZV/SQ.M.;;
AURORA BLVD.;QUIRINO;CR;12,000.00;;
AURORA BLVD.;QUIRINO;X;10,000.00;;
