RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANDALUYONG CITY;;;;
BARANGAY:;ADDITION HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ANTONIO;SHAW BLVD;RR;3,000.00;;
BALAGTAS;SHAW BLVD;RR;3,000.00;;
CALDERON;SHAW BLVD;RR;3,000.00;;
CALDERON;SHAW BLVD;RC;8,000.00;;
EAST;SHAW BLVD;RR;3,000.00;;
FERNANDEZ;SHAW BLVD;RR;3,000.00;;
GOMEZVILLE;SHAW BLVD;RR;3,000.00;;
GUERRERO;SHAW BLVD;RR;3,000.00;;
HARVARD;SHAW BLVD;RR;3,000.00;;
IDEAL;SHAW BLVD;RR;3,000.00;;
LAUREL;SHAW BLVD;RR;3,000.00;;
LEE;SHAW BLVD;RR;3,000.00;;
LEE;SHAW BLVD;RC;7,000.00;;
LUNA MENCIAS;SHAW BLVD;RR;3,000.00;;
MABINI;SHAW BLVD;RR;3,000.00;;
MAY;SHAW BLVD;RR;3,000.00;;
MCCULLOUGH;SHAW BLVD;RR;3,000.00;;
PILAR;SHAW BLVD;RR;3,000.00;;
REYES;SHAW BLVD;RR;3,000.00;;
RODRIGUEZ;SHAW BLVD;RR;3,000.00;;
SCHUYLER;SHAW BLVD;RR;3,000.00;;
SHAW BLVD;WACK WACK GOMEZVILLE;CR;7,500.00;;
SHAW BLVD;WACK WACK GOMEZVILLE;RC;9,000.00;;
TORRES;SHAW BLVD;RR;3,000.00;;
ALL OTHER STREETS;SHAW BLVD;RR;3,000.00;;
ALL OTHER STREETS;SHAW BLVD;CR;6,500.00;;
BARANGAY:;BAGONG SILANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
CLEMENTE;SHAW BLVD;RR;3,000.00;;
HAIG;SHAW BLVD;RR;3,000.00;;
J. LUNA;SHAW BLVD;RR;3,000.00;;
JACINTO;SHAW BLVD;RR;3,000.00;;
LAWSON;SHAW BLVD;RR;3,000.00;;
MAGALONA;SHAW BLVD;RR;3,000.00;;
PINAGTIPUNAN;SHAW BLVD;RR;1,750.00;;
QUIETA;SHAW BLVD;RR;1,750.00;;
RAWLAND;SHAW BLVD;RR;2,000.00;;
SHAW BLVD;YULO MAGALONA;CR;5,000.00;;
SHAW BLVD;PASIG MAND ACACIA LN;RR;5,500.00;;
SHAW BLVD;ACACIA LANE M YULO;CR;6,000.00;;
SHAW BLVD;ACACIA LANE M YULO;RR;5,500.00;;
SHAW BLVD;M YULO MAND MLA BDRY;CR;6,000.00;;
VARGAS;SHAW BLVD;RR;3,000.00;;
YULO;SHAW BLVD;RR;2,000.00;;
ALL OTHER STREETS;SHAW BLVD;RR;1,500.00;;
ALL OTHER STREETS;SHAW BLVD;CR;4,000.00;;
BARANGAY:;BARANGKA DRIVE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
AGUDO;CORONADO SUBD;RR;1,500.00;;
BARANGKA DRIVE;;RR;1,800.00;;
BUSILAK;;RR;1,700.00;;
GINHAWA;TANGLAW-MA CLARA;RR;1,600.00;;
GINHAWA;MA CLARA-KAUNLARAN;RR;1,600.00;;
HALCON;;RR;1,900.00;;
HILAGA;;RR;1,600.00;;
KAPALARAN;;RR;1,450.00;;
MARIA CLARA;;RR;1,600.00;;
SILANGAN;;RR;1,450.00;;
TANGLAW;;RR;2,000.00;;
TIMOG;;RR;1,600.00;;
ALL OTHER STREETS;;RR;1,350.00;;
