RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MANDALUYONG CITY;;;;
BARANGAY:;ADDITION HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ANTONIO;SHAW BLVD;RR;1,100.00;;
BALAGTAS;SHAW BLVD;RR;1,200.00;;
CALDERON;SHAW BLVD;RR;1,200.00;;
CALDERON;SHAW BLVD;RC;6,000.00;;
EAST;SHAW BLVD;RR;1,200.00;;
FERNANDEZ;SHAW BLVD;RR;1,100.00;;
GOMEZVILLE;SHAW BLVD;RR;1,200.00;;
GUERRERO;SHAW BLVD;RR;1,100.00;;
HARVARD;SHAW BLVD;RR;1,500.00;;
IDEAL;SHAW BLVD;RR;1,200.00;;
LAUREL;SHAW BLVD;RR;1,500.00;;
LEE;SHAW BLVD;RR;1,500.00;;
LEE;SHAW BLVD;RC;3,100.00;;
LUNA MENCIAS;SHAW BLVD;RR;1,300.00;;
MABINI;SHAW BLVD;RR;1,500.00;;
MAY;SHAW BLVD;RR;1,200.00;;
MCCULLOUGH;SHAW BLVD;RR;1,200.00;;
PILAR;SHAW BLVD;RR;1,200.00;;
REYES;SHAW BLVD;RR;1,200.00;;
RODRIGUEZ;SHAW BLVD;RR;1,200.00;;
SCHUYLER;SHAW BLVD;RR;1,200.00;;
SHAW BLVD;WACK-WACK-GOMEZVILLE;CR;2,000.00;;
TORRES;SHAW BLVD;RR;1,200.00;;
ALL OTHER STREETS;SHAW BLVD;RR;1,100.00;;
BARANGAY:;BAGONG SILANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CLEMENTE;SHAW BLVD;RR;1,100.00;;
HAIG;SHAW BLVD;RR;1,100.00;;
J. LUNA;SHAW BLVD;RR;1,100.00;;
JACINTO;SHAW BLVD;RR;1,100.00;;
LAWSON;SHAW BLVD;RR;1,200.00;;
MAGALONA;SHAW BLVD;RR;1,100.00;;
PINAGTIPUNAN;SHAW BLVD;RR;950.00;;
QUIETA;SHAW BLVD;RR;900.00;;
RAWLAND;SHAW BLVD;RR;1,000.00;;
SHAW BLVD;M. YULO-MAGALONA;CR;2,000.00;;
SHAW BLVD;PASIG/MAND-ACACIA LN;RR;1,500.00;;
SHAW BLVD;ACACIA LANE-M YULO;CR;1,800.00;;
SHAW BLVD;ACACIA LANE-M YULO;RR;1,400.00;;
SHAW BLVD;M. YULO-MAND/MLA BDRY;CR;2,000.00;;
VARGAS J. B.;SHAW BLVD;RR;1,100.00;;
YULO M.;SHAW BLVD;RR;1,100.00;;
ALL OTHER STREETS;SHAW BLVD;RR;900.00;;
BARANGAY:;BARANGKA DRIVE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
AGUDO;CORONADO SUBD;RR;700.00;;
BARANGKA DRIVE;;RR;900.00;;
BUSILAK;;RR;900.00;;
GINHAWA;TANGLAW-MA CLARA;RR;800.00;;
GINHAWA;MA CLARA-KAUNLARAN;RR;800.00;;
HALCON;;RR;900.00;;
HILAGA;;RR;800.00;;
KAPALARAN;;RR;700.00;;
MA CLARA;;RR;800.00;;
SILANGAN;;RR;700.00;;
TANGLAW;;RR;1,200.00;;
TIMOG;;RR;800.00;;
ALL OTHER STREETS;;RR;700.00;;
BARANGAY:;BARANGKA IBABA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
AGUDO;;RR;700.00;;
CORONADO SUBD;;RR;1,200.00;;
COUNTRYSIDE;;RR;1,000.00;;
E PANTALEON;INT'L STEEL MALTING;RR;900.00;;
HINAHON;;RR;800.00;;
P  OLIVEROS;;RR;800.00;;
PVT P CRUZ;;RR;800.00;;
SACREPANTE;BONI AVE;RR;900.00;;
TIMOG;;RR;900.00;;
ALL OTHER STREETS;;RR;800.00;;
BARANGAY:;BARANGKA ILAYA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
APO;EDSA;RR;1,500.00;;
BATAAN;BONI AVE;RR;1,200.00;;
EDSA;GUADALUPE - B-RELIANCE;CR;2,500.00;;
LIONS;BONI AVE;RR;1,200.00;;
MADISON;EDSA;RR;1,500.00;;
MAYFLOWER;EDSA;RR;1,500.00;;
MAYON;BONI AVE;RR;1,200.00;;
PINATUBO;EDSA;RR;1,500.00;;
PINES;EDSA;I;1,650.00;;
PIONEER;;CC;6,700.00;;
PIONEER;EDSA;I;1,900.00;;
RELIANCE;EDSA;I;1,650.00;;
SAN ROQUE;BONI AVE;RR;1,200.00;;
