RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;SAN JUAN;;;;
BARANGAY:;ADDITION HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
A MABINI;ADDITION HILLS SCH;RR;6,500.00;;
ARAULLO;P GUEVARRA-SHAW BLVD;RR;5,900.00;;
ARELLANO;P GUEVARRA-SHAW BLVD;RR;5,800.00;;
ARGONNE;P GUEVARRA-SHAW BLVD;RR;5,800.00;;
BURGOS;P GUEVARRA-SHAW BLVD;RR;5,500.00;;
C M RECTO;A MABINI;RR;5,900.00;;
CAPT ROJA;A MABINI;RR;5,500.00;;
E RODRIGUEZ;A MABINI-C M RECTO;RR;5,500.00;;
GEORGE;P GUEVARRA-SHAW BLVD;RR;5,900.00;;
GOMEZ;P GUEVARRA-SHAW BLVD;RR;5,500.00;;
HOOVER;P GUEVARRA-SHAW BLVD;RR;5,500.00;;
M H DEL PILAR;GUEVARRA-ADD'N HILLS SCH;RR;5,500.00;;
MAUDE;P GUEVARRA-SHAW BLVD;RR;5,900.00;;
MENCIAS;P GUEVARRA-SHAW BLVD;RR;5,900.00;;
ORTEGA;GUEVARRA-ADD'N HILLS SCH;RR;5,900.00;;
P GUEVARRA;;RR;6,500.00;;
P GUEVARRA;;CR;7,800.00;;
RITA;GUEVARRA-ADD'N HILLS SCH;RR;5,500.00;;
WILSON;GUEVARRA-A MABINI;RR;9,000.00;;
WILSON;GUEVARRA-A MABINI;CR;10,900.00;;
ZAMORA;P GUEVARRA-SHAW BLVD;RR;5,500.00;;
ALL OTHER STREETS;;RR;5,500.00;;
ALL OTHER STREETS;;CR;7,800.00;;
BARANGAY:;BALONG-BATO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
A JUAN;SAN JUAN TOWNHALL;RR;4,400.00;;
A LAKE;AURORA BLVD;RR;4,400.00;;
A LUNA;SAN JUAN TOWNHALL;RR;4,400.00;;
A SANTOS;AURORA BLVD;RR;4,000.00;;
AURORA BLVD;;RR;6,400.00;;
AURORA BLVD;;CR;8,300.00;;
C LEYVA;AURORA BLVD;RR;4,000.00;;
DE LEON;N DOMINGO;RR;4,300.00;;
F ROMAN;;RR;4,300.00;;
G REYES;AURORA BLVD;RR;4,300.00;;
GUZMAN;AURORA BLVD;RR;4,000.00;;
H LOZADA;AURORA BLVD;RR;4,300.00;;
J RUIZ;AURORA BLVD;RR;4,300.00;;
LIWAYWAY;AURORA BLVD;RR;4,000.00;;
LOURDES;N DOMINGO;RR;4,000.00;;
MARINA;N DOMINGO;RR;4,000.00;;
MILAGROS;N DOMINGO;RR;4,000.00;;
N DOMINGO;;RR;6,600.00;;
N DOMINGO;;CR;8,300.00;;
R LAGMAY;WESLEYAN CHURCH;RR;4,000.00;;
ALL OTHER STREETS;;RR;4,000.00;;
ALL OTHER STREETS;;CR;8,300.00;;
BARANGAY:;BATIS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
BLUMENTRITT;;RR;6,600.00;;
BLUMENTRITT;;CR;7,900.00;;
F MANALO;SAN JUAN RIVER;RR;3,300.00;;
F MANALO;SAN JUAN RIVER;CR;5,000.00;;
F MANALO;SAN JUAN RIVER;I;4,500.00;;
E FERNANDEZ;BLUMENTRITT-SALVADOR;RR;3,300.00;;
E FERNANDEZ;SALVADOR-F MANALO;RR;3,600.00;;
GEN BAUTISTA;BLUMENTRITT-RITA;RR;3,600.00;;
GEN BAUTISTA;GEN MALVAR-F MANALO;RR;3,400.00;;
GEN MALVAR;BAUTISTA-VALENZUELA;RR;3,600.00;;
JOSE WRIGHT;F BLUMENTRITT-FERNANDEZ;RR;3,600.00;;
N SALVADOR;FERNANDEZ-MANALO;RR;3,600.00;;
N SALVADOR;BATIS-KABAYANAN BGY;RR;3,300.00;;
R FERNANDEZ;F BLUMENTRITT-RITA;RR;4,300.00;;
R PASCUAL;RITA-MANALO;RR;3,600.00;;
R PASCUAL;JOSE WRIGHT;RR;3,300.00;;
RAFAEL;R FERNANDEZ;RR;3,300.00;;
RITA;BLUMENTRITT-RITA;RR;3,700.00;;
TUANO;MANALO-FERNANDEZ;RR;3,500.00;;
SAN CARLOS;MANALO-FERNANDEZ;RR;3,500.00;;
SAN JOSE;MANALO-FERNANDEZ;RR;3,300.00;;
SAN LUIS;MANALO-FERNANDEZ;RR;3,300.00;;
SAN MIGUEL;MANALO-FERNANDEZ;RR;3,300.00;;
SAN PABLO;BLUMENTRITT-RITA;RR;3,300.00;;
VALENZUELA;MALVAR-MANALO;RR;4,000.00;;
VALENZUELA;MANALO-FERNANDEZ;RR;3,400.00;;
VILLA;MANALO-SAN JUAN RIVER;RR;3,300.00;;
ALL OTHER STREETS;;RR;3,300.00;;
ALL OTHER STREETS;;CR;5,000.00;;
ALL OTHER STREETS;;I;4,500.00;;
BARANGAY:;CORAZON DE JESUS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
ALFONSO;N. DOMINGO-LT ARTIAGA;RR;4,100.00;;
CORAZON DE JESUS;PINAGLABANAN SHRINE;RR;4,100.00;;
DR P A NARCISO;PINAGLABANAN SHRINE;RR;3,900.00;;
IPIL;N DOMINGO;RR;4,100.00;;
JOSEFA DRIVE;LT ARTIAGA-N DOMINGO;RR;4,200.00;;
LACTAO;N DOMINGO;RR;4,100.00;;
LACTAO;N DOMINGO;I;3,900.00;;
LT ARTIAGA;SANTOLAN ROAD;RR;4,100.00;;
MULAWIN;N DOMINGO;RR;3,900.00;;
N DOMINGO;;RR;6,400.00;;
N DOMINGO;;CR;7,900.00;;
PANCHO VILLA;PINAGLABANAN;RR;4,100.00;;
PARAISO;PINAGLABANAN;RR;4,100.00;;
PINAGLABANAN;SANTOLAN ROAD;CR;5,400.00;;
PINAGLABANAN;SANTOLAN ROAD;CR;6,900.00;;
SANTOLAN ROAD;PINAGLABANAN SHRINE;RR;3,900.00;;
SANTOLAN ROAD;PINAGLABANAN SHRINE;CR;6,800.00;;
SOTTO;N DOMINGO-C DE JESUS;RR;3,900.00;;
YAKAL;N DOMINGO;RR;4,100.00;;
ALL OTHER STREETS;;RR;3,900.00;;
ALL OTHER STREETS;;CR;6,800.00;;
ALL OTHER STREETS;;APD;3,000.00;;
SUNDAY TOWNHOMES;N. DOMINGO STREET;CC;15,000.00;;
ROYAL VIEW MANSION;LT ARTIAGA STREET;RC;20,000.00;;
BARANGAY:;ERMITANO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
ALICIA;;RR;3,800.00;;
AURORA BLVD;;RR;6,200.00;;
AURORA BLVD;;CR;7,400.00;;
C CRUZ;N DOMINGO-ERMITANO C;RR;4,000.00;;
C RUIZ;N DOMINGO-ERMITANO C;RR;3,800.00;;
CRISTOBAL;N DOMINGO-ERMITANO C;RR;4,000.00;;
DE LEON;;RR;3,300.00;;
F SANTOS;N DOMINGO-ERMITANO C;RR;4,000.00;;
GREY;;RR;3,800.00;;
MARINA;;RR;3,800.00;;
MILAGROS;N DOMINGO-ERMITANO C;RR;4,200.00;;
N DOMINGO;;RR;6,800.00;;
N DOMINGO;;CR;7,900.00;;
P GOMEZ;;RR;3,800.00;;
SORIANO;;RR;3,800.00;;
ALL OTHER STREETS;;RR;3,800.00;;
ALL OTHER STREETS;;CR;7,400.00;;
BARANGAY:;GREENHILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
ADAMS;WILSON ROOSEVELT;RR;13,600.00;;
ALBANY;GREENHILLS SHOPPING CTR.;RR;13,600.00;;
ANNAPOLIS;;RR;12,200.00;;
ANNAPOLIS;;CR;22,500.00;;
ARTHUR;EISENHOWER;RR;12,200.00;;
BACHANAN;MONTESORRI CTR;RR;12,150.00;;
CLEVELAND;WILSON-JAKSON;RR;13,600.00;;
CONNECTICUT;;RR;13,600.00;;
CONNECTICUT;;CR;15,800.00;;
COOLIDGE;;RR;13,600.00;;
DON MIGUEL;;RR;12,000.00;;
EDSA;;CR;14,300.00;;
EISENHOWER;;RR;11,400.00;;
EISENHOWER;;CR;12,800.00;;
FILMORE;;RR;12,200.00;;
FLORIDA;;RR;12,200.00;;
GARFIELD;;RR;12,200.00;;
GRANT;;RR;12,200.00;;
HARDING;;RR;12,200.00;;
HARRISON;MUNICPAL CEM;RR;10,900.00;;
HARRISON;MUNICPAL CEM;CR;12,000.00;;
HAYES;BUCHANAN;RR;12,200.00;;
ILLINOIS;;RR;13,600.00;;
JACKSON;CARDINAL SANTOS HOSPITAL;RR;13,600.00;;
JEFFERSON;WILSON STREET;RR;13,600.00;;
JOHNSON;MUNICPAL CEM;RR;10,900.00;;
JOHNSON;MUNICPAL CEM;CR;12,000.00;;
KENNEDY;ORTIGAS AVE;RR;13,600.00;;
LA SALLE;;RR;13,600.00;;
LINCOLN;WILSON;RR;13,600.00;;
MADISON;;RR;13,600.00;;
MCKINLEY;MONTESSORI CTR;RR;13,600.00;;
MCKINLEY;MONTESSORI CTR;CR;15,800.00;;
MISSOURI;;RR;13,600.00;;
ORTIGAS AVENUE;;RR;15,000.00;;
ORTIGAS AVENUE;;CR;18,000.00;;
POLK;EISENHOWER ANNAPOLIS;RR;13,600.00;;
POTSDAM;;RR;13,600.00;;
PURDUE;;CR;13,600.00;;
ROOSEVELT;;RR;12,200.00;;
TAFT;WILSON JEFFERSON;RR;12,200.00;;
TYLER;MUNICIPAL CEM;RR;10,900.00;;
TYLER;MUNICIPAL CEM;CR;12,000.00;;
VAN BUREN;SATOLAN ROAD;RR;12,200.00;;
WASHINGTON;XAVIER-SCH-MG CHRCH;RR;12,200.00;;
WILSON;DON MIGUEL-ORTIGAS;RR;11,300.00;;
WILSON;DON MIGUEL-ORTIGAS;CR;18,000.00;;
XAVIER;;RR;11,300.00;;
XAVIER;;CR;18,000.00;;
ALL OTHER STREETS;;RR;10,900.00;;
ALL OTHER STREETS;;CR;12,000.00;;
CONDOMINIUMS AND TOWNHOUSES;;;;;
AVALON CONDO;XAVIER-ORTIGAS;RC;15,000.00;;
CONTINENTAL COURT;ANNAPOLIS;RC;22,000.00;;
CONTINENTAL PLAZA;ANNAPOLIS;RC;22,000.00;;
CORTIJOS GREENHILLS CONDO;EISENHOWER;RC;22,000.00;;
EISENHOWER CONDO;EISENHOWER;RC;22,000.00;;
GRACE BLDG;XAVIER-ORTIGAS;RC;16,500.00;;
GREENHILLS CITE CTR;;RC;16,500.00;;
GOLDHILL CONDOMINIUM;ANNAPOLIS;RC;22,000.00;;
GOLDLAND PLAZA;EISENHOWER;RC;22,000.00;;
GOLDLAND TOWER;EISENHOWER;RC;22,000.00;;
GRD FLOR CONDO;ANNAPOLIS;RC;22,000.00;;
MERCEDEZ I BLDG;ANNAPOLIS;RC;22,000.00;;
MIDLAND PARK;XAVIER-ORTIGAS;RC;15,000.00;;
MONTEVERDE MANSION;XAVIER-ORTIGAS;CC;15,000.00;;
ONE BEVERLY PLACE CONDO;ANNAPOLIS;RC;22,000.00;;
PLATINUM 2000 CONDO;ANNAPOLIS;RC;22,000.00;;
PROVIDENCE  COND;ANNAPOLIS;RC;22,000.00;;
RICHBELT TERRACES;ANNAPOLIS;RC;22,000.00;;
STATE FINANCING;ANNAPOLIS;RC;18,000.00;;
SUNNYVALE COND;XAVIER-ORTIGAS;RC;16,500.00;;
SUNRISE COND;XAVIER-ORTIGAS;RC;15,000.00;;
VASQUEZ MADRIGAL;ANNAPOLIS;RC;22,000.00;;
VICTORIA COND;ANNAPOLIS;RC;22,000.00;;
VICTORIA COND;ANNAPOLIS;;;;
BARANGAY:;HALO-HALO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
IBUNA;P GUEVARRA;RR;5,000.00;;
MAHINHIN;;RR;4,100.00;;
MARNE;;RR;3,900.00;;
P GUEVARRA;;RR;5,800.00;;
P GUEVARRA;;CR;6,700.00;;
SANTOLAN ROAD;;RR;5,300.00;;
SANTOLAN ROAD;;CR;6,400.00;;
VIOLA;;RR;4,100.00;;
ALL OTHER STREETS;;RR;3,900.00;;
ALL OTHER STREETS;;CR;6,400.00;;
CYPRESS MANSION;P GUEVARRA;CC;15,000.00;;
SILVANA TOWNHOMES;P GUEVARRA;CC;15,000.00;;
BARANGAY:;ISABELITA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
CARRIEDO;PINAGLABANAN ELEM;RR;4,100.00;;
DUNGO;PINAGLABANAN ELEM;RR;4,100.00;;
EMILIO HUBILLA;;RR;5,200.00;;
P SANTOS;PINAGLABANAN-ST JOHN;RR;4,100.00;;
PEREY;PINAGLABANAN-ST JOHN;RR;4,100.00;;
PINAGLABANAN;PINAGLABANAN SHRINE;RR;4,400.00;;
PINAGLABANAN;PINAGLABANAN SHRINE;CR;6,400.00;;
ALL OTHER STREETS;;RR;4,100.00;;
ALL OTHER STREETS;;CR;6,400.00;;
BARANGAY:;KABAYANAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
A BONIFACIO;BLUMENTRITT;RR;4,200.00;;
A DIEGO;BLUMENTRITT;RR;4,200.00;;
A RITA;;RR;4,200.00;;
BLUMENTRITT;;RR;7,500.00;;
BLUMENTRITT;;CR;8,900.00;;
F MANALO;STA LUCIA- E S;RR;4,200.00;;
G SORIANO;BLUMENTRITT;RR;4,200.00;;
I FRANCISCO;;RR;4,200.00;;
R FERNANDEZ;;RR;3,900.00;;
T CLAUDIO;AQUINAS SCH;RR;4,200.00;;
T CLAUDIO;AQUINAS SCH;X;3,900.00;;
V ANGELES;BLUMENTRITT;RR;4,200.00;;
ALL OTHER STREETS;;RR;3,900.00;;
ALL OTHER STREETS;;CR;8,900.00;;
RUBY TOWNHOMES;F MANALO STREET;CC;15,000.00;;
BARANGAY:;LITTLE BAGUIO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;2ND REV ZV.SQ/M;;
ALVIR;WHITE CROSS-J SANTOS;RR;5,000.00;;
