RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;SAN JUAN;;;;
BARANGAY:;ADDITION HILLS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A MABINI;ADDITION HILLS SCH;RR;4,350.00;;
ARAULLO;P GUEVARRA SHAW BLVD;RR;3,950.00;;
ARELLANO;P GUEVARRA SHAW BLVD;RR;3,850.00;;
ARGONNE;P GUEVARRA SHAW BLVD;RR;3,850.00;;
BURGOS;P GUEVARRA SHAW BLVD;RR;3,650.00;;
C M RECTO;A MABINI;RR;3,950.00;;
CAPT ROJA;A MABINI;RR;3,550.00;;
E RODRIGUEZ;A MABINI C M RECTO;RR;3,550.00;;
GEORGE;P GUEVARRA SHAW BLVD;RR;3,800.00;;
GOMEZ;P GUEVARRA SHAW BLVD;RR;3,800.00;;
HOOVER;P GUEVARRA SHAW BLVD;RR;3,700.00;;
M H DEL PILAR;GUEVARRA ADD'N HILLS SCH;RR;3,800.00;;
MAUDE;P GUEVARRA SHAW BLVD;RR;3,850.00;;
MENCIAS;P GUEVARRA SHAW BLVD;RR;3,850.00;;
ORTEGA;GUEVARRA ADD'N HILLS SCH;RR;3,950.00;;
P GUEVARRA;;RR;4,350.00;;
;;CR;5,200.00;;
RITA;GUEVARRA ADD'N HILLS SCH;RR;3,650.00;;
WILSON;GUEVARRA A MABINI;RR;6,000.00;;
;GUEVARRA A MABINI;CR;7,250.00;;
ZAMORA;P GUEVARRA SHAW BLVD;RR;3,500.00;;
ALL OTHER STREETS;;RR;3,500.00;;
ALL OTHER STREETS;;CR;4,750.00;;
BARANGAY:;BALONG-BATO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A JUAN;SN JUAN TOWNHALL;RR;2,950.00;;
A LAKE;A BLVD;RR;2,950.00;;
A LUNA;S JUAN TOWNHALL;RR;2,950.00;;
A SANTOS;AURORA BLVD;RR;2,700.00;;
AURORA BLVD;;RR;4,250.00;;
;;CR;5,500.00;;
C LEYVA;AURORA BLVD;RR;2,700.00;;
DE LEON;N DOMINGO;RR;2,850.00;;
F ROMAN;;RR;2,850.00;;
G REYES;AURORA BLVD;RR;2,850.00;;
GUZMAN;AURORA BLVD;RR;2,700.00;;
H LOZADA;AURORA BLVD;RR;2,850.00;;
J RUIZ;AURORA BLVD;RR;2,850.00;;
LIWAYWAY;AURORA BLVD;RR;2,650.00;;
LOURDES;N DOMINGO;RR;2,650.00;;
MARINA;N DOMINGO;RR;2,650.00;;
MILAGROS;N DOMINGO;RR;2,650.00;;
N DOMINGO;;RR;4,380.00;;
;;CR;5,500.00;;
R LAGMAY;WESLEYAN CHURCH;RR;2,650.00;;
ALL OTHER STREETS;;RR;2,650.00;;
ALL OTHER STREETS;;CR;4,450.00;;
BARANGAY:;BATIS;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
