RDO:;RDO NO. 43A- EAST PASIG;;;(formerly RDO NO. 35-PASIG-TAGUIG-PATEROS);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;PASIG CITY;;;;
BARANGAY:;BAGONG ILOG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BANNER ST;;RR;750.00;;
BUENAVENTURA ST;;RR;350.00;;
C SANTIAGO ST;;RR;275.00;;
CANLEY ROAD;E RODRIGUEZ-BANNER;CR;1,025.00;;
CANLEY ROAD;BANNER-ESCARPMENT;RR;700.00;;
CPL IKONG ST;;RR;275.00;;
DR M FLORES;;RR;300.00;;
E MEJIA;;RR;600.00;;
E RODRIGUEZ JR;PASIG-G BORRIS;CR;1,150.00;;
ESCARMENT ROAD;;CR;1,050.00;;
KAMAGONG ST;;RR;750.00;;
KAWILIHAN VILL;;RR;750.00;;
L FLORES ST;;RR;275.00;;
L FRANCISCO ST;;RR;275.00;;
LAKEVIEW SUBD;;RR;750.00;;
LANITE ST;;RR;750.00;;
PASCUA BLVD;PASIG MRR RD;RR;380.00;;
PASCUA ST;MRR ROAD STA.ANA;RR;300.00;;
PASIG BLVD EXT;ESCARMENT - MASILANG;CR;1,300.00;;
PASIG BLVD EXT;MASILANG - VARGAS;CR;1,150.00;;
PVT C AURELLANA;;RR;275.00;;
R VALDEZ ST;;RR;275.00;;
RIVERSIDE DR;;RR;275.00;;
S VICTORINO ST;;RR;275.00;;
SAN ROQUE ST;;RR;275.00;;
SGT F LIMPOCO;;RR;275.00;;
SGT G SANTOS ST;;RR;350.00;;
ST. JOSEPH SUBD.;;RR;600.00;;
STA ANA;;RR;275.00;;
STA ROSA DE LIMA;;RR;300.00;;
TOWNHOUSE;;RC;4,000.00;;
VALIENTE ST;;RR;275.00;;
VELASQUEZ ST;;RR;275.00;;
YAKAL ST;;RR;750.00;;
YLAYA ST;;RR;300.00;;
19 DE FEBRERO;;RR;275.00;;
BARANGAY:;BAMBANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
A LUNA;BAMBANG-MALINAO;RR;650.00;;
AROUND PUBLIC MARKET;;RR;570.00;;
C BALDERAMA ST;;RR;300.00;;
C POZON ST;;RR;300.00;;
DAMIAN SUBD;;RR;375.00;;
E JACINTO ST;;RR;400.00;;
FARMERS AVE;RAYMNUDO-SAN MIGUEL;RR;400.00;;
J B MIGUEL ST;;RR;300.00;;
S P S SUBD;;RR;335.00;;
TAMBAK ST.;;RR;200.00;;
BARANGAY:;BUTING;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
E MENDOZA ST;;RR;300.00;;
F FLORES ST;;RR;275.00;;
F T ANGELES ST;;RR;275.00;;
G BUNYI ST;;RR;275.00;;
G CONCHING ST;;RR;275.00;;
SAN GUILLERMO;;RR;475.00;;
STA ANA SUBD;;RR;300.00;;
TANINGCO ST.;;RR;275.00;;
BARANGAY:;CANIOGAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
A PLATA  ST;;RR;225.00;;
DR ANTONIO AVE;RAYMUNDO FLORES;CR;1,500.00;;
DR ANTONIO AVE;FLORES BAYANI;RR;735.00;;
DR ANTONIO AVE;BAYANI - KAWILIHAN;RR;690.00;;
F CARUNCHO ST;;RR;275.00;;
FLORES ST;;RR;350.00;;
KAGITINGAN ST;;RR;225.00;;
KALINANGAN ST;;RR;275.00;;
KATARUNGAN ST;;RR;250.00;;
LIGAYA ST;;RR;200.00;;
MANINGNING ST;;RR;275.00;;
P LICSI ST;ANTONIO - CARUNCH;RR;380.00;;
P LICSI ST;CARUNCHO - END;RR;325.00;;
PAG-ASA ST;;RR;300.00;;
PANGILINAN ST;;RR;225.00;;
PANLINLINGAN ST.;;RR;225.00;;
PASIG BLVD EXT;VARGAS-RAYMUNDO;CR;1,400.00;;
R DEL ROSARIO;;RR;475.00;;
RAYMUNDO AVE;ANTONIO-PASIG;RR;710.00;;
RAYMUNDO AVE;PASIG - MAYBUNGA;RR;520.00;;
SGT P BERNARDO;;RR;300.00;;
VILLA SUSANA ST;;RR;300.00;;
3 BAYANI ST;;RR;275.00;;
BARANGAY:;DELA PAZ;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
AMANG RODRIGUEZ;;CR;875.00;;
BARTVILLE SUBD;;RR;400.00;;
CHRISTINE VIL;;RR;275.00;;
DREAMHOMES SUBD;;RR;400.00;;
GSIS;;RR;275.00;;
MAR VILLAGE;;RR;400.00;;
MLA MAHOGANY;;RR;275.00;;
MRKNA DIVERSION;;I;450.00;;
OCTAGON SUBD;;RR;300.00;;
PASIG GPARK VIL;;RR;450.00;;
SONIA SUBD;;RR;300.00;;
BARANGAY:;KALAWAAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
AXIS ROAD;;RR;225.00;;
DAANG ITIKAN;;RR;225.00;;
DAANG PATUBIG;;RR;250.00;;
ELISEO ROAD;;RR;310.00;;
BARANGAY:;KAPASIGAN;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
A MABINI  ST;;CR;1,550.00;;
ALCALDE JOSE ST;;CR;650.00;;
BEDANA ST;;RR;400.00;;
COMMERCIO ST;;CR;650.00;;
DR ANTONIO AVE;PRANACILLO-ROSA;CR;1,450.00;;
DR PILAPIL ST;MABINI-ANTONIO;CR;1,250.00;;
DR PILAPIL ST;MABINI-DEL ROSA;RR;425.00;;
DR PILAPIL ST;DEL ROSARIO-END;RR;375.00;;
F BLUMENTRITT;MABINI-COMMERCIO;CR;775.00;;
F BLUMENTRITT;COMMERCIO - END;RR;400.00;;
INDUSTRIA ST;;CR;650.00;;
R DEL ROSARIO;;RR;450.00;;
R DEL ROSARIO EXT;;RR;425.00;;
UNNAMED STREETS;;RR;260.00;;
BARANGAY:;KAPITOLYO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BRIXTON  ST;;CR;1,150.00;;
CAPITOL DRIVE;SHAW - UNITED ST;CR;1,500.00;;
EAST CAPITOL DR;W CAPITOL STA ROSA;RR;1,200.00;;
EAST CAPITOL DR;STA ROSA - IGNACIO;RR;1,000.00;;
PASIG BLVD;ESCARP - MASILANG;CR;1,550.00;;
PHILAM ST;;RR;600.00;;
PIONEER ST;;CR;1,500.00;;
ROSEMARY LANE;;RR;700.00;;
SAN ANTONIO ST;;RR;600.00;;
SAN CLEMENTE ST;;RR;600.00;;
SAN FRANCISCO;STA ROSA-SAN IGNACIO;RR;600.00;;
SAN FRANCISCO;SAN IGNACIO-BANAAG;RR;475.00;;
SAN GABRIEL ST;;RR;475.00;;
SAN GIL ST;;RR;475.00;;
SAN IGNACIO STE;CPTL-CREEK;RR;800.00;;
SAN ISIDRO ST;;RR;475.00;;
SAN JOSE ST;;RR;600.00;;
SAN JUAN ST;SAN IGNACIO-SAN RAF;RR;600.00;;
SAN JUAN ST;SAN FRANCISCO-SAN IGN;RR;475.00;;
SAN LORENZO ST;;RR;600.00;;
SAN LUIS ST;;RR;475.00;;
SAN MANUEL ST;;RR;600.00;;
SAN MARTIN ST;;RR;600.00;;
SAN MATEO ST;SAN IGNACIO-SAN RAF;RR;600.00;;
SAN MATEO ST;SAN JUAN-SAN IGNC;RR;475.00;;
SAN PABLO ST;;RR;600.00;;
SAN PEDRO ST;;RR;600.00;;
SAN RAFAEL ST;STA ROSA-E CPTL;RR;600.00;;
SAN RAFAEL ST;STA ROSA-PION ST;RR;700.00;;
