RDO:;RDO NO. 43B - WEST PASIG;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;PASIG CITY;;;;
BARANGAY:;BAGONG ILOG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
19 DE FEBRERO;;RR;3,500.00;;
A FLORES;PASIG BLVD-MRR;RR;4,500.00;;
ARAYAT;LAKEVIEW DRIVE - PASIG BLVD.;RR;9,000.00;;
ARAYAT;LAKEVIEW DRIVE - PASIG BLVD.;I;12,000.00;;
BANNER;CANLEY-END;RR;9,000.00;;
BUENAVENTURA;PASIG BLVD-CPL CRUZ;RR;8,000.00;;
C SANTIAGO;ARELLANO-RIVERSIDE DR;RR;5,500.00;;
CANLEY ROAD;E RODRIGUEZ-BANNER;CR;15,000.00;;
CANLEY ROAD;BANNER-ESCARPMENT;CR;15,000.00;;
CPL CRUZ;RETELCO - A. FLORES DR;I;9,000.00;;
CPL IKONG;SANTIAGO-RIVERSIDE DR;RR;4,500.00;;
DR M FLORES;MAR RIVERSIDE DR;RR;6,500.00;;
E MEJIA;PASIG BLVD-LAKEVIEW DR;RR;6,000.00;;
E RODRIGUEZ JR;PASIG-G BORRIS;CR;30,000.00;;
F INTALAN;ARELLANO - RIVERSIDE DR;RR;5,500.00;;
HILLCREST DRIVE;;RR;15,000.00;;
HP JAVIER;CANLEY - ORAMBO;CR;15,000.00;;
J. BORRIS;RIVERSIDE;I;10,000.00;;
J. BORRIS;RIVERSIDE;RR;6,000.00;;
KAMAGONG;CANLEY-MEJIA;RR;9,000.00;;
KAWILIHAN VILL;PASIG BLVD;RR;10,000.00;;
L FRANCISCO;FLORES-INTALAN;RR;5,500.00;;
LAKEVIEW SUBD;PASIG BLVD;RR;9,000.00;;
LANITE;BANNER-YAKAL;RR;9,000.00;;
PASIG BLVD (PORTION OF C5);HILLCREST-VARGAS;CR;30,000.00;;
PASIG BLVD (PORTION OF C5);HILLCREST-VARGAS;RR;15,000.00;;
PASIG BLVD EXT;ESCARPMENT-MASILANG;CR;30,000.00;;
PASIG BLVD EXT;ESCARPMENT-MASILANG;I;20,000.00;;
PASIG BLVD EXT;ESCARPMENT-MASILANG;RR;18,000.00;;
PHOENIX SUBD;CANLEY ROAD;RR;18,000.00;;
PVT C AURELLANA;FLORES-RIVERSIDE DR;RR;4,500.00;;
R VALDEZ;FLORES-INTALAN;RR;4,500.00;;
RIVERSIDE (APLAYA);INTALAN-END;RR;4,500.00;;
RIVERSIDE (APLAYA);INTALAN-END;I;11,000.00;;
ROBINSONS SUBD;;RR;10,000.00;;
S VICTORINO;ARELLANO-RIVERSIDE DR;RR;5,500.00;;
SAN ROQUE;MR-RIVERSIDE DR;RR;5,500.00;;
SGT F LIMPOCO;FLORES-INTALAN;RR;5,500.00;;
SGT G SANTOS ST;PASIG BLVD-FLORES;RR;5,500.00;;
SGT PASCUA;PASIG-MRR ROAD;RR;5,500.00;;
SGT PASCUA;MRR ROAD-STA ANA;RR;4,500.00;;
STA ANA;PASCUA-INTALAN;RR;6,000.00;;
STA ROSA DE LIMA;BUENAVENTURA-CPL CRUZ;RR;18,000.00;;
VALIENTE;PASCUA-RIVER;RR;4,500.00;;
VELASQUEZ;MRR-END;RR;4,500.00;;
YAKAL;CANLEY-KAMAGONG;RR;9,000.00;;
YLAYA;PASIG BLVD - END;RR;4,500.00;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;7,000.00;;
CALLEJON;1 LANE ROAD;RR;2,000.00;;
ALLEY-INTERIOR;PEDESTRIAN;RR;1,500.00;;
ALLEY-INTERIOR;PEDESTRIAN;;;;
BARANGAY:;BAMBANG;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
A LUNA;ROTONDA-BRIDGE;CR;10,000.00;;
A LUNA;BAMBANG-MALINAO;RR;6,000.00;;
C POZON/V POZON;JACINTO-F MANALO;RR;3,500.00;;
C VALDERAMA;A LUNA-B PONCE;RR;3,500.00;;
CAPITOL HOMES SUBD;F MANALO;RR;4,000.00;;
DAMIAN SUBD;J PUEBLO-M SANTOS;RR;4,000.00;;
DONA BINDAY;STA ANA-LARA-SAMSON;RR;4,000.00;;
E JACINTO;RAYMUNDO-VALDERAMA;RR;3,500.00;;
F MANALO;MALINAO - V PUZON;RR;6,000.00;;
F MANALO;MALINAO - V PUZON;CR;7,000.00;;
FARMERS AVENUE;RAYMNUDO-SAN MIGUEL;RR;6,000.00;;
J B MIGUEL;MANALO-FARMERS AVE;RR;3,500.00;;
M. MELENDEZ AVE;;RR;6,000.00;;
MAGDALENA H'SING PROJ.*;;RR;3,500.00;Reverted to low-cost housing condo as per resolution of  the Technical Committee dated April 11, 1995.;
S P S SUBD;PRIVATE ROAD;RR;3,500.00;;
SONNY VILLE SUBD;JB MIGUEL;RR;3,500.00;;
VICTORINO COMPOUND;E JACINTO;RR;3,500.00;;
VILLA ANTONIO;FARMERS AVE;RR;3,500.00;;
ALL OTHER STREETS;;RR;3,000.00;;
ALL OTHER STREETS;;CR;4,000.00;;
CALLEJON;1 LANE ROAD;RR;2,000.00;;
INTERIOR ALLEY;PEDESTRIAN;RR;1,500.00;;
BARANGAY:;BUTING;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;4TH REV. ZV/SQ.M.;;
E DELOS SANTOS;LOZADA - SAN GUILLERMO;RR;3,000.00;;
E MENDOZA;PATEROS BDRY-BUTING BDRY;RR;4,000.00;;
E MENDOZA;SAN GUILLERMO - SAN JOAQUIN;RR;3,500.00;;
E SANTOS;LOZADA - SAN GUILLERMO;RR;3,000.00;;
F FLORES;SAN GUILLERMO-BUNYI;RR;3,000.00;;
F T ANGELES;PATEROS BDRY-SAN GUILLERMO;RR;3,000.00;;
G BUNYI;PATEROS RIVER-FLORES;RR;3,000.00;;
G CONCHING;SAN GUILLERMO-PATEROS BDRY;RR;3,000.00;;
LA TOWNHOUSE;SAN GUILLERMO AVE;RC;10,000.00;;
SAN GUILLERMO;PATEROS RIVER-BUTING BDRY;RR;6,000.00;;
SAN GUILLERMO;PATEROS RIVER-BUTING BDRY;CR;10,000.00;;
SAN GUILLERMO;PATEROS RIVER-BUTING BDRY;I;8,000.00;;
TANANGCO;SANTOS-END;RR;3,000.00;;
ALL OTHER STREETS;SANTOS-LOZADA;RR;3,000.00;;
ALL OTHER STREETS;SANTOS-LOZADA;CR;5,000.00;;
CALLEJON;1 LANE ROAD;RR;2,000.00;;
INTERIOR ALLEY;PEDESTRIAN;RR;1,500.00;;
INTERIOR ALLEY;PEDESTRIAN;;;;
BARANGAY:;CANIOGAN;;;;
