RDO:;RDO NO. 49 - NORTH MAKATI;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MAKATI CITY;;;;
BARANGAY:;BEL-AIR VILLAGE;;;;
AMAPOLA;Estrella - R. Palma;RR;24,000.00;;
ANTARES;Jupiter-Kalayaan Avenue;RR;24,000.00;;
ANZA;;CR;80,000.00;;
AQUARIUS;Amapola-Kalayaan Avenue;RR;24,000.00;;
ARIES;Kalayaan Avenue;RR;24,000.00;;
ASTEROID;Jupiter-Kalayaan Avenue;RR;24,000.00;;
ASTRA I;Jupiter-Kalayaan Avenue;RR;24,000.00;;
AYALA AVE.;Gil Puyat-Kamagong;RR;150,000.00;;
CANOPUS;Jupiter-Kalayaan Avenue;RR;24,000.00;;
COMET;Jupiter;RR;24,000.00;;
CONSTELLATION;Makati Avenue;RR;24,000.00;;
ESTRELLA;Amapola-EDSA;RR;24,000.00;;
GALAXY;Jupiter-Hydra;RR;24,000.00;;
HERCULES;Orbit-Makati Avenue;RR;24,000.00;;
HYDRA;Mercedes-Tower;RR;24,000.00;;
JUNO;Makati Avenue;RR;24,000.00;;
JUPITER;Makati Avenue;CR;118,500.00;;
LEO;Solar-Taurus;RR;24,000.00;;
LIBRA;Solar-Taurus;RR;24,000.00;;
MAKATI AVENUE;Bel-Air - 1 side;CR;118,000.00;;
MAKATI AVENUE;Gil Puyat-Jupiter;CR;200,000.00;;
MAKATI AVENUE;Jupiter-Neptune (Bel Air 2 side);CR;100,000.00;;
MALUGAY;Ayala Ave-Gil Puyat;CR;70,000.00;;
MARS;Jupiter-Mercedes;RR;24,000.00;;
MERCEDES;Zodiac-Orion;RR;24,000.00;;
MERCURY;Mars-Jupiter;RR;24,000.00;;
N. GARCIA (REPOSO);;CR;50,000.00;;
;;RR;25,000.00;;
NEPTUNE;N. Garcia-Salamanca;RR;24,000.00;;
NEPTUNE;N. Garcia-Salamanca;CR;50,000.00;;
ORBIT;JupiterKalayaan;RR;24,000.00;;
ORION;Polaris-Kalayaan;RR;24,000.00;;
PASEO DE ROXAS;Gil Puyat-Jupiter;CR;230,000.00;;
PASEO DE ROXAS;Jupiter-Mercedes;RR;24,000.00;;
PLANET;Jupiter-Mercedes;RR;24,000.00;;
POLARIS;Orion-Jupiter;CR;89,000.00;;
POLARIS;Mars-Orion;RR;24,000.00;;
SATURN;Jupiter-Constellation;RR;24,000.00;;
SEN. GIL PUYAT;Edsa-Ayala (Bel-Air Subd.);CR;150,000.00;;
SEN. GIL PUYAT;P de Roxas-Ayala Ave (Salcedo Subd);CR;250,000.00;;
SOLAR;Zodiac-Hydra;RR;24,000.00;;
STELLA;Solar-Hydra;RR;24,000.00;;
TAURUS;Amapola-Zodiac;RR;24,000.00;;
ZODIAC;Jupiter-Estrella;RR;24,000.00;;
Other Condominiums, Townhouse (CCT)    & Commercial Bldgs. built in 1995 &    prior yrs.;;RC/CC;40,000.00;;
All condominiums, Townhouses (CCT)    & Comm'l Bldgs. built after 1995;;RC/CC;60,000.00;;
BARANGAY:;CARMONA;;;;
A. P.  REYES;;RR;15,000.00;;
A. P.  REYES;;CR;18,000.00;;
ARPILLEDA;;RR;6,000.00;;
CRYSTAL;;RR;6,000.00;;
D. BENITO;;RR;6,000.00;;
D. VILLENA;;RR;6,000.00;;
DIZON;;RR;6,000.00;;
E. PASCUA;;RR;9,000.00;;
E. PASCUA;;CR;20,000.00;;
ENRIQUE;;RR;6,000.00;;
ESTRELLA;;RR;7,500.00;;
FATIMA;;RR;6,000.00;;
FORTUNA;;RR;8,000.00;;
GUIZON;;RR;6,000.00;;
N.GARCIA;;RR;6,000.00;;
H. SANTOS;;RR;6,000.00;;
HIPODROMO;;RR;8,000.00;;
MENDOZA;Pasong Tamo;RR;6,000.00;;
P. DOMINGO;;RR;6,000.00;;
P. NUNEZ;;RR;6,000.00;;
PERRY;;RR;6,000.00;;
RODIL;;RR;6,000.00;;
RODRIGUEZ;;RR;6,000.00;;
T. MAGSAYSAY;;RR;6,000.00;;
Other Condominiums, Townhouses (CCT)     & Commercial Bldgs. built in 1995     & prior years;;RC/CC;35,000.00;;
All Condominiums, Townhouses (CCT)     & Comm'l Bldgs. built after 1995;;RC/CC;45,000.00;;
BARANGAY:;GUADALUPE VIEJO;;;;
ADALLA;;RR;10,000.00;;
ADALLA PLACE;;RR;8,000.00;;
AMAPOLA;Estrella-Camia;RR;20,000.00;;
AMAPOLA;Camia-Zodiac;RR;20,000.00;;
AZUCENA;EDSA;RR;8,200.00;;
BERNARDINA;;RR;8,200.00;;
BERNARDINO;;RR;8,200.00;;
BERNARDO;;RR;8,200.00;;
CAMIA;;RR;10,000.00;;
CARBALLO;;RR;8,200.00;;
CHAMPACA;;RR;8,200.00;;
CORONADO;;RR;8,200.00;;
E D S A;;CR;75,000.00;;
ESTRELLA;;RR;25,000.00;;
ESTRELLA;;CR;50,000.00;;
GONZALES;;RR;8,200.00;;
GUMAMELA;;RR;8,200.00;;
ILANG-ILANG;;RR;8,200.00;;
J. P. RIZAL;;RR;25,000.00;;
J. P. RIZAL;;CR;50,000.00;;
JASMIN;J.P. Rizal;RR;8,200.00;;
LIRIO;;RR;8,200.00;;
MILEGUAS;J.P. Rizal;RR;8,200.00;;
PROGRESO I , II;;RR;8,200.00;;
ROSAL;;RR;8,200.00;;
SAN BERNARDINO;;RR;8,200.00;;
TRINIDAD;;RR;8,200.00;;
ZODIAC;;RR;20,000.00;;
