RDO:;RDO NO. 51 - PASAY CITY;;;(Formerly RDO No. 33 - PASAY CITY);
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;PASAY CITY;;;;
BARANGAY:;BARANGAY 1 ZONE 1;;;;
KUYEGKENG;;RR;1,500.00;;
ROXAS BLVD;;RR;3,500.00;;
ROXAS BLVD;;CR;4,500.00;;
ROXAS BLVD;;RC;8,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 2 ZONE 1;;;;
CONCEPCION;ROXAS BLVD-HARRISION;RR;1,500.00;;
F B HARRISON;;RR;2,500.00;;
F B HARRISON;;CR;3,500.00;;
KUYEGKENG;;RR;1,500.00;;
ROXAS BLVD;;RR;3,500.00;;
ROXAS BLVD;;CR;4,500.00;;
ROXAS BLVD;;RC;8,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 3 ZONE 1;;;;
CONCEPCION;ROXAS BLVD-HARRISON;RR;1,500.00;;
COQUIOLAY;;RR;1,500.00;;
F B HARRISON;CONCEPCION-SALUD;RR;2,500.00;;
F B HARRISON;CONCEPCION-SALUD;CR;3,500.00;;
KUYEGKENG;;RR;1,500.00;;
LIMAN;;RR;2,000.00;;
ROXAS BLVD;CONCEPCION-SALUD;RR;3,500.00;;
ROXAS BLVD;CONCEPCION-SALUD;CR;4,500.00;;
ROXAS BLVD;CONCEPCION-SALUD;RC;8,000.00;;
SALUD;ROXAS BLVD-HARRISON;RR;1,500.00;;
TANGKIAN;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 14 ZONE 1;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 15 ZONE 1;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 16 ZONE 1;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 17 ZONE 1;;;;
APD;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 4 ZONE 2;;;;
COQUIOLAY;;RR;1,500.00;;
F B HARRISON;SALUD-N DEL ROSARIO;RR;2,500.00;;
F B HARRISON;SALUD-N DEL ROSARIO;CR;3,500.00;;
KUYEGKENG;;RR;1,500.00;;
LIMAN;;RR;1,500.00;;
ROXAS BLVD;SALUD-N DEL ROSARIO;RR;3,500.00;;
ROXAS BLVD;SALUD-N DEL ROSARIO;CR;4,500.00;;
ROXAS BLVD;SALUD-N DEL ROSARIO;RC;8,000.00;;
SALUD;ROXAS BLVD-HARRISON;RR;1,500.00;;
TANGKIAN;;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 5 ZONE 2;;;;
LOURDES;ROXAS BLVD-HARRISON;RR;1,500.00;;
NRA SRA DEL ROSARIO;ROXAS BLVD-HARRISON;RR;1,500.00;;
ROXAS BLVD;DEL ROSARIO-LOURDES;RR;3,500.00;;
ROXAS BLVD;DEL ROSARIO-LOURDES;CR;4,500.00;;
ROXAS BLVD;DEL ROSARIO-LOURDES;RC;8,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 6 ZONE 2;;;;
DAPITAN;ROXAS BLVD-HARRISON;RR;1,500.00;;
F B HARRISON;LOURDES-DAPITAN;RR;2,500.00;;
F B HARRISON;LOURDES-DAPITAN;CR;3,500.00;;
LOURDES;ROXAS BLVD-HARRISON;RR;1,500.00;;
ROXAS BLVD;LOURDES-DAPITAN;RR;3,500.00;;
ROXAS BLVD;LOURDES-DAPITAN;CR;4,500.00;;
ROXAS BLVD;LOURDES-DAPITAN;RC;8,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 7 ZONE 2;;;;
DAPITAN;ROXAS BLVD-HARRISON;RR;1,500.00;;
F B HARRISON;DAPITAN-SAN JUAN;RR;2,500.00;;
F B HARRISON;DAPITAN-SAN JUAN;CR;3,500.00;;
ROXAS BLVD;DAPITAN-SAN JUAN;RR;3,500.00;;
ROXAS BLVD;DAPITAN-SAN JUAN;CR;4,500.00;;
ROXAS BLVD;DAPITAN-SAN JUAN;RC;8,000.00;;
SAN JUAN;ROXAS BLVD-HARRISON;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,500.00;;
BARANGAY:;BARANGAY 8 ZONE 2;;;;
F B HARRISON;SAN JUAN-PERLA;RR;2,500.00;;
F B HARRISON;SAN JUAN-PERLA;CR;3,500.00;;
