RDO:;RDO NO. 51 - PASAY CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;PASAY CITY;;;;
BARANGAY:;BARANGAY 1 ZONE 1;;;;
KUYEGKENG;;RR;9,000.00;;
ROXAS BLVD;;RR;38,000.00;;
ROXAS BLVD;;CR;42,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
BARANGAY:;BARANGAY 2 ZONE 1;;;;
CONCEPCION;ROXAS BLVD-HARRISION;RR;9,000.00;;
F B HARRISON;;RR;18,000.00;;
F B HARRISON;;CR;24,000.00;;
INTERIOR F B HARRISON;;RR;15,000.00;;
KUYEGKENG;;RR;9,000.00;;
ROXAS BLVD;;RR;38,000.00;;
ROXAS BLVD;;CR;42,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 3 ZONE 1;;;;
AMANG RODRIGUEZ  (SALUD);ROXAS BLVD-HARRISON;RR;9,000.00;;
R. LAYUG (CONCEPCION);ROXAS BLVD-HARRISON;RR;9,000.00;;
GOQUIOLAY;;RR;9,000.00;;
FB HARRISON;CONCEPCION-SALUD;RR;18,000.00;;
FB HARRISON;CONCEPCION-SALUD;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
KUYEGKENG;R. LAYUG-AMANG RODRIGUEZ;RR;9,000.00;;
LIM AN;R. LAYUG-AMANG RODRIGUEZ;RR;9,000.00;;
ROXAS BLVD;CONCEPCION-SALUD;RR;38,000.00;;
ROXAS BLVD;CONCEPCION-SALUD;CR;42,000.00;;
TANKIAN;R. LAYUG-AMANG RODRIGUEZ;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 14 ZONE 1;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 15 ZONE 1;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;9,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 16 ZONE 1;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 17 ZONE 1;;;;
ALL OTHER STREETS;;RR;6,000.00;;
ALL OTHER STREETS;;CR;10,000.00;;
INTERIOR STREETS;;RR;5,000.00;;
INTERIOR STREETS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT;
BARANGAY:;BARANGAY 4 ZONE 2;;;;
GOQUIOLAY;;RR;9,000.00;;
FB HARRISON;SALUD-N DEL ROSARIO;RR;18,000.00;;
FB HARRISON;SALUD-N DEL ROSARIO;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
KUYEGKENG;;RR;9,000.00;;
LIM AN;;RR;9,000.00;;
ROXAS BLVD;SALUD-N DEL ROSARIO;RR;38,000.00;;
ROXAS BLVD;SALUD-N DEL ROSARIO;CR;42,000.00;;
SALUD;ROXAS BLVD-HARRISON;RR;9,000.00;;
TANKIAN;;RR;9,000.00;;
ALL OTHER STREETS;;RR;8,000.00;;
ALL OTHER STREETS;;CR;15,000.00;;
OTHER INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 5 ZONE 2;;;;
LOURDES;ROXAS BLVD-HARRISON;RR;9,000.00;;
NRA SRA DEL ROSARIO;ROXAS BLVD-HARRISON;RR;9,000.00;;
ROXAS BLVD;DEL ROSARIO-LOURDES;RR;38,000.00;;
ROXAS BLVD;DEL ROSARIO-LOURDES;CR;42,000.00;;
ALL OTHER STREETS;;RR;9,000.00;;
ALL OTHER STREETS;;CR;18,000.00;;
INTERIOR STREETS;;RR;7,000.00;;
BARANGAY:;BARANGAY 6 ZONE 2;;;;
DAPITAN;ROXAS BLVD-HARRISON;RR;9,000.00;;
FB HARRISON;LOURDES-DAPITAN;RR;18,000.00;;
FB HARRISON;LOURDES-DAPITAN;CR;24,000.00;;
INTERIOR FB HARRISON;;RR;15,000.00;;
