N O T I C E;;;;;
RR 13 - Cebu City;;;;;
RDO No. 80 - Mandaue City is composed of the following Cities and Municipalities:;;;;;
Danao City, Lapu-lapu City, Mandaue City, Asturias, Balamban, Bantayan, Bogo, Borbon, Carmen, Catmon, Compostela, Consolacion, Cordova,;;;;;
Daanbantayan, Liloan, Madridejos, Medellin, Pilar, Poro, P. Camotes Island, San Francisco-Camotes, San Remigio, Santa Fe, Sogod, Tabogon,;;;;;
Tabuelan, Tuburan and Tudela-Camotes;;;;;
Schedules of Zonal Values per Department Order (DO) -;;;;;
DO NO.;Revision;Effectivity Dates;;Cities/Municipalities Covered;
DO NO.;Revision;From;To;;
5-09;3rd;25-Feb-09;Present;Lapu-lapu City and Mandaue City;
5-09;2nd;25-Feb-09;Present;Consolacion, Cordova and Liloan;
5-09;1st;25-Feb-09;Present;Danao City, Asturias, Balamban, Bantayan, Bogo, Borbon, Carmen,;
63-02;1st;28-Dec-02;24-Feb-09;Consolacion, Cordova and Liloan;
22-98;2nd;23-Jun-98;24-Feb-09;Mandaue City and Lapu-Lapu City;
115-95;Initial;11-Oct-95;27-Dec-02;Consolacion, Cordova and Liloan;
115-95;Initial;11-Oct-95;24-Feb-09;Danao City, Asturias, Balamban, Bantayan, Bogo, Borbon, Carmen, Catmon,;
108-95;1st;11-Oct-95;22-Jun-98;Lapu-Lapu City and Mandaue City;
23-90;Initial;31-May-90;10-Oct-95;Mandaue City;
22-90;Initial;31-May-90;10-Oct-95;Lapu-Lapu City;
