RDO:;RDO NO.  80 - MANDAUE CITY;;;;
PROVINCE:;CEBU;;;;
PROVINCE:;CEBU;;;;
CITY/MUNICIPALITY:;MANDAUE CITY;;;;
BARANGAY:;ALANG-ALANG;;;;
PLARIDEL ST;BUTUANON RIVER BURGO;CR;1,500.00;;
PLARIDEL ST;G OUANO STREETS;RR;1,500.00;;
PLARIDEL ST;G OUANO STREETS;I;1,500.00;;
BURGOS ST;PLARIDEL G OUANO ST;CR;1,500.00;;
BURGOS ST;PLARIDEL G OUANO ST;RR;1,500.00;;
BURGOS ST;PLARIDEL G OUANO ST;I;1,500.00;;
G OUANO ST;BURGOS PLARIDEL ST;CR;1,250.00;;
G OUANO ST;BURGOS PLARIDEL ST;RR;1,250.00;;
G OUANO ST;BURGOS PLARIDEL ST;I;1,250.00;;
LIBERTAD ST;RIZAL BURGOS ST;CR;500.00;;
LIBERTAD ST;RIZAL BURGOS ST;RR;500.00;;
LIBERTAD ST;RIZAL BURGOS ST;I;500.00;;
SANCHEZ ST;RIZAL PLARIDEL ST;CR;1,250.00;;
SANCHEZ ST;RIZAL PLARIDEL ST;RR;1,250.00;;
SANCHEZ ST;RIZAL PLARIDEL ST;I;1,250.00;;
SITIO LIONG;;CR;1,250.00;;
SITIO LIONG;;RR;1,250.00;;
SITIO LIONG;;I;1,250.00;;
ALL OTHER STREETS;;CR;500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;BAKILID;;;;
A BONIFACIO ST;BAKILID BANILAD RD;CR;1,500.00;;
A BONIFACIO ST;BAKILID BO ROAD;RR;1,500.00;;
A BONIFACIO ST;BAKILID BO ROAD;I;1,500.00;;
BAKILID BANILAD ROAD;;CR;1,400.00;;
BAKILID BANILAD ROAD;;RR;1,400.00;;
BAKILID BANILAD ROAD;;I;1,400.00;;
BAKILID BARRIO ROAD;;CR;750.00;;
BAKILID BARRIO ROAD;;RR;750.00;;
BAKILID BARRIO ROAD;;I;750.00;;
CEBU NORTH RD HIWAY;BONIFACIO BAKILID RD;CR;1,500.00;;
ALL OTHER STREETS;;CR;1,500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;750.00;;
BARANGAY:;BANILAD;;;;
HOLY FAMILY VILL  I & II;;RR;1,000.00;;
STO NINO VILLAGE;;RR;1,100.00;;
H CORTES ST;M L QUEZON BANILAD;CR;1,450.00;;
H CORTES ST;M L QUEZON BANILAD;RR;1,450.00;;
H CORTES ST;M L QUEZON BANILAD;I;1,450.00;;
EL DORADO SUBD;;CR;900.00;;
GENTLE BREEZE SUBD;;RR;900.00;;
GREEN PLAINS SUBD;;I;900.00;;
M L QUEZON ST;H CORTES NPC;CR;1,250.00;;
M L QUEZON ST;H CORTES NPC;RR;1,250.00;;
M L QUEZON ST;H CORTES NPC;I;1,250.00;;
ALL OTHER STREETS;;CR;1,450.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;1,450.00;;
BARANGAY:;BASAK;;;;
HIWAY CEBU NOROTH RD CONSUELO VILLAGE;BASAK DUNGO AN RD;CR;1,000.00;;
HIWAY CEBU NOROTH RD CONSUELO VILLAGE;BASAK DUNGO AN RD;RR;1,000.00;;
BASAK DUNGO AN RD;CEBU NORTH LABOGON;CR;1,000.00;;
BASAK DUNGO AN RD;CEBU NORTH LABOGON;RR;1,000.00;;
