RDO:;RDO NO. 80 - MANDAUE CITY;;;;
PROVINCE:;CEBU;;;;
CITY/MUNICIPALITY:;MANDAUE CITY;;;;
BARANGAY:;ALANG-ALANG;;;;
BURGOS STREET;PLARIDEL-G OUANO;CR;1,500.00;;
BURGOS STREET;PLARIDEL-G OUANO;RR;1,500.00;;
BURGOS STREET;PLARIDEL-G OUANO;I;1,500.00;;
S OUANO STREET;BURGOS-PLARIDEL;CR;1,250.00;;
S OUANO STREET;BURGOS-PLARIDEL;RR;1,250.00;;
S OUANO STREET;BURGOS-PLARIDEL;I;1,250.00;;
LIBERTAD STREET;RIZAL-BURGOS;CR;800.00;;
LIBERTAD STREET;RIZAL-BURGOS;RR;500.00;;
LIBERTAD STREET;RIZAL-BURGOS;I;800.00;;
PLARIDEL STREET;BUTUANON RIVER-BURGOS-;CR;1,500.00;;
PLARIDEL STREET;G. OUANOS STS;RR;1,500.00;;
PLARIDEL STREET;G. OUANOS STS;I;1,500.00;;
SANCHEZ STREET;RIZAL-PLARIDEL;CR;1,250.00;;
SANCHEZ STREET;RIZAL-PLARIDEL;RR;1,250.00;;
SANCHEZ STREET;RIZAL-PLARIDEL;I;1,250.00;;
SITIO LIONG;;CR;1,250.00;;
SITIO LIONG;;RR;1,250.00;;
SITIO LIONG;;I;1,250.00;;
ALL OTHER STREETS;;CR;800.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;800.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;BAKILID;;;;
A BONIFACIO STREET;BAKILID-BANILAD ROAD;CR;1,500.00;;
A BONIFACIO STREET;BAKILID BARRIO ROAD;RR;1,500.00;;
A BONIFACIO STREET;BAKILID BARRIO ROAD;I;1,500.00;;
BAKILID-BANILAD ROAD;;CR;1,500.00;;
BAKILID-BANILAD ROAD;;RR;1,400.00;;
BAKILID-BANILAD ROAD;;I;1,500.00;;
BAKILID BARRIO ROAD;;CR;1,000.00;;
BAKILID BARRIO ROAD;;RR;800.00;;
BAKILID BARRIO ROAD;;I;1,000.00;;
CEBU NORTH ROAD-HIGWAY;BONIFACIO-BAKILID;CR;3,000.00;;
CEBU NORTH ROAD-HIGWAY;BONIFACIO-BAKILID;RR;1,500.00;;
CEBU NORTH ROAD-HIGWAY;BONIFACIO-BAKILID;RR;3,000.00;;
ALL OTHER STREET;;CR;1,500.00;;
ALL OTHER STREET;;RR;500.00;;
ALL OTHER STREET;;I;1,500.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;BANILAD;;;;
EL DORADO SUBD;;RR;900.00;;
GENTLE BREEZE SUBD;;RR;900.00;;
GREEN PLAINS SUBD;;RR;900.00;;
H. CORTES ST;ML QUEAON-BANILAD ROAD;CR;1,450.00;;
H. CORTES ST;ML QUEAON-BANILAD ROAD;RR;1,450.00;;
H. CORTES ST;ML QUEAON-BANILAD ROAD;I;1,450.00;;
HOLY FAMILY VILL I & II;;RR;1,000.00;;
ML QUEZON STREET;H CORTES-NPC;CR;1,250.00;;
ML QUEZON STREET;H CORTES-NPC;RR;1,250.00;;
ML QUEZON STREET;H CORTES-NPC;I;1,250.00;;
MANGO GREEN VILL;;A;250.00;;
MANGO GREEN VILL;;RR;900.00;;
ST. MARTIN VILLAGE & ALBANO SUBD;;RR;800.00;;
STO. NINO VILLAGE;;RR;1,400.00;;
ALL OTHER STREETS;;CR;1,450.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;1,450.00;;
ALL OTHER STREETS;;A;250.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;BASAK;;;;
BASAK-DUNGOAN ROAD;CEBU NORTH RD-LABOGON;CR;1,000.00;;
BASAK-DUNGOAN ROAD;CEBU NORTH RD-LABOGON;RR;1,000.00;;
BASAK-PAGSABUNGAN ROAD;CEBU NORTH RD-LABOGON;CR;1,000.00;;
BASAK-PAGSABUNGAN ROAD;CEBU NORTH RD-LABOGON;RR;1,000.00;;
BASAK-PAGSABUNGAN ROAD;CEBU NORTH RD-LABOGON;I;1,000.00;;
BASAK-PAGSABUNGAN ROAD;CEBU NORTH RD-LABOGON;A;250.00;;
CONSUELO VILLAGE;;RR;1,000.00;;
H ABELLANA STREET;CEBU NORTH RD-GREEN VIEW;RR;1,000.00;;
H ABELLANA STREET;CEBU NORTH RD-GREEN VIEW;A;250.00;;
H ABELLANA STREET;CEBU NORTH RD-GREEN VIEW;I;1,000.00;;
HIGHWAY-CEBU NORTH ROAD;;CR;1,300.00;;
HIGHWAY-CEBU NORTH ROAD;;RR;1,200.00;;
HIGHWAY-CEBU NORTH ROAD;;I;1,300.00;;
ALL OTHER STREETS;;CR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;I;1,000.00;;
ALL OTHER STREETS;;A;250.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CABANCALAN;;;;
ELIAS CORTES;ML QUEZON-BUTUANON RIVER;CR;1,000.00;;
ELIAS CORTES;ML QUEZON-BUTUANON RIVER;RR;750.00;;
ELIAS CORTES;ML QUEZON-BUTUANON RIVER;I;1,000.00;;
GREENHILLS SUBD;ML QUEZON;CR;900.00;;
GREENHILLS SUBD;ML QUEZON;RR;600.00;;
GREENHILLS SUBD;ML QUEZON;I;900.00;;
HIDDEN HOMES SUBD;;RR;600.00;;
ML QUEZON;GREENHILLS-NPC;CR;1,350.00;;
ML QUEZON;GREENHILLS-NPC;RR;1,350.00;;
ML QUEZON;GREENHILLS-NPC;I;1,350.00;;
SITIO PILIT;;CR;600.00;;
SITIO PILIT;;RR;450.00;;
SITIO PILIT;;I;600.00;;
ALL OTHER STREETS;;CR;600.00;;
ALL OTHER STREETS;;RR;450.00;;
ALL OTHER STREETS;;I;600.00;;
CITY/MUNICIPALITY:;MANDAUE;;;;
BARANGAY:;CAMBARO;;;;
ISLA DE PALMA;;GL;;;
