RDO:;RDO NO. 80 - MANDAUE CITY, CEBU;;;;
PROVINCE:;CEBU;;;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;CABANGAHAN;;;;
ALONG BARANGAY ROAD;;RR;350.00;;
ALONG BARANGAY ROAD;;A;250.00;;
ALONG BARANGAY ROAD;INTERIOR LOTS;RR;225.00;;
ALONG BARANGAY ROAD;INTERIOR LOTS;A;150.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;CANSAGA;;;;
ALONG NATIONAL ROAD;;RR;3,000.00;;
ALONG NATIONAL ROAD;;CR;3,750.00;;
ALONG NATIONAL ROAD;;I;3,375.00;;
ALONG NATIONAL ROAD;200 M FROM THE ROAD;RR;1,500.00;;
ALONG NATIONAL ROAD;200 M FROM THE ROAD;A;700.00;;
ALONG NATIONAL ROAD;INTERIOR LOTS;RR;900.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;CASILI;;;;
ALONG THE ROAD ADJACENT TO POBLACION OCCIDENTAL;;RR;1,500.00;;
ALONG THE ROAD ADJACENT TO POBLACION OCCIDENTAL;;RR;1,650.00;;
ALONG THE ROAD ADJACENT TO POBLACION OCCIDENTAL;;A;250.00;;
ROYAL ESTATE 1ST CLASS;;RR;3,400.00;;
2ND CLASS;;RR;2,750.00;;
3RD CLASS;;RR;2,650.00;;
4TH CLASS;;RR;2,200.00;;
4TH CLASS;200 M FROM THE ROAD;RR;1,750.00;;
4TH CLASS;200 M FROM THE ROAD;A;250.00;;
PROV'L & MUN. RD;1 KM FR. PUBLIC MARKET;RR;1,500.00;;
PROV'L & MUN. RD;1 KM FR. PUBLIC MARKET;A;875.00;;
PROV'L & MUN. RD;AFTER 1 KM.;RR;750.00;;
PROV'L & MUN. RD;AFTER 1 KM.;A;450.00;;
PROV'L & MUN. RD;AFTER CASILI PROPER;RR;325.00;;
PROV'L & MUN. RD;AFTER CASILI PROPER;A;137.50;;
;INTERIOR;RR;2,000.00;;
LOWER CASILI;ALL WEATHER ROADS;RR;1,500.00;;
LOWER CASILI;ALL WEATHER ROADS;A;750.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;DANGLAG;;;;
WINDFIELDS SUBD.;;RR;2,000.00;;
BARANGAY ROAD;;RR;400.00;;
BARANGAY ROAD;;A;225.00;;
BARANGAY ROAD;INTERIOR LOTS;RR;175.00;;
BARANGAY ROAD;INTERIOR LOTS;A;100.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;GARING;;;;
BARANGAY ROAD;;RR;275.00;;
BARANGAY ROAD;;A;137.50;;
BARANGAY ROAD;INTERIOR LOTS;RR;200.00;;
BARANGAY ROAD;INTERIOR LOTS;A;100.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;JUGAN;;;;
BARANGAY ROAD;;RR;800.00;;
BARANGAY ROAD;;A;300.00;;
BARANGAY ROAD;INTERIOR LOTS;RR;350.00;;
BARANGAY ROAD;INTERIOR LOTS;A;150.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;LAMAC;;;;
NATIONAL ROAD;;CR;2,250.00;;
NATIONAL ROAD;;RR;2,250.00;;
NATIONAL ROAD;;I;2,250.00;;
BARANGAY ROAD;;RR;1,500.00;;
BARANGAY ROAD;;A;550.00;;
BARANGAY ROAD;200 M FR THE ROAD;RR;725.00;;
BARANGAY ROAD;200 M FR THE ROAD;A;500.00;;
E.B. VILLAROSA SUBD.;;RR;2,000.00;;
EL MONTEVERDE SUBD.;;RR;3,000.00;;
EL MONTEVERDE SUBD.;LOW-COST;RR;1,500.00;;
ALL OTHER STREETS;;RR;750.00;;
ALL OTHER STREETS;;A;300.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;LANIPGA;;;;
ALL LOTS;;RR;130.00;;
ALL LOTS;;A;75.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;NANGKA;;;;
V & G SUBD.;;RR;2,500.00;;
V & G SUBD.;;A;1,000.00;;
BARANGAY ROAD;;RR;750.00;;
BARANGAY ROAD;;A;500.00;;
BARANGAY ROAD;INTERIOR LOTS;RR;500.00;;
BARANGAY ROAD;;A;250.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;PANAS;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;;A;50.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;PANOYPOY;;;;
ALL LOTS;;RR;90.00;;
ALL LOTS;;A;50.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;PITOGO;;;;
NATIONAL ROAD;MAGLASANG COM'L COMPLEX;I;1,500.00;;
NATIONAL ROAD;MAGLASANG COM'L COMPLEX;RR;2,000.00;;
NATIONAL ROAD;MAGLASANG COM'L COMPLEX;CR;2,250.00;;
NATIONAL ROAD;MAGLASANG COM'L COMPLEX;A;525.00;;
ALL OTHER STREETS;;RR;1,000.00;;
ALL OTHER STREETS;;A;525.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;POBLACION OCCIDENTAL;;;;
NATIONAL ROAD;;CR;4,500.00;;
NATIONAL ROAD;;I;5,000.00;;
NATIONAL ROAD;;RR;3,750.00;;
NATIONAL ROAD;;A;750.00;;
ROYAL ESTATE;PREMIER;RR;4,350.00;;
ROYAL ESTATE;DE LUXE;RR;4,250.00;;
ROYAL ESTATE;INTERIOR;RR;2,750.00;;
VILLAMOR TO M.PEPITO ST.;;RR;3,000.00;;
BOUNDARY CASILI,PULPOGAN & MANDAUE;;RR;800.00;;
BOUNDARY CASILI,PULPOGAN & MANDAUE;INTERIOR LOTS;RR;750.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;POBLACION ORIENTAL;;;;
NATIONAL ROAD;;CR;2,000.00;;
NATIONAL ROAD;;RR;1,750.00;;
NATIONAL ROAD;;I;2,500.00;;
NATIONAL ROAD;;A;500.00;;
STA. LUCIA COMM'L.COMPLEX;;CR;2,500.00;;
VILLA CONSOLACION VILL.;;RR;1,000.00;;
VILLA CONSOLACION VILL.;ADJ-VILLA CONSOLACION;RR;500.00;;
ALL OTHER STREETS;;RR;500.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;POLOG;;;;
BARANGAY ROAD;;RR;225.00;;
BARANGAY ROAD;;A;112.50;;
BARANGAY ROAD;INTERIOR;RR;150.00;;
BARANGAY ROAD;INTERIOR;A;75.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;PULPOGAN;;;;
BARANGAY ROAD;;RR;750.00;;
BARANGAY ROAD;;A;475.00;;
BARANGAY ROAD;BDRY POB OCC-PULPGN;RR;650.00;;
BARANGAY ROAD;BDRY POB OCC-PULPGN;A;500.00;;
BARANGAY ROAD;INTERIOR;RR;375.00;;
BARANGAY ROAD;INTERIOR;A;275.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY :;SACSAC;;;;
BARANGAY ROAD;;RR;150.00;;
BARANGAY ROAD;;A;112.50;;
BARANGAY ROAD;INTERIOR;RR;100.00;;
BARANGAY ROAD;INTERIOR;A;80.00;;
CITY/MUNICIPALITY:;CONSOLACION;;;;
BARANGAY:;TAYUD;;;;
ALONG BARANGAY ROAD;;RR;875.00;;
ALONG BARANGAY ROAD;;A;650.00;;
ALONG BARANGAY ROAD;INTERIOR;RR;575.00;;
