RDO:;RDO NO. 81 - CEBU CITY - NORTH;;;;
RDO:;RDO NO. 81 - CEBU CITY - NORTH;;;;
PROVINCE:;CEBU;;;;
PROVINCE:;CEBU;;;;
CITY/MUNICIPALITY:;CEBU CITY;;;;
BARANGAY:;ADLAON (ADLAWON);;;;
ALL AREAS;;RR;450.00;;
ALL AREAS;;A50;160.00;;
ALL AREAS;WATERSHED;A50;50.00;;
BARANGAY:;AGSUNGOT;;;;
ALL AREAS;;RR;450.00;;
ALL AREAS;;A50;160.00;;
ALL AREAS;WATERSHED;A50;50.00;;
BARANGAY:;APAS;;;;
AMORES SUBD;;RR;7,500.00;;
EDISON ST;SALINAS DRIVE-STEPHENSON;RR;0.00;Located in Brgy Lahug as per RDO's justification;
EDISON ST;SALINAS DRIVE-STEPHENSON;CR;0.00;Located in Brgy Lahug as per RDO's justification;
FIRST ST LAPU-LAPU ST;;RR;7,000.00;;
FULTON ST;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
FULTON ST;;CR;0.00;Located in Brgy Lahug as per RDO's justification;
GOV. CUENCO AVE;JUAN LUNA - MAHIGA BRIDGE;CR;20,000.00;;
GOV. CUENCO AVE;JUAN LUNA - MAHIGA BRIDGE;RR;10,000.00;;
LA GUARDIA;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
LA GUARDIA;;CR;0.00;Located in Brgy Lahug as per RDO's justification;
LA GUARDIA EXT;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
LA GUARDIA EXT;;CR;0.00;Located in Brgy Lahug as per RDO's justification;
MARCONI ST;FULTON STREET;RR;0.00;Located in Brgy Lahug as per RDO's justification;
MARCONI ST;FULTON STREET;CR;0.00;Located in Brgy Lahug as per RDO's justification;
PC HILLS;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
PASTRANO SUBD;;RR;7,000.00;;
ROAD TO BUSAY;SALINAS-CEBU PLAZA;RR;0.00;Located in Brgy Lahug as per RDO's justification;
ROAD TO BUSAY;SALINAS-CEBU PLAZA;CR;0.00;Located in Brgy Lahug as per RDO's justification;
ROAD TO BUSAY;CEBU PLAZA-EGGLINGS;RR;0.00;Located in Brgy Lahug as per RDO's justification;
ROAD TO BUSAY;CEBU PLAZA-EGGLINGS;CR;0.00;Located in Brgy Lahug as per RDO's justification;
ROAD TO CMP LAPULAPU;;RR;7,000.00;;
ROAD TO CMP LAPULAPU;;CR;8,400.00;;
SALINAS DRIVE;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
SALINAS DRIVE;;CR;0.00;Located in Brgy Lahug as per RDO's justification;
SALINAS DRIVE EXT;;RR;0.00;Located in Brgy Lahug as per RDO's justification;
SALINAS DRIVE EXT;;CR;0.00;Located in Brgy Lahug as per RDO's justification;
SAN ANTONIO VILL  I;;RR;7,000.00;;
SAN ANTONIO VILL  II;;RR;7,000.00;;
SAN MIGUEL ST;;RR;5,000.00;;
SAN MIGUEL ST;;CR;6,000.00;;
ST. JAMES ST;;RR;5,000.00;;
ST. JAMES ST;;CR;6,000.00;;
ST. LAURENCE ST;;RR;5,000.00;;
ST. LAURENCE ST;;CR;6,000.00;;
ST. LAURENCE EXT;SITIO UCMA - ECIMHA;RR;6,000.00;;
STEPHENSON ST;;RR;5,000.00;;
STEPHENSON ST;;CR;6,000.00;;
1ST ST;;RR;5,000.00;;
1ST ST;;CR;6,000.00;;
2ND ST;;RR;6,000.00;;
3RD ST;;RR;6,000.00;;
4TH ST;;RR;6,500.00;;
SITIO PANABANG;;RR;5,250.00;;
SITIO MAHAYAHAY;;RR;4,500.00;;
SITIO CALBARYO;;RR;4,500.00;;
SITIO PLAZA;;RR;4,500.00;;
SITIO BACA;;RR;5,250.00;;
ALL OTHER SUBDIVISIONS;ADJ TO M VILLA RES;RR;7,000.00;;
ALL OTHER STREETS;;RR;4,500.00;;
ALL OTHER STREETS;;CR;6,000.00;;
BARANGAY:;BABAG;;;;
LAHUG TAWAGAN ROAD;;RR;1,300.00;;
MALUBOG HIGHWAY;;RR;1,300.00;;
BABAG I;BUSAY ROAD;RR;1,600.00;;
BABAG II;BUSAY ROAD - BANILAD;RR;1,600.00;;
BONBON ROAD;NAWNAWAN;RR;850.00;;
MALUBOG;NEAR SCHOOL SITE;RR;1,650.00;;
ALL SOCIALIZED HOUSING SUBD.;;RR;1,500.00;;
ALL OTHER SUBDIVISIONS;;RR;2,000.00;;
ALL OTHER AREAS (ALL OTHER STREETS);W/IN BRGY PROPER;RR;1,200.00;;
ALL OTHER AREAS (ALL OTHER STREETS);W/IN BRGY PROPER;A50;160.00;;
ALL OTHER AREAS (ALL OTHER STREETS);WATERSHED;A50;50.00;;
BARANGAY:;BACAYAN;;;;
ADERAN VILLAGE;;RR;3,050.00;;
ALONG PROV'L RD;TIGBAO BR-BDRY BRGY PIT-OS;RR;4,100.00;;
ASGROW COUNTRY ESTATE;;RR;2,500.00;;
HIDDEN VIEW SUBD I;;RR;3,000.00;;
HIDDEN VIEW SUBD II;;RR;3,000.00;;
RD - HIDDEN VIEW & JOYVILLE SUBD;;RR;3,250.00;;
JOYVILLE SUBD;;RR;3,500.00;;
LIGAYA HOMES SUBD;;RR;4,000.00;;
PRISTINA NORTH SUBDIVISION;;RR;7,600.00;;
VILLA DEL RIO SUBD;;RR;4,500.00;;
VILLA LEYSON SUBD.;;RR;3,500.00;;
ALL SOCIALIZED HOUSING SUBDIVISIONS;;RR;2,000.00;;
ALL OTHER SUBDIVISION;;RR;2,100.00;;
ALL OTHER AREAS (ALL OTHER STREETS);;RR;2,100.00;;
ALL OTHER AREAS (ALL OTHER STREETS);;A50;1,400.00;;
RESOURCES RESIDENTIAL CONDO;;RC;20,000.00;;
PARKING SLOT;RESOURCES RESIDENTIAL CONDO;PS;5,000.00;;
ALL OTHER CONDOMINIUMS;;RC;15,000.00;;
ALL OTHER CONDOMINIUMS;;CC;17,000.00;;
ALL OTHER CONDOMINIUMS;;PS;5,000.00;;
ALL OTHER CONDOMINIUMS;;;;;
ALL OTHER CONDOMINIUMS;;;;;
BARANGAY:;BANILAD;;;;
A BONIFACIO ST;GOV. CUENCO AVE-MANDAUE BDRY;CR;12,000.00;;
A BONIFACIO ST;GOV. CUENCO AVE-MANDAUE BDRY;RR;8,000.00;;
DONA RITA;;RR;7,750.00;;
