RDO:;RDO NO. 82-CEBU CITY SOUTH;;;;
PROVINCE:;CEBU;;;;
MUNICIPALITY :;CEBU CITY;;;;
BARANGAY:;BASAK PARDO;;;;
N BACALSO AVE;GREYHOUND-HOLY CROSS;CR;5,000.00;;
N. BACALSO AVE.;HOLY CROSS-BDRY BASAK SAN NICOLAS;CR;5,000.00;;
FAIRVIEW VILLAGE SUBD.;;RR;2,500.00;;
OLD PHIL RAILWAY(RIZAL AVE EXT);BDRY BASAK SAN NICHOLAS    BDRY KINASANG-AN;RR;2,600.00;;
E. SABELLANO ST.;BDRY BASAK-SAN NICHOLAS;RR;2,500.00;;
ALL UNNAMED SUBDIVISIONS;;RR;2,450.00;;
ALL OTHER STREETS;;RR;2,350.00;;
ALL OTHER STREETS;;CR;5,000.00;;
BARANGAY:;BASAK SAN NICOLAS;;;;
AGUILA ST;LEMON ST.-MACOPA ST.;RR;2,350.00;;
ALIMOKON ST;AVOCADO;RR;2,350.00;;
AVOCADO ST;GANSIANG-N BACALSO;RR;2,500.00;;
BACLAY ST;N BACALSO AVENUE;RR;2,500.00;;
BAYABAS ST;ALIMOKON-N BACALSO;RR;2,500.00;;
CAIMITO ST;GANSIANG-N BACALSO;RR;2,500.00;;
COL CABREROS ST.;N BACALSO AVE-SEASHORE;RR;2,500.00;;
COL TABADA ST;N BACALSO AVE-CABREROS;RR;3,000.00;;
DAPDAP ST;N BACALSO AVE;RR;2,500.00;;
E SABELLANO ST;LOURDES VILLE-B PARDO;RR;2,500.00;;
E SABELLANO ST;LOURDES VILL-LLAMAS;RR;3,000.00;;
EUCALYPTUS ST;N BACALSO AVE;RR;2,500.00;;
F LLAMAS ST;N BACALSO-GANSIANG;CR;3,000.00;;
GANSIANG ST;F LLAMAS ST-AVOCADO ST.;RR;2,650.00;;
GRANADA ST;;RR;2,500.00;;
IPIL IPIL ST;N BACALSO AVE;RR;2,500.00;;
KALAW ST;F LLAMAS ST-GRANADA ST.;RR;2,350.00;;
KUSI ST;F LLLAMAS ST;RR;2,350.00;;
LAPAY ST;F LLLAMAS ST;RR;2,650.00;;
LEMON ST;N BACALSO ST-AGUILA ST;RR;2,500.00;;
MACOPA ST.;CEBU SOUTH RD-SABELLANO;RR;2,500.00;;
MAYA ST;MACOPA ST-LEMON ST;RR;2,650.00;;
N. BACALSO AVE.;BDRY BASAK PARDO-COL TABADA ST;CR;5,000.00;;
N. BACALSO ST.;SA NICHOLAS - BDRY KINASANG-AN;CR;4,000.00;;
PERECO ST;LEMON ST-MACOPA ST;RR;2,650.00;;
PUNAY ST;LEMON ST-MACOPA ST;RR;2,650.00;;
SALING ST;LEMON ST-MACOPA ST;RR;2,650.00;;
SILOY ST;LEMON ST-MACOPA ST;RR;2,650.00;;
TABARES ST;N BACALSO-CABREROS EXT;RR;2,350.00;;
TAMSI ST;;RR;2,650.00;;
TUKMO ST;GSIS COMPOUND;RR;2,650.00;;
VILLA SAN ANTONIO;;RR;2,500.00;;
ALL OTHER STREETS;;RR;2,500.00;;
ALL OTHER STREETS;;CR;4,000.00;;
BARANGAY:;BONBON;;;;
ALL AREAS;;A;95.00;;
BARANGAY:;BUHISAN;;;;
