RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
PROVINCE:;CEBU;;;;
PROVINCE:;CEBU;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;ALAMBIJOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;ANAJAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;APO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BALAAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
INTERIOR AREAS;;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BALISONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;90.00;;
BARANGAY ROAD;;RR;75.00;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.50;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BOGO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;77.50;;
BARANGAY ROAD;;RR;55.00;;
PLAIN AREA;;A;1.50;;
HILLY AREA;;A1;1.50;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BUG-OT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;15.00;;
BARANGAY ROAD;;A;2.00;;
PLAIN AREA;;A1;1.50;;
PLAIN AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BULASA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;105.00;;
BARANGAY ROAD;;A;5.00;;
ROLLING AREA;;A1;1.50;;
ROLLING AREA;;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;BUTONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;20 KM FROM NAT'L RD;A;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;CALAGASAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;20 KM FROM NAT'L RD;A;1.00;;
ALL AREAS;AREA WITH COAL DEPOSITS;A2;1.50;;
ALL AREAS;AREA WITH COAL DEPOSITS;;;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;CANBANUA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CARLOCK STREET;I.S. KINTANAR-ZAMORA ST;RR;17.50;;
COLUMBUS STREET;BNDRY-FACING MUNICIPAL RD;RR;20.00;;
DR. T.S. KINTANAR STREET;BOUNDARY-ZAMORA ST-MUN RD;RR;20.00;;
ISIDRO KINTANAR STREET;BNDRY-FACING MUNICIPAL RD;RR;20.00;;
JUAN LUNA STREET;I.S. KINTANAR-ZAMORA ST;RR;20.00;;
MENDEZ STREET;T.S. KINTANAR-COLUMBUS STS;CR;25.00;;
SAN MIGUEL STREET;MENDEZ-BNDRY-ZAMORA STS;RR;17.50;;
ZAMORA STREET;BNDRY-FACING MUNICIPAL RD;RR;20.00;;
INTERIOR AREAS;;A;2.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;CANBANTUG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.00;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;CANSUJE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;4.50;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.50;;
MUNICIPALITY:;ARGAO;;;;
BARANGAY:;CAPIO-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;RR;5.00;;
HILLY AREA;;A1;1.00;;
MUNICIPALITY:;ARGAO;;;;
MUNICIPALITY:;ARGAO;;;;
