RDO:;RDO NO.  83 - TALISAY CITY, CEBU;;;;
RDO:;RDO NO.  83 - TALISAY CITY, CEBU;;;;
PROVINCE:;CEBU;;;;
PROVINCE:;CEBU;;;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;BLOCK 1 TO 23;RR;100.00;;
ALL LOTS;BLOCK 1 TO 4;CR;130.00;;
ALL LOTS;BLOCK 1 TO 4;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;CABADIANGAN;;;;
ALL LOTS;LAWAAN SOUTH-MANGA NORTH-SALAGMAYA WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;CABIL-ISAN;;;;
ALL LOTS;CANDABONG SOUTH-LAWAAN EAST-PALANAS WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;CANDABONG;;;;
ALL LOTS;CABIL-ISAN NORTH-LAWAAN EAST-PALANAS WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;LAWAAN;;;;
ALL LOTS;CABADIANGAN/SALAGMAYA NORTH-CABIL-ISAN/CANDABONG WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;MANGA;;;;
ALL LOTS;SALAGMAYA/CABADIANGAN SOUTH-BRGY BDRY NORTH EAST & WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;PALANAS;;;;
ALL LOTS;POB SOUTH-CABIL-ISAN EAST;RR;30.00;;
ALL LOTS;TAÑON EAST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;POLO;;;;
ALL LOTS;POB. NORTH-CANDABONG;RR;30.00;;
ALL LOTS;EAST-TAÑON WEST;A50;17.00;;
CITY / MUNICIPALITY:;ALCANTARA;;;;
BARANGAY:;SALAGMAYA;;;;
ALL LOTS;LAWAAN SOUTH-MANGA;RR;30.00;;
ALL LOTS;NORTH-CABADIANGAN EAST;A50;17.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;350.00;;
ALL LOTS;PROVINCIAL ROAD;RR;180.00;;
ALL LOTS;PUBLIC MARKET;CR;225.00;;
ALL LOTS;PUBLIC MARKET;RR;165.00;;
ALL LOTS;BACK OF MUNICIPAL HALL;RR;180.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR;RR;150.00;;
ALL LOTS;INTERIOR;A50;50.00;;
ALL LOTS;NEAR SCHOOL BLDG.;RR;165.00;;
ALL LOTS;NEAR SCHOOL BLDG.;A39;100.00;;
ALL LOTS;NEAR SCHOOL BLDG.;A50;45.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;COMPOSTELA;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;140.00;;
ALL LOTS;ALONG BARANGAY ROAD;A50;9.00;;
ALL LOTS;INTERIOR;A4;5.00;;
ALL LOTS;INTERIOR;A12;5.00;;
ALL LOTS;INTERIOR;A15;4.00;;
ALL LOTS;INTERIOR;A16;7.00;;
ALL LOTS;INTERIOR;A36;5.00;;
ALL LOTS;INTERIOR;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;GUADALUPE;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;140.00;;
ALL LOTS;ALONG BARANGAY ROAD;A50;9.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A12;6.00;;
ALL LOTS;INTERIOR;A15;4.00;;
ALL LOTS;INTERIOR;A16;7.00;;
ALL LOTS;INTERIOR;A36;5.00;;
ALL LOTS;INTERIOR;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;LEGASPI;;;;
ALL LOTS;PROVINCIAL ROAD;RR;200.00;;
ALL LOTS;PROVINCIAL ROAD;A50;100.00;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A50;100.00;;
ALL LOTS;NEAR TRADING CENTER;CR;150.00;;
ALL LOTS;INTERIOR;A4;10.00;;
ALL LOTS;INTERIOR;A7;7.00;;
ALL LOTS;INTERIOR;A12;10.00;;
ALL LOTS;INTERIOR;A16;15.00;;
ALL LOTS;INTERIOR;A36;8.00;;
ALL LOTS;INTERIOR;A39;50.00;;
ALL LOTS;INTERIOR;A50;5.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;LEPANTO;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;145.00;;
ALL LOTS;ALONG BARANGAY ROAD;A1;15.00;;
ALL LOTS;ALONG BARANGAY ROAD;A50;10.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A12;6.00;;
ALL LOTS;INTERIOR;A15;4.00;;
ALL LOTS;INTERIOR;A16;8.00;;
ALL LOTS;INTERIOR;A36;5.00;;
ALL LOTS;INTERIOR;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;MADREDIJOS;;;;
ALL LOTS;PROVINCIAL ROAD;RR;165.00;;
ALL LOTS;PROVINCIAL ROAD;A50;90.00;;
ALL LOTS;BARANGAY ROAD;RR;140.00;;
ALL LOTS;BARANGAY ROAD;A50;45.00;;
ALL LOTS;NEAR TRADING CENTER;CR;150.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A7;5.00;;
ALL LOTS;INTERIOR;A12;7.00;;
ALL LOTS;INTERIOR;A16;9.00;;
ALL LOTS;INTERIOR;A40;45.00;;
ALL LOTS;INTERIOR;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;MONTPELLER;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;140.00;;
ALL LOTS;ALONG BARANGAY ROAD;A50;9.00;;
ALL LOTS;INTERIOR;A2;7.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A12;6.00;;
ALL LOTS;INTERIOR;A15;4.00;;
ALL LOTS;INTERIOR;A16;7.00;;
ALL LOTS;INTERIOR;A36;5.00;;
ALL LOTS;INTERIOR;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;SANTA FILOMENA;;;;
ALL LOTS;PROVINCIAL ROAD;RR;165.00;;
ALL LOTS;PROVINCIAL ROAD;A50;90.00;;
ALL LOTS;BARANGAY ROAD;RR;145.00;;
ALL LOTS;BARANGAY ROAD;A50;45.00;;
ALL LOTS;NEAR TRADING CENTER;CR;150.00;;
ALL LOTS;INTERIOR;A4;7.00;;
ALL LOTS;INTERIOR;A7;45.00;;
ALL LOTS;INTERIOR;A12;7.00;;
ALL LOTS;INTERIOR;A16;9.00;;
ALL LOTS;INTERIOR;A36;6.00;;
ALL LOTS;;A39;45.00;;
ALL LOTS;;A50;3.00;;
CITY / MUNICIPALITY:;ALEGRIA;;;;
BARANGAY:;VALENCIA;;;;
ALL LOTS;ALONG BARANGAY ROAD;RR;145.00;;
ALL LOTS;ALONG BARANGAY ROAD;A50;9.00;;
ALL LOTS;INTERIOR;A4;6.00;;
ALL LOTS;INTERIOR;A12;6.00;;
ALL LOTS;INTERIOR;A15;4.00;;
ALL LOTS;INTERIOR;A16;7.00;;
ALL LOTS;INTERIOR;A36;5.00;;
