RDO:;RDO NO. 9 LA TRINIDAD, BENGUET;;;;
RDO:;;;;;
CITY/MUNICIPALITY:;ATOK;;;;
BARANGAY:;;;;;
TUBLAY ATOK BDRY. SAPIANGAO JUNCTION;ALONG HALSEMA NATIONAL RD;RR;160.00;;
SAPIANGAO JUNCTION NOYONOY GATE;ALONG HALSEMA NATIONAL RD;RR;160.00;;
BALANGABANG - BONGLO;ALONG HALSEMA NATIONAL RD;RR;160.00;;
BATAN JUNCTION-SAYANGAN;ALONG HALSEMA NATIONAL RD;RR;250.00;;
SAYANGAN JUNCTION - ATOK - KIBUNGAN-BUGIAS BDRY.;ALONG HALSEMA NATIONAL RD;RR;250.00;;
SAPIANGAO JUNCTION - TOPDAC JUNCTION;ALONG SAPIANGAO PROV'L RD;RR;200.00;;
TOPDAC JUNCTION - ATOK CENTRAL;ALONG SAPIANGAO PROV'L RD;RR;200.00;;
TOPDAC PROPER;ALONG TOPDAC BARANGAY RD;RR;100.00;;
BELIS PROPER;ALONG TOPDAC BARANGAY RD;RR;100.00;;
TAGONGTONAO JUNCTION - PAOAY PROPER;ALONG SAYANGAN ROAD;RR;120.00;;
PAOAY PROPER - BOSLENG;ALONG SAYANGAN ROAD;RR;120.00;;
PAOAY JUNCTION - CANATNGAN - TOLUDAN;ALONG SAYANGAN ROAD;RR;120.00;;
ADOYONAN PROPER;ALONG ADOYONAN ROAD;RR;100.00;;
SALAT PROPER;ALONG SALAT ROAD;RR;90.00;;
KAPANAGAN - ATOK BDRY;ALONG BAGUIO-BONENG RD;RR;120.00;;
BONENG JUNCTION - LOBO;ALONG LOBO ROAD;RR;100.00;;
ALL OTHER STREETS;;RR;80.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;CR;600.00;;
ALL OTHER STREETS;ALONG PROVINCIAL ROAD;CR;300.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;CR;200.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A1;6.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A2;4.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A3;3.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A4;8.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A5;5.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;A6;3.00;;
CITY/MUNICIPALITY:;BAKUN;;;;
BARANGAY:;;;;;
KM. 70 - BAYOYO-BAKUN-MANYAKAN ROAD;ALONG HALSEMA NATIONAL RD;RR;250.00;;
SISNIPSIP JUNCTION -LEWANG-SIPITAN JUNCT.;ALONG PROVINCIAL ROAD;RR;250.00;;
LEWANG VIA SAWMILL -BO. AMPOSUNGAN;ALONG PROVINCIAL ROAD;RR;100.00;;
BO. AMPOSUNGAN -MASALIN JUNCTION;ALONG PROVINCIAL ROAD;RR;80.00;;
HLC SAWMILL - TABBAC;ALONG PROVINCIAL ROAD;RR;80.00;;
MANAG-TANEG-COPCOPIT;ALONG PROVINCIAL ROAD;RR;60.00;;
KM. 64 - MADAYMEN TERMINAL;ALONG PROVINCIAL ROAD;RR;100.00;;
KM. 71 - SOOKAN -GAMBANG PROPER;OTHER ROADS;RR;100.00;;
POBLACION - SITIO TABBAC;OTHER ROADS;RR;60.00;;
MADAYMEN TERMINAL -TABBAC JUNCTION;OTHER ROADS;RR;80.00;;
LEWANG JUNCTION VIASIPITAN, PALIDAN PAPASOK - SINACBAT;OTHER ROADS;RR;80.00;;
LEWANG JUNCTION VIA BOLBOLO - PONGO;OTHER ROADS;RR;50.00;;
PALIDAN - GUEWENG - BAKUNG MANYAKAN BDRY.;OTHER ROADS;RR;50.00;;
BARRIOS OF SINACBAT BAGU AND KAYAPA & OTHER FAR SITIOS;;RR;50.00;;
ALL OTHER STREETS;;RR;50.00;;
ALL OTHER STREETS;;I;100.00;;
ALL OTHER STREETS;;A1;4.00;;
ALL OTHER STREETS;;A2;3.00;;
ALL OTHER STREETS;;A3;2.00;;
ALL OTHER STREETS;;A4;5.00;;
ALL OTHER STREETS;;A5;3.00;;
ALL OTHER STREETS;;A6;2.00;;
CITY/MUNICIPALITY:;BOKOD;;;;
BARANGAY:;;;;;
AMBUKLAO;ADONOT/BANAO/SOMBRERO/HILL TOP / AMBUCLAO;RR;80.00;;
POBLACION;GUREL JUNCTION - BOKOD POBLACION PROPER;RR;70.00;;
DACLAN;DACLAN JUNCTION -TECKEY LOOP RD. / BOKOD - KABAYAN;RR;60.00;;
TECKEY;ALONG TECKEY LOOP RD & TECKEY PROPER;RR;60.00;;
CARAO;BOKOD CENTRAL - CARAO PROPER;RR;60.00;;
BOBOK - BIZAL;BOBOK/OTBONG/KAWAL BIZAL PROPER;RR;60.00;;
PITO;GUREL JUNCT. - PITO PROPER;RR;60.00;;
EKIP;EKIP PROPER;RR;60.00;;
NAWAL;NAWAL PROPER;RR;60.00;;
BILA;AMBANGEG / ACNAL / BILA PROPER BOKOD - KABAYAN BOUNDARY;RR;60.00;;
AMPUCAO;UD-UDAN (PROVINCIAL RD);RR;30.00;;
AMPUCAO;MANGANESE (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;NAGAWA (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;GOLD HILL (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;SADDLE (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;SAMOYAO (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;AMPUCAO (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;PHILEX (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;BANGET (PROVINCIAL RD);RR;0.00;NO VALUE;
AMPUCAO;CRUZ (PROVINCIAL RD);RR;20.00;;
AMPUCAO;DALICNO;RR;30.00;;
AMPUCAO;TOCOD;RR;20.00;;
ALL OTHER STREETS;;A1;5.00;;
ALL OTHER STREETS;;A2;2.00;;
ALL OTHER STREETS;;A3;2.00;;
ALL OTHER STREETS;;A4;4.00;;
ALL OTHER STREETS;;A6;2.00;;
CITY/MUNICIPALITY:;BUGUIAS;;;;
BARANGAY:;;;;;
POBLACION;ALONG NATIONAL RD;;;;
POBLACION;ALAPANG PROPER;RR;60.00;;
POBLACION;TOKING - POBLACION;RR;70.00;;
SOBANG;ALONG BARANGAY ROAD;RR;20.00;;
CALAMAGAN;ALONG BARANGAY ROAD;RR;20.00;;
CATLUBONG;ALONG BARANGAY ROAD;RR;20.00;;
CATLUBONG;TOKING - MANHUYOHUY RD;RR;30.00;;
BUYACAOAN;ALONG NATIONAL ROAD;RR;60.00;;
LENGAOAN;ALONG NATIONAL ROAD;RR;60.00;;
LOO;ALONG NATIONAL ROAD;RR;70.00;;
LOO;MODAYAN PROPER;RR;60.00;;
NATUBLENG;ALONG NATIONAL ROAD;RR;70.00;;
NATUBLENG;ALONG BARANGAY ROAD;RR;40.00;;
ABATAN;ALONG NATIONAL ROAD;RR;70.00;;
ABATAN;ALONG BARANGAY ROAD;RR;20.00;;
AMGALEYGUEY;ALONG NATIONAL ROAD;RR;50.00;;
AMGALEYGUEY;ALONG BARANGAY ROAD;RR;20.00;;
AMLIMAY;ALONG BUGIAS - KABAYAN RD;RR;30.00;;
BACULONGAN NORTE;ALONG ABATAN - POBLACION RD;RR;50.00;;
BACULONGAN SUR;ALONG ABATAN - BUGIAS;RR;50.00;;
BACULONGAN SUR;NATIONAL ROAD;RR;0.00;NO VALUE;
BANGAO;ALONG NATIONAL ROAD COTCOT PROPER;RR;70.00;;
BANGAO;ALONG NATIONAL ROAD;RR;40.00;;
ALL OTHER STREETS;;RR;20.00;;
ALL OTHER STREETS;;A1;5.00;;
ALL OTHER STREETS;;A2;3.00;;
ALL OTHER STREETS;;A3;2.00;;
ALL OTHER STREETS;;A4;9.00;;
ALL OTHER STREETS;;A5;4.00;;
ALL OTHER STREETS;;A6;4.00;;
CITY/MUNICIPALITY:;ITOGON;;;;
CITY/MUNICIPALITY:;ITOGON;;;;
BARANGAY:;;;;;
DALUPIRIP;ASIN / DALUPIRIP PROPER;RR;40.00;;
DALUPIRIP;CABRITAN / TABU / LAWIMGUEN TIWANG / BANTIC;RR;20.00;;
