RDO:;RDO NO. 9 - LA TRINIDAD, BENGUET;;;;
CITY/ MUNICIPALITY:;ATOK;;;;
BARANGAY:;ABIANG, CALIKING, CATTUBO, NAGUEY and PASDONG;;;;
ALL LOTS;;RR;80.00;;
ALL LOTS;;CR;200.00;;
CITY/ MUNICIPALITY:;ATOK;;;;
BARANGAY:;PAOAY;;;;
ALL LOTS;;RR;120.00;;
CITY/ MUNICIPALITY:;ATOK;;;;
BARANGAY:;POBLACION;;;;
ADOYONAN PROPER;;RR;100.00;;
BAGUIO-BONENG ROAD;KAPANAGAN-ATOK BOUNDARY;RR;120.00;;
BELIS PROPER;TOPDAC BARANGAY ROAD;RR;100.00;;
HALSEMA NATIONAL ROAD;TUBLAY ATOK BDRY-SAPIANGAO JUNC;RR;160.00;;
HALSEMA NATIONAL ROAD;SAPIANGAO JUNT-NOYONOY GATE;RR;160.00;;
HALSEMA NATIONAL ROAD;BALANGABANG-BONGLO;RR;160.00;;
HALSEMA NATIONAL ROAD;BATAN JUNTION-SAYANGAN;RR;250.00;;
HALSEMA NATIONAL ROAD;SAYANGAN JUNC-ATOK-KIBUNGAN BUGIAS BOUNDARY;RR;250.00;;
LOBO ROAD;BONENG JUNCTION-LOBO;RR;100.00;;
SALAT PROPER;;RR;90.00;;
SAPIANGAO PROV'L ROAD;SAPIANGAO JUNCTION-TOPDAC JUNCT;RR;200.00;;
SAPIANGAO PROV'L ROAD;TOPDAC JUNCTION-ATOK CENTRAL;RR;200.00;;
SAYANGAN ROAD;TAGONGTONAO JUNCT-PAOAY PROPER;RR;120.00;;
SAYANGAN ROAD;PAOAY PROPER-BOSLENG;RR;120.00;;
SAYANGAN ROAD;PAOAY JUNCT-CANATNGAN-TOLUDA;RR;120.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;RR;80.00;;
ALL OTHER STREETS;ALONG BARANGAY ROAD;CR;200.00;;
ALL OTHER STREETS;ALONG PROVINCIAL ROAD;RR;80.00;;
ALL OTHER STREETS;ALONG PROVINCIAL ROAD;CR;300.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;RR;80.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;CR;600.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;A1;6.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;A2;4.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;A3;3.00;;
ALL OTHER STREETS;ALONG NATIONAL ROAD;A25;3.00;;
ALL OTHER STREETS;VEGETABLE LAND WITH IRRIGATION;A47;8.00;;
ALL OTHER STREETS;VEGETABLE LAND W/OUT IRRIGATION;A47;5.00;;
CITY/ MUNICIPALITY:;ATOK;;;;
BARANGAY:;TOPDAC;;;;
ALL LOTS;ALONG PROVINCIAL ROAD;RR;2,000.00;;
ALL LOTS;ALONG BARANGAY ROAD;RR;100.00;;
ALL LOTS;ALONG BARANGAY ROAD;A1;6.00;;
ALL LOTS;ALONG BARANGAY ROAD;A2;4.00;;
ALL LOTS;ALONG BARANGAY ROAD;A3;3.00;;
ALL LOTS;ALONG BARANGAY ROAD;A25;3.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;8.00;;
ALL LOTS;VEGETABLE LAND W/OUT IRRIGATION;A47;5.00;;
CITY/ MUNICIPALITY:;BAKUN;;;;
BARANGAY:;AMPUSONGAN;;;;
ALL LOTS;ALONG PROV'L & MUNICIPAL ROAD;RR;8.00;;
ALL LOTS;ALONG PROV'L & MUNICIPAL ROAD;A1;5.00;;
ALL LOTS;ALONG PROV'L & MUNICIPAL ROAD;A2;5.00;;
ALL LOTS;ALONG PROV'L & MUNICIPAL ROAD;A3;3.00;;
ALL LOTS;ALONG PROV'L & MUNICIPAL ROAD;A25;1.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;4.00;;
ALL LOTS;VEGETABLE LAND WI/OUT IRRIGATION;A47;2.00;;
CITY/ MUNICIPALITY:;BAKUN;;;;
BARANGAY:;BAGU;;;;
ALL LOTS;;RR;8.00;;
ALL LOTS;;A1;5.00;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A25;1.00;;
ALL LOTS;VEGETABLE LAND WITH IRRIGATION;A47;4.00;;
