RDO:;RDO N0. 53B - MUNTINLUPA CITY;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MUNTINLUPA CITY;;;;
BARANGAY:;ALABANG;;;;
DONATA;SAN JOSE SUBD;RR;3,200.00;;
JOAQUIN CPD;RAILROAD;RR;1,400.00;;
KELLY'S ROAD;ESTE HONOR;CR;7,500.00;;
KELLY'S ROAD;ESTE HONOR;RR;1,200.00;;
L & B COMPOUND;NATIONAL ROAD;RR;2,600.00;;
PACIFIC VILLAGE;MANILA SOUTH ROAD;RR;8,000.00;;
PUROK V EXT'N;S.S. HIGHWAY;RR;1,500.00;;
PUROK VI  B;MOLINA;RR;1,500.00;;
PUROK VI  C;MOLINA;RR;1,500.00;;
SAN JOSE CPD;E GATCHES VILL;RR;2,500.00;;
SITIO BAGONG PAG-ASA;SQUATTERS AREA;RR;1,300.00;;
SITIO MASAGANA;SQUATTERS AREA;RR;1,300.00;;
SITIO RIZAL;RIZAL VILL;RR;1,600.00;;
TM RD ALABANG;LAGUNA LAKE;RR;2,500.00;;
TIERRA NUEVA;ZAPOTE ALABANG;RR;5,400.00;;
UP SIDE SUBD;ALABANG RAIL ROAD;RR;1,400.00;;
AYALA ALABANG;BUS. PARK/COMM'L. CENTER;CR;30,000.00;;
AYALA ALABANG;PHASES 1, 2A, 2B, 33A2, 3B1, 3B2, 3B3, 45, 6, 7, 8A, 8B, 9, 10A,10B, 10C, 10D, XI-A,XI-B AND XI-C;RR;14,000.00;;
AYALA ALABANG;LOTS BACKING THE GOLF COURSE PHS. 4: BLKS. 1 & 8PHASE 2B: BLKS 2 & 16;RR;16,500.00;;
AYALA ALABANG;ALONG THE PERIMETERS OF APITONG, ADELFA, ROSAL, BATANGAS EAST, SOUTH &  WEST, TAMARIND, LANGKA, SANTIAGO AND PORTIONS OF SAN JUANICO, GUAVA DRIVE SAN LORENZO, MABOLO, CAMACHILE AND PILI DR.;RR;12,000.00;;
AEHP 1 & 2   EMPLOYEES HOUSING;;RR;10,000.00;;
SOUTH EXPRESSWAY;HILLSIDE HOSP-BAYANAN;RR;1,100.00;;
NATIONAL ROAD;TOLL GATE - SEC. BANK;CR;25,000.00;;
MONTILLANO ST;NATIONAL RD- TM ROAD;CR;20,000.00;;
MADRIGAL BUSINESS PARK;COMMERCIAL CENTER;CR;40,000.00;;
BARANGAY:;BAYANAN;;;;
BAUTISTA ST;NAT'L ROAD-SO. EXPRESSWAY;RR;3,800.00;;
FILRIZAM SUBD;;RR;1,100.00;;
NATIONAL ROAD;BAYANAN RVR-PUTATAN BDRY;CR;6,200.00;;
PLEASANT VILL;S EXPRESSWAY;RR;1,900.00;;
PUROK I B-4;EXPRESSWAY;RR;1,400.00;;
PUROK II;RAILROAD;RR;1,200.00;;
PUROK III;RAILROAD;RR;1,200.00;;
PUROK IV;TAGUIG MUNT ROAD;RR;1,200.00;;
PUROK VI APLAYA;LAGUNA LAKE;RR;1,200.00;;
SUMMITVILLE;S EXPRESSWAY;RR;1,800.00;;
SUNRISE VILL;ALONG RAILROAD;RR;1,200.00;;
T M ROAD;BO. PROPER;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,100.00;;
ALL OTHER STREETS;;CR;2,500.00;;
BARANGAY:;BULI;;;;
ALONG LAGUNA LAKE;TAGUIG MUNT ROAD;RR;1,150.00;;
ALONG RAILROAD;SQUATTERS' AREA;RR;1,300.00;;
BAGONG SILANG;W SERV RD EX;RR;1,800.00;;
PUYAT CPD;;RR;1,800.00;;
SOUTH EXPRESSWAY;CUPANG BDRY-BULI RIVER;RR;3,700.00;;
T M ROAD;BO. PROPER;RR;1,300.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;CR;3,000.00;;
ALL OTHER STREETS;;GP;1,000.00;;
BARANGAY:;CUPANG;;;;
ALABANG HILLS;ST BENEDICTINE;RR;6,000.00;;
SAN JOSE;;RR;3,100.00;;
BF HOMES  P-VI;ALABANG HILLS;RR;4,100.00;;
BUNYI CPD;LIBERTY HOMES;RR;1,600.00;;
CABEZAS CPD;TAGUIG MUNT;RR;1,700.00;;
CARMINA CPD;EAST SERVICE ROAD;RR;1,700.00;;
EAST MABULUSAN;S EXPRESSWAY;RR;2,800.00;;
EMBASSY VILL;S EXPRESSWAY;RR;3,000.00;;
HILLSBOROUGH;;RR;8,000.00;;
INTERCITY;WEST SERVICE ROAD;RR;1,800.00;;
LAGUNA LAKE;BO. PROPER;RR;360.00;;
LIBERTY HOMES;E SERVICE ROAD;RR;1,900.00;;
MINTCOR TOWNHOMES;SO. EXPRESSWAY;RR;8,100.00;;
NATIONAL ROAD;BO. PROPER;RR;2,500.00;;
NEW ALABANG 400;;RR;6,000.00;;
PACIFIC MALAYAN SUBD;ALABANG HILLS;RR;5,200.00;;
PUROK I;TAGUIG MUNT RD;RR;1,600.00;;
PUROK V;TAGUIG MUNT RD;RR;1,600.00;;
SITIO STO NINO;SQUATTER AREA;RR;1,600.00;;
SOUTH EXPRESSWAY;TOLL GATE-BULI BDRY;RR;3,600.00;;
TM ROAD;LAGUNA LAKE;RR;1,700.00;;
TUKLAS CPD;RAILROAD;RR;1,600.00;;
WEST KALUBUSAN;S EXPRESSWAY;RR;2,800.00;;
WEST SERVICE ROAD;EXPRESSSWAY;RR;3,700.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;CR;3,000.00;;
BARANGAY:;POBLACION;;;;
KATIHAN I & II;PUROK 1;RR;1,300.00;;
PULONG ENG-ENG;PUROK 9;RR;1,300.00;;
POBLACION PROPER;;RR;1,500.00;;
NATIONAL ROAD;MAGDAONG RIV-BALIMBING RIVER;CR;9,600.00;;
BARANGAY:;PUTATAN;;;;
AGRO HOMES;NATIONAL HOMES;RR;2,825.00;;
ALMAN VILLE;SUMMIT VILLE;RR;2,000.00;;
ALONG RAILROAD;BRUGER SUBD;RR;1,525.00;;
BRUGER SUBD;RAILROAD;RR;1,600.00;;
CAMELLA HOMES;SOLDIER HILLS;RR;2,325.00;;
COUNTRY HOMES;LAKEVIEW I;RR;2,525.00;;
ESPOLAS CPD;FREDOM HILLS;RR;1,500.00;;
EXPRESS VIEW VILLAS;SOUTH EXPRESSWAY;RR;2,825.00;;
F DE MESA;FREDOM HILLS;RR;1,500.00;;
FREEDOM HILLS;MANILA SOUTH ROAD;RR;1,600.00;;
GONZALES CPD;SUMMITVILLE;RR;1,550.00;;
GRUENVILLE;RAILROAD;RR;2,100.00;;
JAYSON'S VILLE;NATIONAL ROAD;RR;2,100.00;;
JPA SUBD;MANILA SOUTH ROAD;RR;1,750.00;;
LAGUNA LAKE;TAGUIG MUNT ROAD;RR;1,000.00;;
LAKEVIEW I & II;MUNT HOMES II;RR;1,550.00;;
LAS VEGAS ST;NATIONAL ROAD;RR;1,500.00;;
LA CHARINA HEIGHTS;SOUTH EXPRESSWAY;RR;1,950.00;;
MIDLAND SUBD;GRUENVILLE;RR;2,100.00;;
MUTUAL HOMES;SOLDIERS HILLS;RR;1,800.00;;
NATIONAL ROAD;J P RIZAL;CR;11,250.00;;
NUWHRIAN HOMES;RAILROAD;RR;2,100.00;;
PARK HOMES P-1;MANILA SOUTH ROAD;RR;2,200.00;;
PASONG MAKIPOT;MUNT CAVITE BOY;RR;1,350.00;;
SAN FRANCISCO ST;NATIONAL ROAD;RR;1,500.00;;
SOUTH GREEN HEIGHTS;AFP MEAT SUBD;RR;1,550.00;;
SOLDIERS HILLS;SOUTH EXPRESSWAY;RR;2,150.00;;
SORIANO VILLAGE;TAGUIG MUNT ROAD;RR;1,550.00;;
TABERA CPD;RAILROAD;RR;1,500.00;;
TAGUIG MUNT ROAD;LAGUNA LAKE;RR;1,350.00;;
T M ROAD;;RR;1,925.00;;
UMALI STATE;SUMMITVILLE;RR;1,500.00;;
ALL OTHER STREETS;;RR;1,325.00;;
ALL OTHER STREETS;;CR;5,600.00;;
