RDO:;RDO N0. 53B - MUNTINLUPA CITY;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MUNTINLUPA CITY;;;;
BARANGAY:;ALABANG;;;;
AEHP 1 & 2 EMPLOYEES HOUSING;AYALA ALABANG VILLAGE;RR;0.00;Located in BRGY AYALA ALABANG. (p.5);
ALABANG SOUTHVALE;LAS PINAS CITY;RR;0.00;Located in Brgy Almanza Dos under RDO No. 53A Las Piñas City. (Out-of-District);
ALONG PHILIPPINE NATIONAL RAILWAYS;BARRIO PROPER;RR;12,000.00;;
AYALA ALABANG COMMERCIAL CENTER;MADRIGAL BUSINESS PARK;CR;0.00;Located in BRGY AYALA ALABANG. (p.5);
AYALA ALABANG VILLAGE;PHASES 1, 2A, 2B, 3A1, 3A2, 3B1, 3B2, 3B3, 4, 10B, 10C, 10D, XI-A, XI-B AND XI-C;RR;0.00;Located in BRGY AYALA ALABANG. (p.5);
AYALA ALABANG VILLAGE;LOTS BACKING THE GOLF COURSE PHS. 4: BLKS. 1 & 8 PHASE 2B: BLKS 2 & 16;RR;0.00;Located in BRGY AYALA ALABANG. (p.5);
AYALA ALABANG VILLAGE;ALONG THE PERIMETERS OF  APITONG, ADELFA, ROSAL,  BATANGAS EAST, SOUTH &  WEST, TAMARIND, LANGKA,  SANTIAGO AND PORTIONS OF  SAN JUANICO, GUAVA DRIVE  SAN LORENZO, MABOLO,  CAMACHILE AND PILI DR.;RR;0.00;Located in BRGY AYALA ALABANG. (p.5);
CAMELLA HOMES II-D;SOLDIERS HILLS;RR;0.00;Located in BRGY PUTATAN.;
CAMELLA HOMES II-E;SOLDIERS HILLS;RR;0.00;Located in BRGY PUTATAN.;
DE MESA COMPOUND;L & B 2;RR;12,000.00;;
DONATA;SAN JOSE SUBD;RR;0.00;Located in BRGY PUTATAN.;
EAST SERVICE ROAD;ALABANG TOLL GATE - CUPANG RIVER;RR;17,000.00;;
EAST SERVICE ROAD;ALABANG TOLL GATE - CUPANG RIVER;CR;25,000.00;;
EAST SERVICE ROAD;ALABANG TOLL GATE - CUPANG RIVER;I;23,000.00;;
EAST SERVICE ROAD;ALABANG TOLL GATE - CUPANG RIVER;X;25,000.00;;
ESTE HONOR COMPOUND;BARRIO PROPER;RR;12,000.00;;
F DE CASTRO COMPOUND;;RR;12,000.00;;
F DE CASTRO COMPOUND;;X;20,000.00;;
FILINVEST  CORPORATE CITY;ALABANG-ZAPOTE RD- FILINVEST AVENUE;CR;75,000.00;;
FILINVEST  CORPORATE CITY;ALABANG-ZAPOTE RD- FILINVEST AVENUE;X;75,000.00;;
HIGHWAY HOMES SUBD.;NATIONAL HIGHWAY;RR;12,000.00;;
JOAQUIN CPD;RAILROAD;RR;0.00;Located in BRGY CUPANG.;
KELLY'S COMPOUND;ESTE HONOR;RR;0.00;Located in BRGY CUPANG.;
KELLY'S COMPOUND;ESTE HONOR;CR;0.00;Located in BRGY CUPANG.;
L & B COMPOUND;NATIONAL ROAD;RR;0.00;Located within Este Honor Cpd.;
L & B COMOUND 1;INT. NATIONAL ROAD;RR;12,000.00;;
L & B COMPOUND 2;INT. T.M. ROAD;RR;12,000.00;;
L & B COMPOUND 3;LAGUNA DE BAY;RR;12,000.00;;
LAGUNA LAKE SIDE;LAKESIDE - T.M. ROAD;RR;0.00;Subdivided into L&B 1, 2 & 3.;
MADRIGAL BUSINESS PARK;COMMERCIAL CENTER;CR;0.00;Located in BRGY PUTATAN.;
MENDIOLA ST.;BARRIO PROPER;RR;12,000.00;;
MENDIOLA ST.;BARRIO PROPER;X;20,000.00;;
MOLINA ST.;BARRIO PROPER;RR;0.00;;
MONTILLANO ST;INTERIOR (PNR-TM Road);RR;20,000.00;;
MONTILLANO ST;NATIONAL RD- TM ROAD;CR;30,000.00;;
MONTILLANO ST;INTERIOR MONTILLANO;X;30,000.00;;
NATIONAL ROAD;TOLL GATE - BAYANAN RIVER;RR;35,000.00;;
NATIONAL ROAD;TOLL GATE - BAYANAN RIVER;CR;40,000.00;;
NATIONAL ROAD;TOLL GATE - BAYANAN RIVER;X;40,000.00;;
NORTHGATE CENTER;ALABANG ZAPOTE-NORTH BRIDGEWAY;CR;75,000.00;;
PACIFIC VILLAGE;MANILA SOUTH ROAD;RR;0.00;Located in BRGY CUPANG.;
PALMS POINTE SUBDIVISION;FILINVEST CORPORATE CITY;RR;50,000.00;;
PLEASANT VILLAGE;SOUTH EXPRESSWAY;RR;0.00;Located in Brgy BAYANAN. (p. 8);
PUROK V EXT'N;SOUTH EXPRESSWAY;RR;0.00;Properly identified as T. Molina St.;
PUROK VI  B;MOLINA;RR;0.00;Properly identified as T. Molina St.;
PUROK VI  C;MOLINA;RR;0.00;Properly identified as T. Molina St.;
REMERATA SUBDIVISION;L & B  COMPOUND;RR;12,000.00;;
SAN JOSE SUBD;ELSIE GATCHES VILL;RR;0.00;Located in BRGY CUPANG.;
SITIO BAGONG PAG-ASA;SQUATTERS AREA;RR;0.00;Located within Sitio Rizal.;
SITIO MASAGANA;SQUATTERS AREA;RR;0.00;Located within Sitio Rizal.;
